Project,Branch,WarningType,Severity
Activiti_Activiti,7-201712-EA,2,High
Activiti_Activiti,7-201712-EA,3,High
Activiti_Activiti,7-201801-EA,2,High
Activiti_Activiti,7-201801-EA,3,High
Activiti_Activiti,7-201802-EA,2,Medium
Activiti_Activiti,ACT-4316-boundary-event,2,Medium
Activiti_Activiti,ACT-4316-boundary-event,3,Medium
Activiti_Activiti,ACT-4316-boundary-event,4,High
Activiti_Activiti,balsarori-1792-add-missing-businessCalendarName,2,High
Activiti_Activiti,balsarori-1792-add-missing-businessCalendarName,3,Medium
Activiti_Activiti,balsarori-dev-service-task-parser-1759,3,Medium
Activiti_Activiti,balsarori-dev-service-task-parser-1759,4,High
Activiti_Activiti,bugfix/mteodori-1767-log4j-vulnerability,2,High
Activiti_Activiti,bugfix/mteodori-1767-log4j-vulnerability,3,Medium
Activiti_Activiti,daisuke-rest-deployment-category-5,2,High
Activiti_Activiti,daisuke-rest-deployment-category-5,3,High
Activiti_Activiti,daisuke-rest-deployment-category-6,2,High
Activiti_Activiti,daisuke-rest-deployment-category-6,3,High
Activiti_Activiti,daisuke-signal-var,4,High
Activiti_Activiti,dev-lucian-update-copyright-2018,2,High
Activiti_Activiti,dev-lucian-update-copyright-2018,3,High
Activiti_Activiti,elias-1655-flow-node-id-on-integr-req,2,High
Activiti_Activiti,elias-1655-flow-node-id-on-integr-req,3,High
Activiti_Activiti,elias-1655-flow-node-id-on-integr-req,4,High
Activiti_Activiti,feature/lucian-1720-add-validation-endpoint-process-model,2,Medium
Activiti_Activiti,feature/lucian-1720-add-validation-endpoint-process-model,3,Medium
Activiti_Activiti,feature/lucian-1720-add-validation-endpoint-process-model,4,High
Activiti_Activiti,feature/mteodori-1615-snyk-badge,2,High
Activiti_Activiti,feature/mteodori-1615-snyk-badge,3,High
Activiti_Activiti,feature/mteodori-1640-editorconfig,2,High
Activiti_Activiti,feature/mteodori-1640-editorconfig,3,High
Activiti_Activiti,feature/mteodori-1667-remove-frontend-dependencies-6.x,2,High
Activiti_Activiti,feature/mteodori-1667-remove-frontend-dependencies-6.x,3,High
Activiti_Activiti,feature/mteodori-1667-remove-frontend-dependencies-6.x,4,High
Activiti_Activiti,feature/mteodori-1675-pom-files-cleanup,2,Medium
Activiti_Activiti,feature/mteodori-1675-pom-files-cleanup,3,Medium
Activiti_Activiti,feature/mteodori-1675-update-spring-boot-rc1,2,Medium
Activiti_Activiti,feature/mteodori-1675-update-spring-boot-rc1,3,Medium
Activiti_Activiti,feature/mteodori-1675-update-spring-boot-rc1,4,High
Activiti_Activiti,feature/mteodori-1749-spring-and-jackson-vulnerabilities,2,High
Activiti_Activiti,feature/mteodori-1749-spring-and-jackson-vulnerabilities,3,Medium
Activiti_Activiti,feature/mteodori-1762-move-dependency-check-to-maven-profile,2,High
Activiti_Activiti,feature/mteodori-1762-move-dependency-check-to-maven-profile,3,Medium
Activiti_Activiti,feature/mteodori-1762-move-dependency-check-to-maven-profile-5.x,2,High
Activiti_Activiti,feature/mteodori-1762-move-dependency-check-to-maven-profile-5.x,3,Medium
Activiti_Activiti,feature/mteodori-1762-move-dependency-check-to-maven-profile-6.x,2,High
Activiti_Activiti,feature/mteodori-1762-move-dependency-check-to-maven-profile-6.x,3,Medium
Activiti_Activiti,feature/mteodori-1767-log4j-vulnerability,2,High
Activiti_Activiti,feature/mteodori-1767-log4j-vulnerability,3,Medium
Activiti_Activiti,feature/mteodori-1790-upgrade-to-spring-cloud-finchley-M7,2,Medium
Activiti_Activiti,feature/mteodori-1790-upgrade-to-spring-cloud-finchley-M7,3,Medium
Activiti_Activiti,feature/mteodori-1817-jgraphx-vulnerability,2,Medium
Activiti_Activiti,feature/mteodori-1817-jgraphx-vulnerability,3,Medium
