Project,Builds,Coeff,Increase
Activiti_Activiti,256,-9.88794430224366,-48.8318121426547
Asana_java-asana,36,11.4447742733457,49.6968463667514
AsyncHttpClient_async-http-client,199,-11.2501662950576,-43.1698932670067
Atmosphere_atmosphere,53,-0.135954469507098,-1.46665222182394
AxonFramework_AxonFramework,332,3.72462723022199,24.6554413848793
AzureAD_azure-activedirectory-library-for-java,68,26.466223155929,962.382586829776
Baeldung_spring-security-registration,46,1.09255599472991,30.3135745534552
CESNET_perun,691,3.97709620390293,41.1572156554735
CloudSlang_cloud-slang,60,6.28489288489287,14.2303502115766
CloudSlang_cs-actions,260,-10.8648577813035,-23.1305692187742
CloudSlang_score,50,11.0666053391053,29.785967999158
DSpace_DSpace,480,6.32258255372177,20.3439978343516
Evolveum_midpoint,596,-50.0220776385419,-13.3315698768341
FeatureIDE_FeatureIDE,107,15.1603201970443,382.582742797413
FenixEdu_fenixedu-academic,238,-16.3779951402497,-58.6213507559117
GalateaRaj_fuse-starter-java,18,-10.375,-16.0531235897106
Graylog2_gelfclient,19,84.55,178.438269433697
Graylog2_graylog2-server,650,13.115194088816,34.2179743937607
HubSpot_Rosetta,11,-75.1999999999999,-42.9223744292237
HubSpot_jinjava,59,0.178057851239658,0.570579723034648
LiveRamp_hank,17,-12.1160714285714,-20.8486971484759
ObeoNetwork_SysML-Designer,40,-8.6979797979798,-21.0714995794142
ObeoNetwork_UML-Designer,42,-4.58409090909093,-6.1785562947042
OpenTOSCA_container,131,0.366873224385545,2.59260387129052
SonarSource_sonar-java,1349,-2.3264678776451,-12.4749621608112
TexasDigitalLibrary_Vireo,22,-3.40376984126982,-3.55724668484514
WASdev_sample.batch.bonuspayout,13,33.7333333333333,375.19116397621
Yubico_java-u2flib-server,1,NA,NA
authorjapps_zerocode,212,4.11309602233515,176.75088469114
cerberustesting_cerberus-source,423,-3.53955724666361,-27.6813146107015
checkstyle_checkstyle,1651,77.2994241566669,54.6849753035142
codecentric_spring-boot-admin,379,9.73528659521439,44.9105283254099
daisy_pipeline-mod-braille,22,-78.6070707070707,-62.8029343168191
datasift_datasift-java,22,3.53197278911564,27.2061315102756
dbeaver_dbeaver,1199,0.780204334790091,12.9499945836173
deegree_deegree3,69,-19.2472190799396,-14.2603957788985
devicehive_devicehive-java,16,20.75,68.721251149954
dmusican_Elegit,1,NA,NA
fcrepo4_fcrepo4,318,1.16391631661133,3.21078984124028
geotools_geotools,576,-11.2109635111999,-26.9315365343775
getgauge_gauge-java,75,6.29471884840306,15.6681915163418
gooddata_gooddata-java,157,1.19096482835558,12.2038986387436
google_closure-compiler,305,-6.39023863121645,-23.3569530064096
google_guava,211,65.7276603096114,86.9517820938627
google_truth,118,1.05680840323698,12.5364952760051
graphaware_neo4j-uuid,26,-12.280303030303,-34.6289252761484
hhru_nuts-and-bolts,173,-4.74303713838211,-29.4738943593406
imglib_imglib2,96,1.17603338690295,23.1625809679713
jamesagnew_hapi-fhir,453,-13.2159184268548,-18.5859797118254
jhunters_jprotobuf,21,2.90959595959596,26.9088248116087
jtablesaw_tablesaw,465,-0.967798525049728,-12.8306461448782
kermitt2_grobid-quantities,2,NA,NA
lucasledesma_helloworld,39,NA,NA
magefree_mage,2053,-2.47407653272461,-18.0561324140607
marklogic-community_ml-app-deployer,19,12.8926470588235,76.3842300152472
molgenis_molgenis,1543,49.8608675404461,65.6972688965573
openmicroscopy_bioformats,336,-6.71482563502524,-6.95756691108754
openmrs_openmrs-core,821,3.44634391098778,18.3353698370351
openmrs_openmrs-module-fhir,40,1.28017857142857,7.43097061230273
openmrs_openmrs-module-htmlformentry,59,-5.98430246224364,-14.8512409295462
opentable_otj-logging,12,12.75,40.3162055335967
opentable_otj-pg-embedded,27,11.9800699300699,88.9568092128036
openworm_org.geppetto.core,15,-28.0714285714286,-44.1655740775426
openworm_org.geppetto.model.neuroml,4,7.00000000000006,2.72904483430803
oskariorg_oskari-server,7,139.571428571429,58.2078881518847
otavanopisto_pyramus,170,0.455868279868284,0.855962115183728
php-coder_mystamps,136,0.167180337699818,0.361020650154154
proofpoint_platform,134,11.6470228494624,48.5066501824509
qos-ch_logback,90,0.7827860091405,11.1512129478412
rackerlabs_blueflood,36,2.31272058823529,6.32587730912721
resteasy_Resteasy,592,72.4126819620589,37.7740309086582
saalfeldlab_render,49,0.6266253869969,5.10256865143461
saikrishna321_AppiumTestDistribution,151,59.6969316078922,257.462196515592
scijava_scijava-common,72,-0.739321789321789,-11.7831540875175
shilad_wikibrain,2,NA,NA
soluvas_soluvas-framework,40,5.10024509803922,27.8703784312281
speedment_speedment,101,13.7832101610511,82.4206438052975
spotify_docker-client,110,7.33290200138024,6.45629426598764
spring-cloud_spring-cloud-aws,286,1.32773068249338,11.9805197667258
spring-cloud_spring-cloud-bus,25,6.37107843137255,62.26306628555
square_okhttp,744,4.64777303761938,33.2295585963569
square_retrofit,131,3.70941832298136,53.8546827180605
testmycode_tmc-cli,5,64.9999999999999,57.2407045009784
testmycode_tmc-intellij,17,8.60714285714286,24.7732827740595
thingsboard_thingsboard,339,4.5251279502435,8.49530789616424
thingsboard_thingsboard-gateway,1,NA,NA
threerings_tripleplay,20,10.9982142857143,66.2808425155894
unic_neba,42,-15.985606060606,-56.9037895109023
unipop-graph_unipop,25,4.14797979797976,1.56355400603998
vespa-engine_vespa,4767,7.32339110557628,16.7289569018614
weld_core,297,0.347346038527623,1.33237076509862
wmixvideo_nfe,176,-12.5683286742497,-65.2228260353394
xetorthio_jedis,160,5.00374940490029,31.6671954630478
