build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
323821897,Mon Jan 01 17:33:58  2018,master,true,Mon Jan 01 17:33:58  2018,Mon Jan 01 17:33:58  2018,null,null,Mon Jan 01 17:33:58  2018,-1,-1,0,0
324674844,Wed Jan 03 17:34:02  2018,master,true,Mon Jan 01 17:33:58  2018,Wed Jan 03 17:34:02  2018,null,null,Mon Jan 01 17:33:58  2018,-1,-1,172804000,172804000
325520419,Fri Jan 05 16:54:04  2018,master,true,Mon Jan 01 17:33:58  2018,Wed Jan 03 17:34:02  2018,null,null,Mon Jan 01 17:33:58  2018,-1,-1,172804000,172804000
325520419,Fri Jan 05 16:54:04  2018,master,true,Fri Jan 05 16:54:04  2018,Fri Jan 05 16:54:04  2018,Wed Jan 03 17:34:02  2018,master,Fri Jan 05 16:54:04  2018,-1,-1,0,0
325535319,Fri Jan 05 17:36:49  2018,master,true,Mon Jan 01 17:33:58  2018,Fri Jan 05 17:36:49  2018,Fri Jan 05 16:54:04  2018,master,Mon Jan 01 17:33:58  2018,343206000,-1,345771000,345771000
325535319,Fri Jan 05 17:36:49  2018,master,true,Fri Jan 05 16:54:04  2018,Fri Jan 05 16:54:04  2018,Fri Jan 05 17:36:49  2018,master,Fri Jan 05 16:54:04  2018,2565000,2565000,0,0
326095982,Sun Jan 07 17:38:48  2018,master,true,Mon Jan 01 17:33:58  2018,Sun Jan 07 17:38:48  2018,Fri Jan 05 16:54:04  2018,master,Mon Jan 01 17:33:58  2018,343206000,-1,518690000,518690000
326095982,Sun Jan 07 17:38:48  2018,master,true,Fri Jan 05 16:54:04  2018,Fri Jan 05 16:54:04  2018,Sun Jan 07 17:38:48  2018,master,Fri Jan 05 16:54:04  2018,175484000,175484000,0,0
326675350,Tue Jan 09 05:11:12  2018,master,true,Mon Jan 01 17:33:58  2018,Sun Jan 07 17:38:48  2018,Tue Jan 09 05:11:12  2018,master,Mon Jan 01 17:33:58  2018,646634000,127944000,518690000,518690000
326675350,Tue Jan 09 05:11:12  2018,master,true,Fri Jan 05 16:54:04  2018,Tue Jan 09 05:11:12  2018,Sun Jan 07 17:38:48  2018,master,Fri Jan 05 16:54:04  2018,175484000,-1,303428000,303428000
326776667,Tue Jan 09 11:45:56  2018,master,true,Mon Jan 01 17:33:58  2018,Sun Jan 07 17:38:48  2018,Tue Jan 09 11:45:56  2018,master,Mon Jan 01 17:33:58  2018,670318000,151628000,518690000,518690000
326776667,Tue Jan 09 11:45:56  2018,master,true,Fri Jan 05 16:54:04  2018,Tue Jan 09 11:45:56  2018,Sun Jan 07 17:38:48  2018,master,Fri Jan 05 16:54:04  2018,175484000,-1,327112000,327112000
326776767,Tue Jan 09 11:48:26  2018,master,true,Mon Jan 01 17:33:58  2018,Sun Jan 07 17:38:48  2018,Tue Jan 09 11:48:26  2018,master,Mon Jan 01 17:33:58  2018,670468000,151778000,518690000,518690000
326776767,Tue Jan 09 11:48:26  2018,master,true,Fri Jan 05 16:54:04  2018,Tue Jan 09 11:48:26  2018,Sun Jan 07 17:38:48  2018,master,Fri Jan 05 16:54:04  2018,175484000,-1,327262000,327262000
326777899,Tue Jan 09 11:49:46  2018,master,true,Mon Jan 01 17:33:58  2018,Sun Jan 07 17:38:48  2018,Tue Jan 09 11:49:46  2018,master,Mon Jan 01 17:33:58  2018,670548000,151858000,518690000,518690000
326777899,Tue Jan 09 11:49:46  2018,master,true,Fri Jan 05 16:54:04  2018,Tue Jan 09 11:49:46  2018,Sun Jan 07 17:38:48  2018,master,Fri Jan 05 16:54:04  2018,175484000,-1,327342000,327342000
326777913,Tue Jan 09 11:49:52  2018,master,true,Mon Jan 01 17:33:58  2018,Tue Jan 09 11:49:52  2018,Tue Jan 09 11:49:46  2018,master,Mon Jan 01 17:33:58  2018,670548000,-1,670554000,670554000
326777913,Tue Jan 09 11:49:52  2018,master,true,Fri Jan 05 16:54:04  2018,Tue Jan 09 11:49:46  2018,Tue Jan 09 11:49:52  2018,master,Fri Jan 05 16:54:04  2018,327348000,6000,327342000,327342000
326778002,Tue Jan 09 11:50:53  2018,master,true,Mon Jan 01 17:33:58  2018,Tue Jan 09 11:49:52  2018,Tue Jan 09 11:50:53  2018,master,Mon Jan 01 17:33:58  2018,670615000,61000,670554000,670554000
326778002,Tue Jan 09 11:50:53  2018,master,true,Fri Jan 05 16:54:04  2018,Tue Jan 09 11:50:53  2018,Tue Jan 09 11:49:52  2018,master,Fri Jan 05 16:54:04  2018,327348000,-1,327409000,327409000
327250018,Wed Jan 10 14:24:17  2018,master,true,Mon Jan 01 17:33:58  2018,Tue Jan 09 11:49:52  2018,Wed Jan 10 14:24:17  2018,master,Mon Jan 01 17:33:58  2018,766219000,95665000,670554000,670554000
327250018,Wed Jan 10 14:24:17  2018,master,true,Fri Jan 05 16:54:04  2018,Wed Jan 10 14:24:17  2018,Tue Jan 09 11:49:52  2018,master,Fri Jan 05 16:54:04  2018,327348000,-1,423013000,423013000
327333240,Wed Jan 10 17:44:36  2018,master,true,Mon Jan 01 17:33:58  2018,Wed Jan 10 17:44:36  2018,Wed Jan 10 14:24:17  2018,master,Mon Jan 01 17:33:58  2018,766219000,-1,778238000,778238000
327333240,Wed Jan 10 17:44:36  2018,master,true,Fri Jan 05 16:54:04  2018,Wed Jan 10 14:24:17  2018,Wed Jan 10 17:44:36  2018,master,Fri Jan 05 16:54:04  2018,435032000,12019000,423013000,423013000
328211348,Fri Jan 12 17:38:28  2018,master,true,Mon Jan 01 17:33:58  2018,Fri Jan 12 17:38:28  2018,Wed Jan 10 14:24:17  2018,master,Mon Jan 01 17:33:58  2018,766219000,-1,950670000,950670000
328211348,Fri Jan 12 17:38:28  2018,master,true,Fri Jan 05 16:54:04  2018,Wed Jan 10 14:24:17  2018,Fri Jan 12 17:38:28  2018,master,Fri Jan 05 16:54:04  2018,607464000,184451000,423013000,423013000
328778069,Sun Jan 14 17:40:06  2018,master,true,Mon Jan 01 17:33:58  2018,Sun Jan 14 17:40:06  2018,Wed Jan 10 14:24:17  2018,master,Mon Jan 01 17:33:58  2018,766219000,-1,1123568000,1123568000
328778069,Sun Jan 14 17:40:06  2018,master,true,Fri Jan 05 16:54:04  2018,Wed Jan 10 14:24:17  2018,Sun Jan 14 17:40:06  2018,master,Fri Jan 05 16:54:04  2018,780362000,357349000,423013000,423013000
329983820,Wed Jan 17 17:40:08  2018,master,true,Mon Jan 01 17:33:58  2018,Wed Jan 17 17:40:08  2018,Wed Jan 10 14:24:17  2018,master,Mon Jan 01 17:33:58  2018,766219000,-1,1382770000,1382770000
329983820,Wed Jan 17 17:40:08  2018,master,true,Fri Jan 05 16:54:04  2018,Wed Jan 10 14:24:17  2018,Wed Jan 17 17:40:08  2018,master,Fri Jan 05 16:54:04  2018,1039564000,616551000,423013000,423013000
330271574,Thu Jan 18 09:30:50  2018,master,true,Mon Jan 01 17:33:58  2018,Wed Jan 17 17:40:08  2018,Thu Jan 18 09:30:50  2018,master,Mon Jan 01 17:33:58  2018,1439812000,57042000,1382770000,1382770000
