build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
335888992,Wed Jan 31 23:53:18  2018,master,true,Wed Jan 31 23:53:18  2018,Wed Jan 31 23:53:18  2018,null,null,Wed Jan 31 23:53:18  2018,-1,-1,0,0
335890805,Thu Feb 01 00:00:14  2018,master,true,Wed Jan 31 23:53:18  2018,Thu Feb 01 00:00:14  2018,null,null,Wed Jan 31 23:53:18  2018,-1,-1,416000,416000
335892192,Thu Feb 01 00:05:39  2018,master,true,Wed Jan 31 23:53:18  2018,Thu Feb 01 00:05:39  2018,null,null,Wed Jan 31 23:53:18  2018,-1,-1,741000,741000
335896816,Thu Feb 01 00:21:10  2018,master,true,Wed Jan 31 23:53:18  2018,Thu Feb 01 00:21:10  2018,null,null,Wed Jan 31 23:53:18  2018,-1,-1,1672000,1672000
335898264,Thu Feb 01 00:27:14  2018,master,true,Wed Jan 31 23:53:18  2018,Thu Feb 01 00:27:14  2018,null,null,Wed Jan 31 23:53:18  2018,-1,-1,2036000,2036000
335898623,Thu Feb 01 00:28:29  2018,master,true,Wed Jan 31 23:53:18  2018,Thu Feb 01 00:28:29  2018,null,null,Wed Jan 31 23:53:18  2018,-1,-1,2111000,2111000
335903379,Thu Feb 01 00:47:49  2018,master,true,Wed Jan 31 23:53:18  2018,Thu Feb 01 00:47:49  2018,null,null,Wed Jan 31 23:53:18  2018,-1,-1,3271000,3271000
336271916,Thu Feb 01 20:18:27  2018,master,true,Wed Jan 31 23:53:18  2018,Thu Feb 01 00:47:49  2018,null,null,Wed Jan 31 23:53:18  2018,-1,-1,3271000,3271000
336271916,Thu Feb 01 20:18:27  2018,theaeolianmachine-20180201-121820,true,Thu Feb 01 20:18:27  2018,Thu Feb 01 20:18:27  2018,Thu Feb 01 00:47:49  2018,master,Thu Feb 01 20:18:27  2018,-1,-1,0,0
336271986,Thu Feb 01 20:20:37  2018,master,true,Wed Jan 31 23:53:18  2018,Thu Feb 01 00:47:49  2018,Thu Feb 01 20:20:37  2018,theaeolianmachine-20180201-121820,Wed Jan 31 23:53:18  2018,73639000,70368000,3271000,3271000
336271986,Thu Feb 01 20:20:37  2018,theaeolianmachine-20180201-121820,true,Thu Feb 01 20:18:27  2018,Thu Feb 01 20:20:37  2018,Thu Feb 01 00:47:49  2018,master,Thu Feb 01 20:18:27  2018,-1,-1,130000,130000
336275546,Thu Feb 01 20:28:18  2018,master,true,Wed Jan 31 23:53:18  2018,Thu Feb 01 20:28:18  2018,Thu Feb 01 20:20:37  2018,theaeolianmachine-20180201-121820,Wed Jan 31 23:53:18  2018,73639000,-1,74100000,74100000
336275546,Thu Feb 01 20:28:18  2018,theaeolianmachine-20180201-121820,true,Thu Feb 01 20:18:27  2018,Thu Feb 01 20:20:37  2018,Thu Feb 01 20:28:18  2018,master,Thu Feb 01 20:18:27  2018,591000,461000,130000,130000
336284939,Thu Feb 01 20:53:09  2018,master,true,Wed Jan 31 23:53:18  2018,Thu Feb 01 20:28:18  2018,Thu Feb 01 20:53:09  2018,theaeolianmachine-20180201-121820,Wed Jan 31 23:53:18  2018,75591000,1491000,74100000,74100000
336284939,Thu Feb 01 20:53:09  2018,theaeolianmachine-20180201-121820,true,Thu Feb 01 20:18:27  2018,Thu Feb 01 20:53:09  2018,Thu Feb 01 20:28:18  2018,master,Thu Feb 01 20:18:27  2018,591000,-1,2082000,2082000
336284958,Thu Feb 01 20:54:48  2018,master,true,Wed Jan 31 23:53:18  2018,Thu Feb 01 20:54:48  2018,Thu Feb 01 20:53:09  2018,theaeolianmachine-20180201-121820,Wed Jan 31 23:53:18  2018,75591000,-1,75690000,75690000
336284958,Thu Feb 01 20:54:48  2018,theaeolianmachine-20180201-121820,true,Thu Feb 01 20:18:27  2018,Thu Feb 01 20:53:09  2018,Thu Feb 01 20:54:48  2018,master,Thu Feb 01 20:18:27  2018,2181000,99000,2082000,2082000
336289457,Thu Feb 01 21:05:42  2018,master,true,Wed Jan 31 23:53:18  2018,Thu Feb 01 20:54:48  2018,Thu Feb 01 21:05:42  2018,theaeolianmachine-20180201-121820,Wed Jan 31 23:53:18  2018,76344000,654000,75690000,75690000
336289457,Thu Feb 01 21:05:42  2018,theaeolianmachine-20180201-121820,true,Thu Feb 01 20:18:27  2018,Thu Feb 01 21:05:42  2018,Thu Feb 01 20:54:48  2018,master,Thu Feb 01 20:18:27  2018,2181000,-1,2835000,2835000
336289471,Thu Feb 01 21:06:14  2018,master,true,Wed Jan 31 23:53:18  2018,Thu Feb 01 21:06:14  2018,Thu Feb 01 21:05:42  2018,theaeolianmachine-20180201-121820,Wed Jan 31 23:53:18  2018,76344000,-1,76376000,76376000
336289471,Thu Feb 01 21:06:14  2018,theaeolianmachine-20180201-121820,true,Thu Feb 01 20:18:27  2018,Thu Feb 01 21:05:42  2018,Thu Feb 01 21:06:14  2018,master,Thu Feb 01 20:18:27  2018,2867000,32000,2835000,2835000
336799301,Sat Feb 03 01:14:04  2018,master,true,Wed Jan 31 23:53:18  2018,Sat Feb 03 01:14:04  2018,Thu Feb 01 21:05:42  2018,theaeolianmachine-20180201-121820,Wed Jan 31 23:53:18  2018,76344000,-1,177646000,177646000
