build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
326187395,Mon Jan 08 00:20:21  2018,master,true,Mon Jan 08 00:20:21  2018,Mon Jan 08 00:20:21  2018,null,null,Mon Jan 08 00:20:21  2018,-1,-1,0,0
326187932,Mon Jan 08 00:23:26  2018,master,true,Mon Jan 08 00:20:21  2018,Mon Jan 08 00:23:26  2018,null,null,Mon Jan 08 00:20:21  2018,-1,-1,185000,185000
327355490,Wed Jan 10 18:33:52  2018,master,true,Mon Jan 08 00:20:21  2018,Wed Jan 10 18:33:52  2018,null,null,Mon Jan 08 00:20:21  2018,-1,-1,238411000,238411000
327355861,Wed Jan 10 18:34:45  2018,master,true,Mon Jan 08 00:20:21  2018,Wed Jan 10 18:34:45  2018,null,null,Mon Jan 08 00:20:21  2018,-1,-1,238464000,238464000
330100909,Wed Jan 17 22:23:01  2018,master,true,Mon Jan 08 00:20:21  2018,Wed Jan 17 22:23:01  2018,null,null,Mon Jan 08 00:20:21  2018,-1,-1,856960000,856960000
330109665,Wed Jan 17 22:46:35  2018,master,true,Mon Jan 08 00:20:21  2018,Wed Jan 17 22:46:35  2018,null,null,Mon Jan 08 00:20:21  2018,-1,-1,858374000,858374000
330119809,Wed Jan 17 23:16:26  2018,master,true,Mon Jan 08 00:20:21  2018,Wed Jan 17 23:16:26  2018,null,null,Mon Jan 08 00:20:21  2018,-1,-1,860165000,860165000
330120799,Wed Jan 17 23:19:33  2018,master,true,Mon Jan 08 00:20:21  2018,Wed Jan 17 23:19:33  2018,null,null,Mon Jan 08 00:20:21  2018,-1,-1,860352000,860352000
330122411,Wed Jan 17 23:24:31  2018,master,true,Mon Jan 08 00:20:21  2018,Wed Jan 17 23:24:31  2018,null,null,Mon Jan 08 00:20:21  2018,-1,-1,860650000,860650000
330122871,Wed Jan 17 23:26:27  2018,master,true,Mon Jan 08 00:20:21  2018,Wed Jan 17 23:26:27  2018,null,null,Mon Jan 08 00:20:21  2018,-1,-1,860766000,860766000
330126105,Wed Jan 17 23:36:57  2018,master,true,Mon Jan 08 00:20:21  2018,Wed Jan 17 23:36:57  2018,null,null,Mon Jan 08 00:20:21  2018,-1,-1,861396000,861396000
336543322,Fri Feb 02 13:00:04  2018,master,true,Mon Jan 08 00:20:21  2018,Fri Feb 02 13:00:04  2018,null,null,Mon Jan 08 00:20:21  2018,-1,-1,2205583000,2205583000
342405679,Fri Feb 16 15:57:52  2018,master,true,Mon Jan 08 00:20:21  2018,Fri Feb 16 15:57:52  2018,null,null,Mon Jan 08 00:20:21  2018,-1,-1,3425851000,3425851000
