build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
324488427,Wed Jan 03 08:22:33  2018,master,true,Wed Jan 03 08:22:33  2018,Wed Jan 03 08:22:33  2018,null,null,Wed Jan 03 08:22:33  2018,-1,-1,0,0
324494643,Wed Jan 03 08:45:56  2018,master,true,Wed Jan 03 08:22:33  2018,Wed Jan 03 08:45:56  2018,null,null,Wed Jan 03 08:22:33  2018,-1,-1,1403000,1403000
330789420,Fri Jan 19 12:35:07  2018,master,true,Wed Jan 03 08:22:33  2018,Wed Jan 03 08:45:56  2018,null,null,Wed Jan 03 08:22:33  2018,-1,-1,1403000,1403000
330789420,Fri Jan 19 12:35:07  2018,feature/463,true,Fri Jan 19 12:35:07  2018,Fri Jan 19 12:35:07  2018,Wed Jan 03 08:45:56  2018,master,Fri Jan 19 12:35:07  2018,-1,-1,0,0
334195592,Sat Jan 27 20:53:10  2018,master,true,Wed Jan 03 08:22:33  2018,Sat Jan 27 20:53:10  2018,Fri Jan 19 12:35:07  2018,feature/463,Wed Jan 03 08:22:33  2018,1397554000,-1,2118637000,2118637000
334195592,Sat Jan 27 20:53:10  2018,feature/463,true,Fri Jan 19 12:35:07  2018,Fri Jan 19 12:35:07  2018,Sat Jan 27 20:53:10  2018,master,Fri Jan 19 12:35:07  2018,721083000,721083000,0,0
334195805,Sat Jan 27 20:54:16  2018,master,true,Wed Jan 03 08:22:33  2018,Sat Jan 27 20:53:10  2018,Fri Jan 19 12:35:07  2018,feature/463,Wed Jan 03 08:22:33  2018,1397554000,-1,2118637000,2118637000
334195805,Sat Jan 27 20:54:16  2018,feature/463,true,Fri Jan 19 12:35:07  2018,Fri Jan 19 12:35:07  2018,Sat Jan 27 20:53:10  2018,master,Fri Jan 19 12:35:07  2018,721083000,721083000,0,0
334198176,Sat Jan 27 21:05:31  2018,master,true,Wed Jan 03 08:22:33  2018,Sat Jan 27 20:53:10  2018,Fri Jan 19 12:35:07  2018,feature/463,Wed Jan 03 08:22:33  2018,1397554000,-1,2118637000,2118637000
334198176,Sat Jan 27 21:05:31  2018,feature/463,true,Fri Jan 19 12:35:07  2018,Fri Jan 19 12:35:07  2018,Sat Jan 27 20:53:10  2018,master,Fri Jan 19 12:35:07  2018,721083000,721083000,0,0
334613218,Mon Jan 29 08:57:03  2018,master,true,Wed Jan 03 08:22:33  2018,Mon Jan 29 08:57:03  2018,Fri Jan 19 12:35:07  2018,feature/463,Wed Jan 03 08:22:33  2018,1397554000,-1,2248470000,2248470000
334613218,Mon Jan 29 08:57:03  2018,feature/463,true,Fri Jan 19 12:35:07  2018,Fri Jan 19 12:35:07  2018,Mon Jan 29 08:57:03  2018,master,Fri Jan 19 12:35:07  2018,850916000,850916000,0,0
334781820,Mon Jan 29 16:36:58  2018,master,true,Wed Jan 03 08:22:33  2018,Mon Jan 29 08:57:03  2018,Mon Jan 29 16:36:58  2018,feature/463,Wed Jan 03 08:22:33  2018,2276065000,27595000,2248470000,2248470000
334781820,Mon Jan 29 16:36:58  2018,feature/463,true,Fri Jan 19 12:35:07  2018,Mon Jan 29 16:36:58  2018,Mon Jan 29 08:57:03  2018,master,Fri Jan 19 12:35:07  2018,850916000,-1,878511000,878511000
334782100,Mon Jan 29 16:37:46  2018,master,true,Wed Jan 03 08:22:33  2018,Mon Jan 29 08:57:03  2018,Mon Jan 29 16:37:46  2018,feature/463,Wed Jan 03 08:22:33  2018,2276113000,27643000,2248470000,2248470000
334782100,Mon Jan 29 16:37:46  2018,feature/463,true,Fri Jan 19 12:35:07  2018,Mon Jan 29 16:37:46  2018,Mon Jan 29 08:57:03  2018,master,Fri Jan 19 12:35:07  2018,850916000,-1,878559000,878559000
336873383,Mon Feb 05 11:35:38  2018,master,true,Wed Jan 03 08:22:33  2018,Mon Feb 05 11:35:38  2018,Mon Jan 29 16:37:46  2018,feature/463,Wed Jan 03 08:22:33  2018,2276113000,-1,2862785000,2862785000
336873383,Mon Feb 05 11:35:38  2018,feature/463,true,Fri Jan 19 12:35:07  2018,Mon Jan 29 16:37:46  2018,Mon Feb 05 11:35:38  2018,master,Fri Jan 19 12:35:07  2018,1465231000,586672000,878559000,878559000
337992379,Tue Feb 06 12:45:36  2018,master,true,Wed Jan 03 08:22:33  2018,Mon Feb 05 11:35:38  2018,Tue Feb 06 12:45:36  2018,feature/463,Wed Jan 03 08:22:33  2018,2953383000,90598000,2862785000,2862785000
337992379,Tue Feb 06 12:45:36  2018,feature/463,true,Fri Jan 19 12:35:07  2018,Tue Feb 06 12:45:36  2018,Mon Feb 05 11:35:38  2018,master,Fri Jan 19 12:35:07  2018,1465231000,-1,1555829000,1555829000
337996629,Tue Feb 06 12:58:30  2018,master,true,Wed Jan 03 08:22:33  2018,Tue Feb 06 12:58:30  2018,Tue Feb 06 12:45:36  2018,feature/463,Wed Jan 03 08:22:33  2018,2953383000,-1,2954157000,2954157000
337996629,Tue Feb 06 12:58:30  2018,feature/463,true,Fri Jan 19 12:35:07  2018,Tue Feb 06 12:45:36  2018,Tue Feb 06 12:58:30  2018,master,Fri Jan 19 12:35:07  2018,1556603000,774000,1555829000,1555829000
338074661,Tue Feb 06 16:29:57  2018,master,true,Wed Jan 03 08:22:33  2018,Tue Feb 06 16:29:57  2018,Tue Feb 06 12:45:36  2018,feature/463,Wed Jan 03 08:22:33  2018,2953383000,-1,2966844000,2966844000
338074661,Tue Feb 06 16:29:57  2018,feature/463,true,Fri Jan 19 12:35:07  2018,Tue Feb 06 12:45:36  2018,Tue Feb 06 16:29:57  2018,master,Fri Jan 19 12:35:07  2018,1569290000,13461000,1555829000,1555829000
338088536,Tue Feb 06 16:32:09  2018,master,true,Wed Jan 03 08:22:33  2018,Tue Feb 06 16:32:09  2018,Tue Feb 06 12:45:36  2018,feature/463,Wed Jan 03 08:22:33  2018,2953383000,-1,2966976000,2966976000
338088536,Tue Feb 06 16:32:09  2018,feature/463,true,Fri Jan 19 12:35:07  2018,Tue Feb 06 12:45:36  2018,Tue Feb 06 16:32:09  2018,master,Fri Jan 19 12:35:07  2018,1569422000,13593000,1555829000,1555829000
338084964,Wed Feb 07 08:17:01  2018,master,true,Wed Jan 03 08:22:33  2018,Wed Feb 07 08:17:01  2018,Tue Feb 06 12:45:36  2018,feature/463,Wed Jan 03 08:22:33  2018,2953383000,-1,3023668000,3023668000
338084964,Wed Feb 07 08:17:01  2018,feature/463,true,Fri Jan 19 12:35:07  2018,Tue Feb 06 12:45:36  2018,Wed Feb 07 08:17:01  2018,master,Fri Jan 19 12:35:07  2018,1626114000,70285000,1555829000,1555829000
338433264,Wed Feb 07 10:42:27  2018,master,true,Wed Jan 03 08:22:33  2018,Wed Feb 07 10:42:27  2018,Tue Feb 06 12:45:36  2018,feature/463,Wed Jan 03 08:22:33  2018,2953383000,-1,3032394000,3032394000
338433264,Wed Feb 07 10:42:27  2018,feature/463,true,Fri Jan 19 12:35:07  2018,Tue Feb 06 12:45:36  2018,Wed Feb 07 10:42:27  2018,master,Fri Jan 19 12:35:07  2018,1634840000,79011000,1555829000,1555829000
338422888,Wed Feb 07 10:47:11  2018,master,true,Wed Jan 03 08:22:33  2018,Wed Feb 07 10:47:11  2018,Tue Feb 06 12:45:36  2018,feature/463,Wed Jan 03 08:22:33  2018,2953383000,-1,3032678000,3032678000
338422888,Wed Feb 07 10:47:11  2018,feature/463,true,Fri Jan 19 12:35:07  2018,Tue Feb 06 12:45:36  2018,Wed Feb 07 10:47:11  2018,master,Fri Jan 19 12:35:07  2018,1635124000,79295000,1555829000,1555829000
338478820,Wed Feb 07 12:38:05  2018,master,true,Wed Jan 03 08:22:33  2018,Wed Feb 07 10:47:11  2018,Tue Feb 06 12:45:36  2018,feature/463,Wed Jan 03 08:22:33  2018,2953383000,-1,3032678000,3032678000
338478820,Wed Feb 07 12:38:05  2018,feature/463,true,Fri Jan 19 12:35:07  2018,Tue Feb 06 12:45:36  2018,Wed Feb 07 10:47:11  2018,master,Fri Jan 19 12:35:07  2018,1635124000,79295000,1555829000,1555829000
338478820,Wed Feb 07 12:38:05  2018,feature-441-replay-api,true,Wed Feb 07 12:38:05  2018,Wed Feb 07 12:38:05  2018,Wed Feb 07 10:47:11  2018,master,Wed Feb 07 12:38:05  2018,-1,-1,0,0
338703306,Thu Feb 08 08:06:40  2018,master,true,Wed Jan 03 08:22:33  2018,Wed Feb 07 10:47:11  2018,Thu Feb 08 08:06:40  2018,feature-441-replay-api,Wed Jan 03 08:22:33  2018,3109447000,76769000,3032678000,3032678000
338703306,Thu Feb 08 08:06:40  2018,feature/463,true,Fri Jan 19 12:35:07  2018,Tue Feb 06 12:45:36  2018,Thu Feb 08 08:06:40  2018,feature-441-replay-api,Fri Jan 19 12:35:07  2018,1711893000,156064000,1555829000,1555829000
338703306,Thu Feb 08 08:06:40  2018,feature-441-replay-api,true,Wed Feb 07 12:38:05  2018,Thu Feb 08 08:06:40  2018,Wed Feb 07 10:47:11  2018,master,Wed Feb 07 12:38:05  2018,-1,-1,70115000,70115000
338959974,Thu Feb 08 12:44:37  2018,master,true,Wed Jan 03 08:22:33  2018,Wed Feb 07 10:47:11  2018,Thu Feb 08 08:06:40  2018,feature-441-replay-api,Wed Jan 03 08:22:33  2018,3109447000,76769000,3032678000,3032678000
338959974,Thu Feb 08 12:44:37  2018,feature/463,true,Fri Jan 19 12:35:07  2018,Tue Feb 06 12:45:36  2018,Thu Feb 08 08:06:40  2018,feature-441-replay-api,Fri Jan 19 12:35:07  2018,1711893000,156064000,1555829000,1555829000
338959974,Thu Feb 08 12:44:37  2018,feature-441-replay-api,true,Wed Feb 07 12:38:05  2018,Thu Feb 08 08:06:40  2018,Wed Feb 07 10:47:11  2018,master,Wed Feb 07 12:38:05  2018,-1,-1,70115000,70115000
338959974,Thu Feb 08 12:44:37  2018,feature/488,true,Thu Feb 08 12:44:37  2018,Thu Feb 08 12:44:37  2018,Thu Feb 08 08:06:40  2018,feature-441-replay-api,Thu Feb 08 12:44:37  2018,-1,-1,0,0
