build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
325637472,Fri Jan 05 22:28:38  2018,master,true,Fri Jan 05 22:28:38  2018,Fri Jan 05 22:28:38  2018,null,null,Fri Jan 05 22:28:38  2018,-1,-1,0,0
327076465,Wed Jan 10 02:30:00  2018,master,true,Fri Jan 05 22:28:38  2018,Fri Jan 05 22:28:38  2018,null,null,Fri Jan 05 22:28:38  2018,-1,-1,0,0
327076465,Wed Jan 10 02:30:00  2018,somkape/pii,true,Wed Jan 10 02:30:00  2018,Wed Jan 10 02:30:00  2018,Fri Jan 05 22:28:38  2018,master,Wed Jan 10 02:30:00  2018,-1,-1,0,0
327076484,Wed Jan 10 02:30:02  2018,master,true,Fri Jan 05 22:28:38  2018,Wed Jan 10 02:30:02  2018,Wed Jan 10 02:30:00  2018,somkape/pii,Fri Jan 05 22:28:38  2018,360082000,-1,360084000,360084000
327076484,Wed Jan 10 02:30:02  2018,somkape/pii,true,Wed Jan 10 02:30:00  2018,Wed Jan 10 02:30:00  2018,Wed Jan 10 02:30:02  2018,master,Wed Jan 10 02:30:00  2018,2000,2000,0,0
327941646,Fri Jan 12 01:27:18  2018,master,true,Fri Jan 05 22:28:38  2018,Fri Jan 12 01:27:18  2018,Wed Jan 10 02:30:00  2018,somkape/pii,Fri Jan 05 22:28:38  2018,360082000,-1,529120000,529120000
327941646,Fri Jan 12 01:27:18  2018,somkape/pii,true,Wed Jan 10 02:30:00  2018,Wed Jan 10 02:30:00  2018,Fri Jan 12 01:27:18  2018,master,Wed Jan 10 02:30:00  2018,169038000,169038000,0,0
327962485,Fri Jan 12 03:12:16  2018,master,true,Fri Jan 05 22:28:38  2018,Fri Jan 12 01:27:18  2018,Wed Jan 10 02:30:00  2018,somkape/pii,Fri Jan 05 22:28:38  2018,360082000,-1,529120000,529120000
327962485,Fri Jan 12 03:12:16  2018,somkape/pii,true,Wed Jan 10 02:30:00  2018,Wed Jan 10 02:30:00  2018,Fri Jan 12 01:27:18  2018,master,Wed Jan 10 02:30:00  2018,169038000,169038000,0,0
327962485,Fri Jan 12 03:12:16  2018,somkape/integAuth,true,Fri Jan 12 03:12:16  2018,Fri Jan 12 03:12:16  2018,Fri Jan 12 01:27:18  2018,master,Fri Jan 12 03:12:16  2018,-1,-1,0,0
327962494,Fri Jan 12 03:12:20  2018,master,true,Fri Jan 05 22:28:38  2018,Fri Jan 12 03:12:20  2018,Fri Jan 12 03:12:16  2018,somkape/integAuth,Fri Jan 05 22:28:38  2018,535418000,-1,535422000,535422000
327962494,Fri Jan 12 03:12:20  2018,somkape/pii,true,Wed Jan 10 02:30:00  2018,Wed Jan 10 02:30:00  2018,Fri Jan 12 03:12:20  2018,master,Wed Jan 10 02:30:00  2018,175340000,175340000,0,0
