build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
356025255,Tue Mar 20 19:39:21  2018,master,true,Tue Mar 20 19:39:21  2018,Tue Mar 20 19:39:21  2018,null,null,Tue Mar 20 19:39:21  2018,-1,-1,0,0
356093448,Tue Mar 20 22:18:24  2018,master,true,Tue Mar 20 19:39:21  2018,Tue Mar 20 19:39:21  2018,null,null,Tue Mar 20 19:39:21  2018,-1,-1,0,0
356093448,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue Mar 20 19:39:21  2018,master,Tue Mar 20 22:18:24  2018,-1,-1,0,0
356093450,Tue Mar 20 22:18:47  2018,master,true,Tue Mar 20 19:39:21  2018,Tue Mar 20 22:18:47  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,9566000,9566000
356093450,Tue Mar 20 22:18:47  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:47  2018,master,Tue Mar 20 22:18:24  2018,23000,23000,0,0
356098911,Tue Mar 20 22:31:01  2018,master,true,Tue Mar 20 19:39:21  2018,Tue Mar 20 22:31:01  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,10300000,10300000
356098911,Tue Mar 20 22:31:01  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:31:01  2018,master,Tue Mar 20 22:18:24  2018,757000,757000,0,0
356188567,Wed Mar 21 04:20:06  2018,master,true,Tue Mar 20 19:39:21  2018,Wed Mar 21 04:20:06  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,31245000,31245000
356188567,Wed Mar 21 04:20:06  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Wed Mar 21 04:20:06  2018,master,Tue Mar 20 22:18:24  2018,21702000,21702000,0,0
356736204,Thu Mar 22 06:37:12  2018,master,true,Tue Mar 20 19:39:21  2018,Thu Mar 22 06:37:12  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,125871000,125871000
356736204,Thu Mar 22 06:37:12  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Thu Mar 22 06:37:12  2018,master,Tue Mar 20 22:18:24  2018,116328000,116328000,0,0
357222029,Fri Mar 23 03:50:13  2018,master,true,Tue Mar 20 19:39:21  2018,Fri Mar 23 03:50:13  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,202252000,202252000
357222029,Fri Mar 23 03:50:13  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Fri Mar 23 03:50:13  2018,master,Tue Mar 20 22:18:24  2018,192709000,192709000,0,0
357832532,Sat Mar 24 17:12:45  2018,master,true,Tue Mar 20 19:39:21  2018,Sat Mar 24 17:12:45  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,336804000,336804000
357832532,Sat Mar 24 17:12:45  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Sat Mar 24 17:12:45  2018,master,Tue Mar 20 22:18:24  2018,327261000,327261000,0,0
358509907,Mon Mar 26 17:13:19  2018,master,true,Tue Mar 20 19:39:21  2018,Mon Mar 26 17:13:19  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,506038000,506038000
358509907,Mon Mar 26 17:13:19  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Mon Mar 26 17:13:19  2018,master,Tue Mar 20 22:18:24  2018,496495000,496495000,0,0
358566242,Mon Mar 26 19:25:55  2018,master,true,Tue Mar 20 19:39:21  2018,Mon Mar 26 19:25:55  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,513994000,513994000
358566242,Mon Mar 26 19:25:55  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Mon Mar 26 19:25:55  2018,master,Tue Mar 20 22:18:24  2018,504451000,504451000,0,0
358572101,Mon Mar 26 19:38:57  2018,master,true,Tue Mar 20 19:39:21  2018,Mon Mar 26 19:38:57  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,514776000,514776000
358572101,Mon Mar 26 19:38:57  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Mon Mar 26 19:38:57  2018,master,Tue Mar 20 22:18:24  2018,505233000,505233000,0,0
359055766,Tue Mar 27 19:39:53  2018,master,true,Tue Mar 20 19:39:21  2018,Tue Mar 27 19:39:53  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,601232000,601232000
359055766,Tue Mar 27 19:39:53  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue Mar 27 19:39:53  2018,master,Tue Mar 20 22:18:24  2018,591689000,591689000,0,0
361802847,Tue Apr 03 19:40:14  2018,master,true,Tue Mar 20 19:39:21  2018,Tue Apr 03 19:40:14  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,1206053000,1206053000
361802847,Tue Apr 03 19:40:14  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue Apr 03 19:40:14  2018,master,Tue Mar 20 22:18:24  2018,1196510000,1196510000,0,0
364782087,Tue Apr 10 19:40:34  2018,master,true,Tue Mar 20 19:39:21  2018,Tue Apr 10 19:40:34  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,1810873000,1810873000
364782087,Tue Apr 10 19:40:34  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue Apr 10 19:40:34  2018,master,Tue Mar 20 22:18:24  2018,1801330000,1801330000,0,0
365395127,Thu Apr 12 01:00:18  2018,master,true,Tue Mar 20 19:39:21  2018,Thu Apr 12 01:00:18  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,1916457000,1916457000
365395127,Thu Apr 12 01:00:18  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Thu Apr 12 01:00:18  2018,master,Tue Mar 20 22:18:24  2018,1906914000,1906914000,0,0
367131533,Mon Apr 16 12:34:01  2018,master,true,Tue Mar 20 19:39:21  2018,Mon Apr 16 12:34:01  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,2303680000,2303680000
367131533,Mon Apr 16 12:34:01  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Mon Apr 16 12:34:01  2018,master,Tue Mar 20 22:18:24  2018,2294137000,2294137000,0,0
367151954,Mon Apr 16 13:22:01  2018,master,true,Tue Mar 20 19:39:21  2018,Mon Apr 16 13:22:01  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,2306560000,2306560000
367151954,Mon Apr 16 13:22:01  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Mon Apr 16 13:22:01  2018,master,Tue Mar 20 22:18:24  2018,2297017000,2297017000,0,0
367823854,Tue Apr 17 19:41:06  2018,master,true,Tue Mar 20 19:39:21  2018,Tue Apr 17 19:41:06  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,2415705000,2415705000
367823854,Tue Apr 17 19:41:06  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue Apr 17 19:41:06  2018,master,Tue Mar 20 22:18:24  2018,2406162000,2406162000,0,0
370738219,Tue Apr 24 19:41:16  2018,master,true,Tue Mar 20 19:39:21  2018,Tue Apr 24 19:41:16  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,3020515000,3020515000
370738219,Tue Apr 24 19:41:16  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue Apr 24 19:41:16  2018,master,Tue Mar 20 22:18:24  2018,3010972000,3010972000,0,0
372319399,Sat Apr 28 05:30:18  2018,master,true,Tue Mar 20 19:39:21  2018,Sat Apr 28 05:30:18  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,3315057000,3315057000
372319399,Sat Apr 28 05:30:18  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Sat Apr 28 05:30:18  2018,master,Tue Mar 20 22:18:24  2018,3305514000,3305514000,0,0
372321535,Sat Apr 28 05:45:36  2018,master,true,Tue Mar 20 19:39:21  2018,Sat Apr 28 05:45:36  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,3315975000,3315975000
372321535,Sat Apr 28 05:45:36  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Sat Apr 28 05:45:36  2018,master,Tue Mar 20 22:18:24  2018,3306432000,3306432000,0,0
373618635,Tue May 01 19:41:30  2018,master,true,Tue Mar 20 19:39:21  2018,Tue May 01 19:41:30  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,3625329000,3625329000
373618635,Tue May 01 19:41:30  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue May 01 19:41:30  2018,master,Tue Mar 20 22:18:24  2018,3615786000,3615786000,0,0
376522602,Tue May 08 19:42:30  2018,master,true,Tue Mar 20 19:39:21  2018,Tue May 08 19:42:30  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,4230189000,4230189000
376522602,Tue May 08 19:42:30  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue May 08 19:42:30  2018,master,Tue Mar 20 22:18:24  2018,4220646000,4220646000,0,0
379383806,Tue May 15 19:42:20  2018,master,true,Tue Mar 20 19:39:21  2018,Tue May 15 19:42:20  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,4834979000,4834979000
379383806,Tue May 15 19:42:20  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue May 15 19:42:20  2018,master,Tue Mar 20 22:18:24  2018,4825436000,4825436000,0,0
382332757,Tue May 22 19:43:00  2018,master,true,Tue Mar 20 19:39:21  2018,Tue May 22 19:43:00  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,5439819000,5439819000
382332757,Tue May 22 19:43:00  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue May 22 19:43:00  2018,master,Tue Mar 20 22:18:24  2018,5430276000,5430276000,0,0
385363744,Tue May 29 19:43:10  2018,master,true,Tue Mar 20 19:39:21  2018,Tue May 29 19:43:10  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,6044629000,6044629000
385363744,Tue May 29 19:43:10  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue May 29 19:43:10  2018,master,Tue Mar 20 22:18:24  2018,6035086000,6035086000,0,0
388449079,Tue Jun 05 19:43:12  2018,master,true,Tue Mar 20 19:39:21  2018,Tue Jun 05 19:43:12  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,6649431000,6649431000
388449079,Tue Jun 05 19:43:12  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue Jun 05 19:43:12  2018,master,Tue Mar 20 22:18:24  2018,6639888000,6639888000,0,0
389986586,Sat Jun 09 01:12:43  2018,master,true,Tue Mar 20 19:39:21  2018,Sat Jun 09 01:12:43  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,6928402000,6928402000
389986586,Sat Jun 09 01:12:43  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Sat Jun 09 01:12:43  2018,master,Tue Mar 20 22:18:24  2018,6918859000,6918859000,0,0
390642577,Mon Jun 11 07:32:13  2018,master,true,Tue Mar 20 19:39:21  2018,Mon Jun 11 07:32:13  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,7123972000,7123972000
390642577,Mon Jun 11 07:32:13  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Mon Jun 11 07:32:13  2018,master,Tue Mar 20 22:18:24  2018,7114429000,7114429000,0,0
391345729,Tue Jun 12 16:12:36  2018,master,true,Tue Mar 20 19:39:21  2018,Tue Jun 12 16:12:36  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,7241595000,7241595000
391345729,Tue Jun 12 16:12:36  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue Jun 12 16:12:36  2018,master,Tue Mar 20 22:18:24  2018,7232052000,7232052000,0,0
391429307,Tue Jun 12 19:43:38  2018,master,true,Tue Mar 20 19:39:21  2018,Tue Jun 12 19:43:38  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,7254257000,7254257000
391429307,Tue Jun 12 19:43:38  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue Jun 12 19:43:38  2018,master,Tue Mar 20 22:18:24  2018,7244714000,7244714000,0,0
394263193,Tue Jun 19 19:44:23  2018,master,true,Tue Mar 20 19:39:21  2018,Tue Jun 19 19:44:23  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,7859102000,7859102000
394263193,Tue Jun 19 19:44:23  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue Jun 19 19:44:23  2018,master,Tue Mar 20 22:18:24  2018,7849559000,7849559000,0,0
397045532,Tue Jun 26 19:45:08  2018,master,true,Tue Mar 20 19:39:21  2018,Tue Jun 26 19:45:08  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,8463947000,8463947000
397045532,Tue Jun 26 19:45:08  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue Jun 26 19:45:08  2018,master,Tue Mar 20 22:18:24  2018,8454404000,8454404000,0,0
399737057,Tue Jul 03 19:46:27  2018,master,true,Tue Mar 20 19:39:21  2018,Tue Jul 03 19:46:27  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,9068826000,9068826000
399737057,Tue Jul 03 19:46:27  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue Jul 03 19:46:27  2018,master,Tue Mar 20 22:18:24  2018,9059283000,9059283000,0,0
401121490,Sat Jul 07 02:12:32  2018,master,true,Tue Mar 20 19:39:21  2018,Sat Jul 07 02:12:32  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,9351191000,9351191000
401121490,Sat Jul 07 02:12:32  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Sat Jul 07 02:12:32  2018,master,Tue Mar 20 22:18:24  2018,9341648000,9341648000,0,0
401623984,Mon Jul 09 05:55:37  2018,master,true,Tue Mar 20 19:39:21  2018,Mon Jul 09 05:55:37  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,9537376000,9537376000
401623984,Mon Jul 09 05:55:37  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Mon Jul 09 05:55:37  2018,master,Tue Mar 20 22:18:24  2018,9527833000,9527833000,0,0
402373415,Tue Jul 10 19:46:27  2018,master,true,Tue Mar 20 19:39:21  2018,Tue Jul 10 19:46:27  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,9673626000,9673626000
402373415,Tue Jul 10 19:46:27  2018,pivovarit-patch-1,true,Tue Mar 20 22:18:24  2018,Tue Mar 20 22:18:24  2018,Tue Jul 10 19:46:27  2018,master,Tue Mar 20 22:18:24  2018,9664083000,9664083000,0,0
402631373,Wed Jul 11 12:12:19  2018,master,true,Tue Mar 20 19:39:21  2018,Wed Jul 11 12:12:19  2018,Tue Mar 20 22:18:24  2018,pivovarit-patch-1,Tue Mar 20 19:39:21  2018,9543000,-1,9732778000,9732778000
