build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
324097847,Tue Jan 02 11:56:33  2018,master,true,Tue Jan 02 11:56:33  2018,Tue Jan 02 11:56:33  2018,null,null,Tue Jan 02 11:56:33  2018,-1,-1,0,0
324103329,Tue Jan 02 12:19:11  2018,master,true,Tue Jan 02 11:56:33  2018,Tue Jan 02 12:19:11  2018,null,null,Tue Jan 02 11:56:33  2018,-1,-1,1358000,1358000
324458574,Wed Jan 03 05:32:31  2018,master,true,Tue Jan 02 11:56:33  2018,Tue Jan 02 12:19:11  2018,null,null,Tue Jan 02 11:56:33  2018,-1,-1,1358000,1358000
324458574,Wed Jan 03 05:32:31  2018,production,true,Wed Jan 03 05:32:31  2018,Wed Jan 03 05:32:31  2018,Tue Jan 02 12:19:11  2018,master,Wed Jan 03 05:32:31  2018,-1,-1,0,0
324488695,Wed Jan 03 08:23:22  2018,master,true,Tue Jan 02 11:56:33  2018,Wed Jan 03 08:23:22  2018,Wed Jan 03 05:32:31  2018,production,Tue Jan 02 11:56:33  2018,63358000,-1,73609000,73609000
324488695,Wed Jan 03 08:23:22  2018,production,true,Wed Jan 03 05:32:31  2018,Wed Jan 03 05:32:31  2018,Wed Jan 03 08:23:22  2018,master,Wed Jan 03 05:32:31  2018,10251000,10251000,0,0
324542236,Wed Jan 03 11:31:10  2018,master,true,Tue Jan 02 11:56:33  2018,Wed Jan 03 11:31:10  2018,Wed Jan 03 05:32:31  2018,production,Tue Jan 02 11:56:33  2018,63358000,-1,84877000,84877000
324542236,Wed Jan 03 11:31:10  2018,production,true,Wed Jan 03 05:32:31  2018,Wed Jan 03 05:32:31  2018,Wed Jan 03 11:31:10  2018,master,Wed Jan 03 05:32:31  2018,21519000,21519000,0,0
324666869,Wed Jan 03 17:12:09  2018,master,true,Tue Jan 02 11:56:33  2018,Wed Jan 03 17:12:09  2018,Wed Jan 03 05:32:31  2018,production,Tue Jan 02 11:56:33  2018,63358000,-1,105336000,105336000
324666869,Wed Jan 03 17:12:09  2018,production,true,Wed Jan 03 05:32:31  2018,Wed Jan 03 05:32:31  2018,Wed Jan 03 17:12:09  2018,master,Wed Jan 03 05:32:31  2018,41978000,41978000,0,0
324931466,Thu Jan 04 08:01:43  2018,master,true,Tue Jan 02 11:56:33  2018,Thu Jan 04 08:01:43  2018,Wed Jan 03 05:32:31  2018,production,Tue Jan 02 11:56:33  2018,63358000,-1,158710000,158710000
324931466,Thu Jan 04 08:01:43  2018,production,true,Wed Jan 03 05:32:31  2018,Wed Jan 03 05:32:31  2018,Thu Jan 04 08:01:43  2018,master,Wed Jan 03 05:32:31  2018,95352000,95352000,0,0
324957035,Thu Jan 04 09:40:22  2018,master,true,Tue Jan 02 11:56:33  2018,Thu Jan 04 09:40:22  2018,Wed Jan 03 05:32:31  2018,production,Tue Jan 02 11:56:33  2018,63358000,-1,164629000,164629000
324957035,Thu Jan 04 09:40:22  2018,production,true,Wed Jan 03 05:32:31  2018,Wed Jan 03 05:32:31  2018,Thu Jan 04 09:40:22  2018,master,Wed Jan 03 05:32:31  2018,101271000,101271000,0,0
325328021,Fri Jan 05 06:01:20  2018,master,true,Tue Jan 02 11:56:33  2018,Thu Jan 04 09:40:22  2018,Fri Jan 05 06:01:20  2018,production,Tue Jan 02 11:56:33  2018,237887000,73258000,164629000,164629000
325328021,Fri Jan 05 06:01:20  2018,production,true,Wed Jan 03 05:32:31  2018,Fri Jan 05 06:01:20  2018,Thu Jan 04 09:40:22  2018,master,Wed Jan 03 05:32:31  2018,101271000,-1,174529000,174529000
325349504,Fri Jan 05 08:02:45  2018,master,true,Tue Jan 02 11:56:33  2018,Fri Jan 05 08:02:45  2018,Fri Jan 05 06:01:20  2018,production,Tue Jan 02 11:56:33  2018,237887000,-1,245172000,245172000
325349504,Fri Jan 05 08:02:45  2018,production,true,Wed Jan 03 05:32:31  2018,Fri Jan 05 06:01:20  2018,Fri Jan 05 08:02:45  2018,master,Wed Jan 03 05:32:31  2018,181814000,7285000,174529000,174529000
325380154,Fri Jan 05 10:04:44  2018,master,true,Tue Jan 02 11:56:33  2018,Fri Jan 05 10:04:44  2018,Fri Jan 05 06:01:20  2018,production,Tue Jan 02 11:56:33  2018,237887000,-1,252491000,252491000
325380154,Fri Jan 05 10:04:44  2018,production,true,Wed Jan 03 05:32:31  2018,Fri Jan 05 06:01:20  2018,Fri Jan 05 10:04:44  2018,master,Wed Jan 03 05:32:31  2018,189133000,14604000,174529000,174529000
326354779,Mon Jan 08 13:11:20  2018,master,true,Tue Jan 02 11:56:33  2018,Mon Jan 08 13:11:20  2018,Fri Jan 05 06:01:20  2018,production,Tue Jan 02 11:56:33  2018,237887000,-1,522887000,522887000
326354779,Mon Jan 08 13:11:20  2018,production,true,Wed Jan 03 05:32:31  2018,Fri Jan 05 06:01:20  2018,Mon Jan 08 13:11:20  2018,master,Wed Jan 03 05:32:31  2018,459529000,285000000,174529000,174529000
326365026,Mon Jan 08 13:38:25  2018,master,true,Tue Jan 02 11:56:33  2018,Mon Jan 08 13:38:25  2018,Fri Jan 05 06:01:20  2018,production,Tue Jan 02 11:56:33  2018,237887000,-1,524512000,524512000
326365026,Mon Jan 08 13:38:25  2018,production,true,Wed Jan 03 05:32:31  2018,Fri Jan 05 06:01:20  2018,Mon Jan 08 13:38:25  2018,master,Wed Jan 03 05:32:31  2018,461154000,286625000,174529000,174529000
