build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
324943170,Thu Jan 04 08:48:19  2018,master,true,Thu Jan 04 08:48:19  2018,Thu Jan 04 08:48:19  2018,null,null,Thu Jan 04 08:48:19  2018,-1,-1,0,0
326380047,Mon Jan 08 14:16:55  2018,master,true,Thu Jan 04 08:48:19  2018,Mon Jan 08 14:16:55  2018,null,null,Thu Jan 04 08:48:19  2018,-1,-1,365316000,365316000
326415508,Mon Jan 08 15:34:01  2018,master,true,Thu Jan 04 08:48:19  2018,Mon Jan 08 15:34:01  2018,null,null,Thu Jan 04 08:48:19  2018,-1,-1,369942000,369942000
327667317,Thu Jan 11 12:44:23  2018,master,true,Thu Jan 04 08:48:19  2018,Thu Jan 11 12:44:23  2018,null,null,Thu Jan 04 08:48:19  2018,-1,-1,618964000,618964000
327667828,Thu Jan 11 12:45:45  2018,master,true,Thu Jan 04 08:48:19  2018,Thu Jan 11 12:45:45  2018,null,null,Thu Jan 04 08:48:19  2018,-1,-1,619046000,619046000
327678831,Thu Jan 11 13:17:00  2018,master,true,Thu Jan 04 08:48:19  2018,Thu Jan 11 13:17:00  2018,null,null,Thu Jan 04 08:48:19  2018,-1,-1,620921000,620921000
327678977,Thu Jan 11 13:17:11  2018,master,true,Thu Jan 04 08:48:19  2018,Thu Jan 11 13:17:11  2018,null,null,Thu Jan 04 08:48:19  2018,-1,-1,620932000,620932000
327683411,Thu Jan 11 13:28:27  2018,master,true,Thu Jan 04 08:48:19  2018,Thu Jan 11 13:28:27  2018,null,null,Thu Jan 04 08:48:19  2018,-1,-1,621608000,621608000
327689636,Thu Jan 11 13:45:17  2018,master,true,Thu Jan 04 08:48:19  2018,Thu Jan 11 13:45:17  2018,null,null,Thu Jan 04 08:48:19  2018,-1,-1,622618000,622618000
327689790,Thu Jan 11 13:45:34  2018,master,true,Thu Jan 04 08:48:19  2018,Thu Jan 11 13:45:34  2018,null,null,Thu Jan 04 08:48:19  2018,-1,-1,622635000,622635000
327697937,Thu Jan 11 14:07:31  2018,master,true,Thu Jan 04 08:48:19  2018,Thu Jan 11 14:07:31  2018,null,null,Thu Jan 04 08:48:19  2018,-1,-1,623952000,623952000
327761860,Thu Jan 11 16:43:59  2018,master,true,Thu Jan 04 08:48:19  2018,Thu Jan 11 16:43:59  2018,null,null,Thu Jan 04 08:48:19  2018,-1,-1,633340000,633340000
327822717,Thu Jan 11 19:16:46  2018,master,true,Thu Jan 04 08:48:19  2018,Thu Jan 11 16:43:59  2018,null,null,Thu Jan 04 08:48:19  2018,-1,-1,633340000,633340000
327822717,Thu Jan 11 19:16:46  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Thu Jan 11 16:43:59  2018,master,Thu Jan 11 19:16:46  2018,-1,-1,0,0
329006713,Mon Jan 15 11:23:05  2018,master,true,Thu Jan 04 08:48:19  2018,Mon Jan 15 11:23:05  2018,Thu Jan 11 19:16:46  2018,cleanup,Thu Jan 04 08:48:19  2018,642507000,-1,959686000,959686000
329006713,Mon Jan 15 11:23:05  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Mon Jan 15 11:23:05  2018,master,Thu Jan 11 19:16:46  2018,317179000,317179000,0,0
329363996,Tue Jan 16 08:21:45  2018,master,true,Thu Jan 04 08:48:19  2018,Mon Jan 15 11:23:05  2018,Thu Jan 11 19:16:46  2018,cleanup,Thu Jan 04 08:48:19  2018,642507000,-1,959686000,959686000
329363996,Tue Jan 16 08:21:45  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Mon Jan 15 11:23:05  2018,master,Thu Jan 11 19:16:46  2018,317179000,317179000,0,0
329363996,Tue Jan 16 08:21:45  2018,add_new_contexts,true,Tue Jan 16 08:21:45  2018,Tue Jan 16 08:21:45  2018,Mon Jan 15 11:23:05  2018,master,Tue Jan 16 08:21:45  2018,-1,-1,0,0
329364755,Tue Jan 16 08:24:49  2018,master,true,Thu Jan 04 08:48:19  2018,Mon Jan 15 11:23:05  2018,Tue Jan 16 08:24:49  2018,add_new_contexts,Thu Jan 04 08:48:19  2018,1035390000,75704000,959686000,959686000
329364755,Tue Jan 16 08:24:49  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Tue Jan 16 08:24:49  2018,add_new_contexts,Thu Jan 11 19:16:46  2018,392883000,392883000,0,0
329364755,Tue Jan 16 08:24:49  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Mon Jan 15 11:23:05  2018,master,Tue Jan 16 08:21:45  2018,-1,-1,0,184000
329365000,Tue Jan 16 08:26:11  2018,master,true,Thu Jan 04 08:48:19  2018,Tue Jan 16 08:26:11  2018,Tue Jan 16 08:24:49  2018,add_new_contexts,Thu Jan 04 08:48:19  2018,1035390000,-1,1035472000,1035472000
329365000,Tue Jan 16 08:26:11  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Tue Jan 16 08:26:11  2018,master,Thu Jan 11 19:16:46  2018,392965000,392965000,0,0
329365000,Tue Jan 16 08:26:11  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:26:11  2018,master,Tue Jan 16 08:21:45  2018,82000,82000,0,184000
329838725,Wed Jan 17 12:01:43  2018,master,true,Thu Jan 04 08:48:19  2018,Wed Jan 17 12:01:43  2018,Tue Jan 16 08:24:49  2018,add_new_contexts,Thu Jan 04 08:48:19  2018,1035390000,-1,1134804000,1134804000
329838725,Wed Jan 17 12:01:43  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Wed Jan 17 12:01:43  2018,master,Thu Jan 11 19:16:46  2018,492297000,492297000,0,0
329838725,Wed Jan 17 12:01:43  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Wed Jan 17 12:01:43  2018,master,Tue Jan 16 08:21:45  2018,99414000,99414000,0,184000
329844840,Wed Jan 17 12:17:49  2018,master,true,Thu Jan 04 08:48:19  2018,Wed Jan 17 12:17:49  2018,Tue Jan 16 08:24:49  2018,add_new_contexts,Thu Jan 04 08:48:19  2018,1035390000,-1,1135770000,1135770000
329844840,Wed Jan 17 12:17:49  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Wed Jan 17 12:17:49  2018,master,Thu Jan 11 19:16:46  2018,493263000,493263000,0,0
329844840,Wed Jan 17 12:17:49  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Wed Jan 17 12:17:49  2018,master,Tue Jan 16 08:21:45  2018,100380000,100380000,0,184000
335149486,Tue Jan 30 13:25:04  2018,master,true,Thu Jan 04 08:48:19  2018,Tue Jan 30 13:25:04  2018,Tue Jan 16 08:24:49  2018,add_new_contexts,Thu Jan 04 08:48:19  2018,1035390000,-1,2263005000,2263005000
335149486,Tue Jan 30 13:25:04  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Tue Jan 30 13:25:04  2018,master,Thu Jan 11 19:16:46  2018,1620498000,1620498000,0,0
335149486,Tue Jan 30 13:25:04  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Tue Jan 30 13:25:04  2018,master,Tue Jan 16 08:21:45  2018,1227615000,1227615000,0,184000
335218782,Tue Jan 30 16:00:01  2018,master,true,Thu Jan 04 08:48:19  2018,Tue Jan 30 16:00:01  2018,Tue Jan 16 08:24:49  2018,add_new_contexts,Thu Jan 04 08:48:19  2018,1035390000,-1,2272302000,2272302000
335218782,Tue Jan 30 16:00:01  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Tue Jan 30 16:00:01  2018,master,Thu Jan 11 19:16:46  2018,1629795000,1629795000,0,0
335218782,Tue Jan 30 16:00:01  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Tue Jan 30 16:00:01  2018,master,Tue Jan 16 08:21:45  2018,1236912000,1236912000,0,184000
335222858,Tue Jan 30 16:08:05  2018,master,true,Thu Jan 04 08:48:19  2018,Tue Jan 30 16:08:05  2018,Tue Jan 16 08:24:49  2018,add_new_contexts,Thu Jan 04 08:48:19  2018,1035390000,-1,2272786000,2272786000
335222858,Tue Jan 30 16:08:05  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Tue Jan 30 16:08:05  2018,master,Thu Jan 11 19:16:46  2018,1630279000,1630279000,0,0
335222858,Tue Jan 30 16:08:05  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Tue Jan 30 16:08:05  2018,master,Tue Jan 16 08:21:45  2018,1237396000,1237396000,0,184000
335222969,Tue Jan 30 16:08:21  2018,master,true,Thu Jan 04 08:48:19  2018,Tue Jan 30 16:08:21  2018,Tue Jan 16 08:24:49  2018,add_new_contexts,Thu Jan 04 08:48:19  2018,1035390000,-1,2272802000,2272802000
335222969,Tue Jan 30 16:08:21  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Tue Jan 30 16:08:21  2018,master,Thu Jan 11 19:16:46  2018,1630295000,1630295000,0,0
335222969,Tue Jan 30 16:08:21  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Tue Jan 30 16:08:21  2018,master,Tue Jan 16 08:21:45  2018,1237412000,1237412000,0,184000
335597761,Wed Jan 31 12:26:32  2018,master,true,Thu Jan 04 08:48:19  2018,Wed Jan 31 12:26:32  2018,Tue Jan 16 08:24:49  2018,add_new_contexts,Thu Jan 04 08:48:19  2018,1035390000,-1,2345893000,2345893000
335597761,Wed Jan 31 12:26:32  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Wed Jan 31 12:26:32  2018,master,Thu Jan 11 19:16:46  2018,1703386000,1703386000,0,0
335597761,Wed Jan 31 12:26:32  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Wed Jan 31 12:26:32  2018,master,Tue Jan 16 08:21:45  2018,1310503000,1310503000,0,184000
339407391,Fri Feb 09 11:08:24  2018,master,true,Thu Jan 04 08:48:19  2018,Fri Feb 09 11:08:24  2018,Tue Jan 16 08:24:49  2018,add_new_contexts,Thu Jan 04 08:48:19  2018,1035390000,-1,3118805000,3118805000
339407391,Fri Feb 09 11:08:24  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Fri Feb 09 11:08:24  2018,master,Thu Jan 11 19:16:46  2018,2476298000,2476298000,0,0
339407391,Fri Feb 09 11:08:24  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Fri Feb 09 11:08:24  2018,master,Tue Jan 16 08:21:45  2018,2083415000,2083415000,0,184000
340385884,Mon Feb 12 08:42:25  2018,master,true,Thu Jan 04 08:48:19  2018,Mon Feb 12 08:42:25  2018,Tue Jan 16 08:24:49  2018,add_new_contexts,Thu Jan 04 08:48:19  2018,1035390000,-1,3369246000,3369246000
340385884,Mon Feb 12 08:42:25  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Mon Feb 12 08:42:25  2018,master,Thu Jan 11 19:16:46  2018,2726739000,2726739000,0,0
340385884,Mon Feb 12 08:42:25  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Mon Feb 12 08:42:25  2018,master,Tue Jan 16 08:21:45  2018,2333856000,2333856000,0,184000
340390727,Mon Feb 12 08:58:13  2018,master,true,Thu Jan 04 08:48:19  2018,Mon Feb 12 08:58:13  2018,Tue Jan 16 08:24:49  2018,add_new_contexts,Thu Jan 04 08:48:19  2018,1035390000,-1,3370194000,3370194000
340390727,Mon Feb 12 08:58:13  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Mon Feb 12 08:58:13  2018,master,Thu Jan 11 19:16:46  2018,2727687000,2727687000,0,0
340390727,Mon Feb 12 08:58:13  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Mon Feb 12 08:58:13  2018,master,Tue Jan 16 08:21:45  2018,2334804000,2334804000,0,184000
340390871,Mon Feb 12 08:58:25  2018,master,true,Thu Jan 04 08:48:19  2018,Mon Feb 12 08:58:25  2018,Tue Jan 16 08:24:49  2018,add_new_contexts,Thu Jan 04 08:48:19  2018,1035390000,-1,3370206000,3370206000
340390871,Mon Feb 12 08:58:25  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Mon Feb 12 08:58:25  2018,master,Thu Jan 11 19:16:46  2018,2727699000,2727699000,0,0
340390871,Mon Feb 12 08:58:25  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Mon Feb 12 08:58:25  2018,master,Tue Jan 16 08:21:45  2018,2334816000,2334816000,0,184000
346360619,Mon Feb 26 16:18:44  2018,master,true,Thu Jan 04 08:48:19  2018,Mon Feb 26 16:18:44  2018,Tue Jan 16 08:24:49  2018,add_new_contexts,Thu Jan 04 08:48:19  2018,1035390000,-1,4606225000,4606225000
346360619,Mon Feb 26 16:18:44  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Mon Feb 26 16:18:44  2018,master,Thu Jan 11 19:16:46  2018,3963718000,3963718000,0,0
346360619,Mon Feb 26 16:18:44  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Mon Feb 26 16:18:44  2018,master,Tue Jan 16 08:21:45  2018,3570835000,3570835000,0,184000
346541738,Mon Feb 26 23:14:57  2018,master,true,Thu Jan 04 08:48:19  2018,Mon Feb 26 16:18:44  2018,Tue Jan 16 08:24:49  2018,add_new_contexts,Thu Jan 04 08:48:19  2018,1035390000,-1,4606225000,4606225000
346541738,Mon Feb 26 23:14:57  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Mon Feb 26 16:18:44  2018,master,Thu Jan 11 19:16:46  2018,3963718000,3963718000,0,0
346541738,Mon Feb 26 23:14:57  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Mon Feb 26 16:18:44  2018,master,Tue Jan 16 08:21:45  2018,3570835000,3570835000,0,184000
346541738,Mon Feb 26 23:14:57  2018,dependency_support,true,Mon Feb 26 23:14:57  2018,Mon Feb 26 23:14:57  2018,Mon Feb 26 16:18:44  2018,master,Mon Feb 26 23:14:57  2018,-1,-1,0,0
346541984,Mon Feb 26 23:15:43  2018,master,true,Thu Jan 04 08:48:19  2018,Mon Feb 26 23:15:43  2018,Mon Feb 26 23:14:57  2018,dependency_support,Thu Jan 04 08:48:19  2018,4631198000,-1,4631244000,4631244000
346541984,Mon Feb 26 23:15:43  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Mon Feb 26 23:15:43  2018,master,Thu Jan 11 19:16:46  2018,3988737000,3988737000,0,0
346541984,Mon Feb 26 23:15:43  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Mon Feb 26 23:15:43  2018,master,Tue Jan 16 08:21:45  2018,3595854000,3595854000,0,184000
346541984,Mon Feb 26 23:15:43  2018,dependency_support,true,Mon Feb 26 23:14:57  2018,Mon Feb 26 23:14:57  2018,Mon Feb 26 23:15:43  2018,master,Mon Feb 26 23:14:57  2018,46000,46000,0,0
347706018,Thu Mar 01 10:49:53  2018,master,true,Thu Jan 04 08:48:19  2018,Thu Mar 01 10:49:53  2018,Mon Feb 26 23:14:57  2018,dependency_support,Thu Jan 04 08:48:19  2018,4631198000,-1,4845694000,4845694000
347706018,Thu Mar 01 10:49:53  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Thu Mar 01 10:49:53  2018,master,Thu Jan 11 19:16:46  2018,4203187000,4203187000,0,0
347706018,Thu Mar 01 10:49:53  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Thu Mar 01 10:49:53  2018,master,Tue Jan 16 08:21:45  2018,3810304000,3810304000,0,184000
347706018,Thu Mar 01 10:49:53  2018,dependency_support,true,Mon Feb 26 23:14:57  2018,Mon Feb 26 23:14:57  2018,Thu Mar 01 10:49:53  2018,master,Mon Feb 26 23:14:57  2018,214496000,214496000,0,0
347708249,Thu Mar 01 10:56:20  2018,master,true,Thu Jan 04 08:48:19  2018,Thu Mar 01 10:56:20  2018,Mon Feb 26 23:14:57  2018,dependency_support,Thu Jan 04 08:48:19  2018,4631198000,-1,4846081000,4846081000
347708249,Thu Mar 01 10:56:20  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Thu Mar 01 10:56:20  2018,master,Thu Jan 11 19:16:46  2018,4203574000,4203574000,0,0
347708249,Thu Mar 01 10:56:20  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Thu Mar 01 10:56:20  2018,master,Tue Jan 16 08:21:45  2018,3810691000,3810691000,0,184000
347708249,Thu Mar 01 10:56:20  2018,dependency_support,true,Mon Feb 26 23:14:57  2018,Mon Feb 26 23:14:57  2018,Thu Mar 01 10:56:20  2018,master,Mon Feb 26 23:14:57  2018,214883000,214883000,0,0
347708282,Thu Mar 01 10:56:24  2018,master,true,Thu Jan 04 08:48:19  2018,Thu Mar 01 10:56:24  2018,Mon Feb 26 23:14:57  2018,dependency_support,Thu Jan 04 08:48:19  2018,4631198000,-1,4846085000,4846085000
347708282,Thu Mar 01 10:56:24  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Thu Mar 01 10:56:24  2018,master,Thu Jan 11 19:16:46  2018,4203578000,4203578000,0,0
347708282,Thu Mar 01 10:56:24  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Thu Mar 01 10:56:24  2018,master,Tue Jan 16 08:21:45  2018,3810695000,3810695000,0,184000
347708282,Thu Mar 01 10:56:24  2018,dependency_support,true,Mon Feb 26 23:14:57  2018,Mon Feb 26 23:14:57  2018,Thu Mar 01 10:56:24  2018,master,Mon Feb 26 23:14:57  2018,214887000,214887000,0,0
357561057,Fri Mar 23 19:50:17  2018,master,true,Thu Jan 04 08:48:19  2018,Thu Mar 01 10:56:24  2018,Fri Mar 23 19:50:17  2018,dependency_support,Thu Jan 04 08:48:19  2018,6778918000,1932833000,4846085000,4846085000
357561057,Fri Mar 23 19:50:17  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Fri Mar 23 19:50:17  2018,dependency_support,Thu Jan 11 19:16:46  2018,6136411000,6136411000,0,0
357561057,Fri Mar 23 19:50:17  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Fri Mar 23 19:50:17  2018,dependency_support,Tue Jan 16 08:21:45  2018,5743528000,5743528000,0,184000
357561057,Fri Mar 23 19:50:17  2018,dependency_support,true,Mon Feb 26 23:14:57  2018,Fri Mar 23 19:50:17  2018,Thu Mar 01 10:56:24  2018,master,Mon Feb 26 23:14:57  2018,214887000,-1,2147720000,2147720000
357561089,Fri Mar 23 19:50:26  2018,master,true,Thu Jan 04 08:48:19  2018,Fri Mar 23 19:50:26  2018,Fri Mar 23 19:50:17  2018,dependency_support,Thu Jan 04 08:48:19  2018,6778918000,-1,6778927000,6778927000
357561089,Fri Mar 23 19:50:26  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Fri Mar 23 19:50:26  2018,master,Thu Jan 11 19:16:46  2018,6136420000,6136420000,0,0
357561089,Fri Mar 23 19:50:26  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Fri Mar 23 19:50:26  2018,master,Tue Jan 16 08:21:45  2018,5743537000,5743537000,0,184000
357561089,Fri Mar 23 19:50:26  2018,dependency_support,true,Mon Feb 26 23:14:57  2018,Fri Mar 23 19:50:17  2018,Fri Mar 23 19:50:26  2018,master,Mon Feb 26 23:14:57  2018,2147729000,9000,2147720000,2147720000
371564708,Thu Apr 26 13:37:52  2018,master,true,Thu Jan 04 08:48:19  2018,Thu Apr 26 13:37:52  2018,Fri Mar 23 19:50:17  2018,dependency_support,Thu Jan 04 08:48:19  2018,6778918000,-1,9690573000,9690573000
371564708,Thu Apr 26 13:37:52  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Thu Apr 26 13:37:52  2018,master,Thu Jan 11 19:16:46  2018,9048066000,9048066000,0,0
371564708,Thu Apr 26 13:37:52  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Thu Apr 26 13:37:52  2018,master,Tue Jan 16 08:21:45  2018,8655183000,8655183000,0,184000
371564708,Thu Apr 26 13:37:52  2018,dependency_support,true,Mon Feb 26 23:14:57  2018,Fri Mar 23 19:50:17  2018,Thu Apr 26 13:37:52  2018,master,Mon Feb 26 23:14:57  2018,5059375000,2911655000,2147720000,2147720000
371571635,Thu Apr 26 13:53:02  2018,master,true,Thu Jan 04 08:48:19  2018,Thu Apr 26 13:53:02  2018,Fri Mar 23 19:50:17  2018,dependency_support,Thu Jan 04 08:48:19  2018,6778918000,-1,9691483000,9691483000
371571635,Thu Apr 26 13:53:02  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Thu Apr 26 13:53:02  2018,master,Thu Jan 11 19:16:46  2018,9048976000,9048976000,0,0
371571635,Thu Apr 26 13:53:02  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Thu Apr 26 13:53:02  2018,master,Tue Jan 16 08:21:45  2018,8656093000,8656093000,0,184000
371571635,Thu Apr 26 13:53:02  2018,dependency_support,true,Mon Feb 26 23:14:57  2018,Fri Mar 23 19:50:17  2018,Thu Apr 26 13:53:02  2018,master,Mon Feb 26 23:14:57  2018,5060285000,2912565000,2147720000,2147720000
371602160,Thu Apr 26 14:55:22  2018,master,true,Thu Jan 04 08:48:19  2018,Thu Apr 26 14:55:22  2018,Fri Mar 23 19:50:17  2018,dependency_support,Thu Jan 04 08:48:19  2018,6778918000,-1,9695223000,9695223000
371602160,Thu Apr 26 14:55:22  2018,cleanup,true,Thu Jan 11 19:16:46  2018,Thu Jan 11 19:16:46  2018,Thu Apr 26 14:55:22  2018,master,Thu Jan 11 19:16:46  2018,9052716000,9052716000,0,0
371602160,Thu Apr 26 14:55:22  2018,add_new_contexts,true,Tue Jan 16 08:24:49  2018,Tue Jan 16 08:24:49  2018,Thu Apr 26 14:55:22  2018,master,Tue Jan 16 08:21:45  2018,8659833000,8659833000,0,184000
371602160,Thu Apr 26 14:55:22  2018,dependency_support,true,Mon Feb 26 23:14:57  2018,Fri Mar 23 19:50:17  2018,Thu Apr 26 14:55:22  2018,master,Mon Feb 26 23:14:57  2018,5064025000,2916305000,2147720000,2147720000
