build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
326260864,Mon Jan 08 08:01:49  2018,master,true,Mon Jan 08 08:01:49  2018,Mon Jan 08 08:01:49  2018,null,null,Mon Jan 08 08:01:49  2018,-1,-1,0,0
326389443,Mon Jan 08 14:39:27  2018,master,true,Mon Jan 08 08:01:49  2018,Mon Jan 08 14:39:27  2018,null,null,Mon Jan 08 08:01:49  2018,-1,-1,23858000,23858000
326391936,Mon Jan 08 14:45:32  2018,master,true,Mon Jan 08 08:01:49  2018,Mon Jan 08 14:39:27  2018,null,null,Mon Jan 08 08:01:49  2018,-1,-1,23858000,23858000
326391936,Mon Jan 08 14:45:32  2018,javadoc_fix,true,Mon Jan 08 14:45:32  2018,Mon Jan 08 14:45:32  2018,Mon Jan 08 14:39:27  2018,master,Mon Jan 08 14:45:32  2018,-1,-1,0,0
326392217,Mon Jan 08 14:49:15  2018,master,true,Mon Jan 08 08:01:49  2018,Mon Jan 08 14:49:15  2018,Mon Jan 08 14:45:32  2018,javadoc_fix,Mon Jan 08 08:01:49  2018,24223000,-1,24446000,24446000
326392217,Mon Jan 08 14:49:15  2018,javadoc_fix,true,Mon Jan 08 14:45:32  2018,Mon Jan 08 14:45:32  2018,Mon Jan 08 14:49:15  2018,master,Mon Jan 08 14:45:32  2018,223000,223000,0,0
326400220,Mon Jan 08 15:04:22  2018,master,true,Mon Jan 08 08:01:49  2018,Mon Jan 08 15:04:22  2018,Mon Jan 08 14:45:32  2018,javadoc_fix,Mon Jan 08 08:01:49  2018,24223000,-1,25353000,25353000
326400220,Mon Jan 08 15:04:22  2018,javadoc_fix,true,Mon Jan 08 14:45:32  2018,Mon Jan 08 14:45:32  2018,Mon Jan 08 15:04:22  2018,master,Mon Jan 08 14:45:32  2018,1130000,1130000,0,0
326402538,Mon Jan 08 15:07:15  2018,master,true,Mon Jan 08 08:01:49  2018,Mon Jan 08 15:07:15  2018,Mon Jan 08 14:45:32  2018,javadoc_fix,Mon Jan 08 08:01:49  2018,24223000,-1,25526000,25526000
326402538,Mon Jan 08 15:07:15  2018,javadoc_fix,true,Mon Jan 08 14:45:32  2018,Mon Jan 08 14:45:32  2018,Mon Jan 08 15:07:15  2018,master,Mon Jan 08 14:45:32  2018,1303000,1303000,0,0
326402590,Mon Jan 08 15:11:20  2018,master,true,Mon Jan 08 08:01:49  2018,Mon Jan 08 15:11:20  2018,Mon Jan 08 14:45:32  2018,javadoc_fix,Mon Jan 08 08:01:49  2018,24223000,-1,25771000,25771000
326402590,Mon Jan 08 15:11:20  2018,javadoc_fix,true,Mon Jan 08 14:45:32  2018,Mon Jan 08 14:45:32  2018,Mon Jan 08 15:11:20  2018,master,Mon Jan 08 14:45:32  2018,1548000,1548000,0,0
326406764,Mon Jan 08 15:17:12  2018,master,true,Mon Jan 08 08:01:49  2018,Mon Jan 08 15:11:20  2018,Mon Jan 08 14:45:32  2018,javadoc_fix,Mon Jan 08 08:01:49  2018,24223000,-1,25771000,25771000
326406764,Mon Jan 08 15:17:12  2018,javadoc_fix,true,Mon Jan 08 14:45:32  2018,Mon Jan 08 14:45:32  2018,Mon Jan 08 15:11:20  2018,master,Mon Jan 08 14:45:32  2018,1548000,1548000,0,0
326406764,Mon Jan 08 15:17:12  2018,distribution_,true,Mon Jan 08 15:17:12  2018,Mon Jan 08 15:17:12  2018,Mon Jan 08 15:11:20  2018,master,Mon Jan 08 15:17:12  2018,-1,-1,0,0
326407113,Mon Jan 08 15:17:39  2018,master,true,Mon Jan 08 08:01:49  2018,Mon Jan 08 15:17:39  2018,Mon Jan 08 15:17:12  2018,distribution_,Mon Jan 08 08:01:49  2018,26123000,-1,26150000,26150000
326407113,Mon Jan 08 15:17:39  2018,javadoc_fix,true,Mon Jan 08 14:45:32  2018,Mon Jan 08 14:45:32  2018,Mon Jan 08 15:17:39  2018,master,Mon Jan 08 14:45:32  2018,1927000,1927000,0,0
326407113,Mon Jan 08 15:17:39  2018,distribution_,true,Mon Jan 08 15:17:12  2018,Mon Jan 08 15:17:12  2018,Mon Jan 08 15:17:39  2018,master,Mon Jan 08 15:17:12  2018,27000,27000,0,0
326410951,Mon Jan 08 15:24:09  2018,master,true,Mon Jan 08 08:01:49  2018,Mon Jan 08 15:24:09  2018,Mon Jan 08 15:17:12  2018,distribution_,Mon Jan 08 08:01:49  2018,26123000,-1,26540000,26540000
326410951,Mon Jan 08 15:24:09  2018,javadoc_fix,true,Mon Jan 08 14:45:32  2018,Mon Jan 08 14:45:32  2018,Mon Jan 08 15:24:09  2018,master,Mon Jan 08 14:45:32  2018,2317000,2317000,0,0
326410951,Mon Jan 08 15:24:09  2018,distribution_,true,Mon Jan 08 15:17:12  2018,Mon Jan 08 15:17:12  2018,Mon Jan 08 15:24:09  2018,master,Mon Jan 08 15:17:12  2018,417000,417000,0,0
326680482,Tue Jan 09 05:43:35  2018,master,true,Mon Jan 08 08:01:49  2018,Tue Jan 09 05:43:35  2018,Mon Jan 08 15:17:12  2018,distribution_,Mon Jan 08 08:01:49  2018,26123000,-1,78106000,78106000
326680482,Tue Jan 09 05:43:35  2018,javadoc_fix,true,Mon Jan 08 14:45:32  2018,Mon Jan 08 14:45:32  2018,Tue Jan 09 05:43:35  2018,master,Mon Jan 08 14:45:32  2018,53883000,53883000,0,0
326680482,Tue Jan 09 05:43:35  2018,distribution_,true,Mon Jan 08 15:17:12  2018,Mon Jan 08 15:17:12  2018,Tue Jan 09 05:43:35  2018,master,Mon Jan 08 15:17:12  2018,51983000,51983000,0,0
326680516,Tue Jan 09 05:43:48  2018,master,true,Mon Jan 08 08:01:49  2018,Tue Jan 09 05:43:48  2018,Mon Jan 08 15:17:12  2018,distribution_,Mon Jan 08 08:01:49  2018,26123000,-1,78119000,78119000
326680516,Tue Jan 09 05:43:48  2018,javadoc_fix,true,Mon Jan 08 14:45:32  2018,Mon Jan 08 14:45:32  2018,Tue Jan 09 05:43:48  2018,master,Mon Jan 08 14:45:32  2018,53896000,53896000,0,0
326680516,Tue Jan 09 05:43:48  2018,distribution_,true,Mon Jan 08 15:17:12  2018,Mon Jan 08 15:17:12  2018,Tue Jan 09 05:43:48  2018,master,Mon Jan 08 15:17:12  2018,51996000,51996000,0,0
326691157,Tue Jan 09 06:42:23  2018,master,true,Mon Jan 08 08:01:49  2018,Tue Jan 09 06:42:23  2018,Mon Jan 08 15:17:12  2018,distribution_,Mon Jan 08 08:01:49  2018,26123000,-1,81634000,81634000
