buildId,date,jobId,execution,module,test,delta_broken,delta_testcases,delta_skipped,warning
328313242,Fri Jan 12 22:44:55  2018,328313243,$ mvn clean install license:check -Dmaven.test.skip=false -DskipITs=false -P !assembly -B -V -Dsurefire.rerunFailingTestsCount=2,DSpace Spring Rest (Boot MVC + HATEOAS),org.dspace.app.rest.ItemRestRepositoryIT,-2,0,-6,true
341488809,Wed Feb 14 15:34:25  2018,341488814,$ mvn clean install license:check -Dmaven.test.skip=false -DskipITs=false -P !assembly -B -V -Dsurefire.rerunFailingTestsCount=2,DSpace Kernel :: API and Implementation,org.dspace.app.mediafilter.PoiWordFilterTest,-3,0,-2,true
345001723,Thu Feb 22 21:44:47  2018,345001724,$ mvn clean install license:check -Dmaven.test.skip=false -DskipITs=false -P !assembly -B -V -Dsurefire.rerunFailingTestsCount=2,DSpace Kernel :: API and Implementation,org.dspace.app.mediafilter.PoiWordFilterTest,-4,0,-705,true
345001723,Thu Feb 22 21:44:47  2018,345001724,$ mvn clean install license:check -Dmaven.test.skip=false -DskipITs=false -P !assembly -B -V -Dsurefire.rerunFailingTestsCount=2,DSpace Kernel :: API and Implementation,org.dspace.content.InstallItemTest,-37,0,-35,true
345001723,Thu Feb 22 21:44:47  2018,345001724,$ mvn clean install license:check -Dmaven.test.skip=false -DskipITs=false -P !assembly -B -V -Dsurefire.rerunFailingTestsCount=2,DSpace Kernel :: API and Implementation,org.dspace.handle.dao.impl.HandleDAOImplTest,-14,0,-13,true
378157820,Sat May 12 18:12:37  2018,378157821,$ mvn clean install license:check -Dmaven.test.skip=false -DskipITs=false -P !assembly -B -V -Dsurefire.rerunFailingTestsCount=2,DSpace Spring Rest (Boot MVC + HATEOAS),org.dspace.app.rest.AuthenticationRestControllerIT,-3,0,-12,true
378913124,Mon May 14 20:35:26  2018,378913125,$ mvn clean install license:check -Dmaven.test.skip=false -DskipITs=false -P !assembly -B -V -Dsurefire.rerunFailingTestsCount=2,DSpace Spring Rest (Boot MVC + HATEOAS),org.dspace.app.rest.CommunityRestRepositoryIT,-1,1,0,true
379799081,Wed May 16 16:18:03  2018,379799082,$ mvn clean install license:check -Dmaven.test.skip=false -DskipITs=false -P !assembly -B -V -Dsurefire.rerunFailingTestsCount=2,DSpace Spring Rest (Boot MVC + HATEOAS),org.dspace.app.rest.BitstreamRestRepositoryIT,-1,0,-1,true
380312640,Thu May 17 16:58:51  2018,380312641,$ mvn clean install license:check -Dmaven.test.skip=false -DskipITs=false -P !assembly -B -V -Dsurefire.rerunFailingTestsCount=2,DSpace Spring Rest (Boot MVC + HATEOAS),org.dspace.app.rest.BitstreamRestRepositoryIT,-1,0,-2,true
397866889,Thu Jun 28 15:57:50  2018,397866890,$ mvn clean install license:check -Dmaven.test.skip=false -DskipITs=false -P !assembly -B -V -Dsurefire.rerunFailingTestsCount=2,DSpace Kernel :: API and Implementation,org.dspace.core.PluginServiceTest,-6,0,-4,true
410399001,Tue Jul 31 16:01:55  2018,410399002,$ mvn clean install license:check -Dmaven.test.skip=false -DskipITs=false -P !assembly -B -V -Dsurefire.rerunFailingTestsCount=2,DSpace Spring Rest (Boot MVC + HATEOAS),org.dspace.app.rest.DiscoveryRestControllerIT,-17,0,-2,true
411363701,Thu Aug 02 16:16:04  2018,411363702,$ mvn clean install license:check -Dmaven.test.skip=false -DskipITs=false -P !assembly -B -V -Dsurefire.rerunFailingTestsCount=2,DSpace Spring Rest (Boot MVC + HATEOAS),org.dspace.app.rest.DiscoveryRestControllerIT,-8,0,-2,true
