build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
324045836,Tue Jan 02 08:19:45  2018,master,true,Tue Jan 02 08:19:45  2018,Tue Jan 02 08:19:45  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,0,0
324965095,Thu Jan 04 10:06:26  2018,master,true,Tue Jan 02 08:19:45  2018,Thu Jan 04 10:06:26  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,179201000,179201000
324988215,Thu Jan 04 11:21:13  2018,master,true,Tue Jan 02 08:19:45  2018,Thu Jan 04 11:21:13  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,183688000,183688000
324996393,Thu Jan 04 11:49:01  2018,master,true,Tue Jan 02 08:19:45  2018,Thu Jan 04 11:49:01  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,185356000,185356000
325000570,Thu Jan 04 12:03:21  2018,master,true,Tue Jan 02 08:19:45  2018,Thu Jan 04 12:03:21  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,186216000,186216000
326328962,Mon Jan 08 11:52:52  2018,master,true,Tue Jan 02 08:19:45  2018,Mon Jan 08 11:52:52  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,531187000,531187000
327225341,Wed Jan 10 13:17:48  2018,master,true,Tue Jan 02 08:19:45  2018,Wed Jan 10 13:17:48  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,709083000,709083000
327390121,Wed Jan 10 20:07:00  2018,master,true,Tue Jan 02 08:19:45  2018,Wed Jan 10 20:07:00  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,733635000,733635000
327580563,Thu Jan 11 08:30:27  2018,master,true,Tue Jan 02 08:19:45  2018,Thu Jan 11 08:30:27  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,778242000,778242000
328999452,Mon Jan 15 10:58:16  2018,master,true,Tue Jan 02 08:19:45  2018,Mon Jan 15 10:58:16  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,1132711000,1132711000
330377347,Thu Jan 18 14:23:22  2018,master,true,Tue Jan 02 08:19:45  2018,Thu Jan 18 14:23:22  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,1404217000,1404217000
330460679,Thu Jan 18 17:29:48  2018,master,true,Tue Jan 02 08:19:45  2018,Thu Jan 18 17:29:48  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,1415403000,1415403000
330467571,Thu Jan 18 17:45:57  2018,master,true,Tue Jan 02 08:19:45  2018,Thu Jan 18 17:45:57  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,1416372000,1416372000
330468257,Thu Jan 18 17:47:26  2018,master,true,Tue Jan 02 08:19:45  2018,Thu Jan 18 17:47:26  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,1416461000,1416461000
330469301,Thu Jan 18 17:49:49  2018,master,true,Tue Jan 02 08:19:45  2018,Thu Jan 18 17:49:49  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,1416604000,1416604000
329967394,Thu Jan 18 17:51:05  2018,master,true,Tue Jan 02 08:19:45  2018,Thu Jan 18 17:51:05  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,1416680000,1416680000
330788848,Fri Jan 19 12:33:14  2018,master,true,Tue Jan 02 08:19:45  2018,Fri Jan 19 12:33:14  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,1484009000,1484009000
332373395,Tue Jan 23 16:17:39  2018,master,true,Tue Jan 02 08:19:45  2018,Tue Jan 23 16:17:39  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,1843074000,1843074000
332445568,Tue Jan 23 19:02:25  2018,master,true,Tue Jan 02 08:19:45  2018,Tue Jan 23 19:02:25  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,1852960000,1852960000
335163305,Tue Jan 30 14:02:02  2018,master,true,Tue Jan 02 08:19:45  2018,Tue Jan 30 14:02:02  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,2439737000,2439737000
336657981,Fri Feb 02 17:39:46  2018,master,true,Tue Jan 02 08:19:45  2018,Fri Feb 02 17:39:46  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,2712001000,2712001000
337366677,Mon Feb 05 01:16:16  2018,master,true,Tue Jan 02 08:19:45  2018,Fri Feb 02 17:39:46  2018,null,null,Tue Jan 02 08:19:45  2018,-1,-1,2712001000,2712001000
337366677,Mon Feb 05 01:16:16  2018,issue-693,true,Mon Feb 05 01:16:16  2018,Mon Feb 05 01:16:16  2018,Fri Feb 02 17:39:46  2018,master,Mon Feb 05 01:16:16  2018,-1,-1,0,0
339099019,Thu Feb 08 17:52:27  2018,master,true,Tue Jan 02 08:19:45  2018,Thu Feb 08 17:52:27  2018,Mon Feb 05 01:16:16  2018,issue-693,Tue Jan 02 08:19:45  2018,2912191000,-1,3231162000,3231162000
339099019,Thu Feb 08 17:52:27  2018,issue-693,true,Mon Feb 05 01:16:16  2018,Mon Feb 05 01:16:16  2018,Thu Feb 08 17:52:27  2018,master,Mon Feb 05 01:16:16  2018,318971000,318971000,0,0
339122331,Thu Feb 08 18:49:24  2018,master,true,Tue Jan 02 08:19:45  2018,Thu Feb 08 18:49:24  2018,Mon Feb 05 01:16:16  2018,issue-693,Tue Jan 02 08:19:45  2018,2912191000,-1,3234579000,3234579000
339122331,Thu Feb 08 18:49:24  2018,issue-693,true,Mon Feb 05 01:16:16  2018,Mon Feb 05 01:16:16  2018,Thu Feb 08 18:49:24  2018,master,Mon Feb 05 01:16:16  2018,322388000,322388000,0,0
340192983,Sun Feb 11 17:50:11  2018,master,true,Tue Jan 02 08:19:45  2018,Sun Feb 11 17:50:11  2018,Mon Feb 05 01:16:16  2018,issue-693,Tue Jan 02 08:19:45  2018,2912191000,-1,3490226000,3490226000
340192983,Sun Feb 11 17:50:11  2018,issue-693,true,Mon Feb 05 01:16:16  2018,Mon Feb 05 01:16:16  2018,Sun Feb 11 17:50:11  2018,master,Mon Feb 05 01:16:16  2018,578035000,578035000,0,0
340541932,Mon Feb 12 15:42:35  2018,master,true,Tue Jan 02 08:19:45  2018,Sun Feb 11 17:50:11  2018,Mon Feb 05 01:16:16  2018,issue-693,Tue Jan 02 08:19:45  2018,2912191000,-1,3490226000,3490226000
340541932,Mon Feb 12 15:42:35  2018,issue-693,true,Mon Feb 05 01:16:16  2018,Mon Feb 05 01:16:16  2018,Sun Feb 11 17:50:11  2018,master,Mon Feb 05 01:16:16  2018,578035000,578035000,0,0
340541932,Mon Feb 12 15:42:35  2018,master,true,Mon Feb 12 15:42:35  2018,Mon Feb 12 15:42:35  2018,Sun Feb 11 17:50:11  2018,master,Mon Feb 12 15:42:35  2018,-1,-1,0,0
340632270,Mon Feb 12 19:10:02  2018,master,true,Tue Jan 02 08:19:45  2018,Mon Feb 12 19:10:02  2018,Mon Feb 12 15:42:35  2018,master,Tue Jan 02 08:19:45  2018,3568970000,-1,3581417000,3581417000
340632270,Mon Feb 12 19:10:02  2018,issue-693,true,Mon Feb 05 01:16:16  2018,Mon Feb 05 01:16:16  2018,Mon Feb 12 19:10:02  2018,master,Mon Feb 05 01:16:16  2018,669226000,669226000,0,0
340632270,Mon Feb 12 19:10:02  2018,master,true,Mon Feb 12 15:42:35  2018,Mon Feb 12 15:42:35  2018,Mon Feb 12 19:10:02  2018,master,Mon Feb 12 15:42:35  2018,12447000,12447000,0,0
341816247,Thu Feb 15 10:14:30  2018,master,true,Tue Jan 02 08:19:45  2018,Thu Feb 15 10:14:30  2018,Mon Feb 12 15:42:35  2018,master,Tue Jan 02 08:19:45  2018,3568970000,-1,3808485000,3808485000
341816247,Thu Feb 15 10:14:30  2018,issue-693,true,Mon Feb 05 01:16:16  2018,Mon Feb 05 01:16:16  2018,Thu Feb 15 10:14:30  2018,master,Mon Feb 05 01:16:16  2018,896294000,896294000,0,0
341816247,Thu Feb 15 10:14:30  2018,master,true,Mon Feb 12 15:42:35  2018,Mon Feb 12 15:42:35  2018,Thu Feb 15 10:14:30  2018,master,Mon Feb 12 15:42:35  2018,239515000,239515000,0,0
341822125,Thu Feb 15 10:32:04  2018,master,true,Tue Jan 02 08:19:45  2018,Thu Feb 15 10:32:04  2018,Mon Feb 12 15:42:35  2018,master,Tue Jan 02 08:19:45  2018,3568970000,-1,3809539000,3809539000
341822125,Thu Feb 15 10:32:04  2018,issue-693,true,Mon Feb 05 01:16:16  2018,Mon Feb 05 01:16:16  2018,Thu Feb 15 10:32:04  2018,master,Mon Feb 05 01:16:16  2018,897348000,897348000,0,0
