build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
333652699,Fri Jan 26 10:06:07  2018,master,true,Fri Jan 26 10:06:07  2018,Fri Jan 26 10:06:07  2018,null,null,Fri Jan 26 10:06:07  2018,-1,-1,0,0
333678243,Fri Jan 26 11:24:15  2018,master,true,Fri Jan 26 10:06:07  2018,Fri Jan 26 11:24:15  2018,null,null,Fri Jan 26 10:06:07  2018,-1,-1,4688000,4688000
335550618,Wed Jan 31 10:11:42  2018,master,true,Fri Jan 26 10:06:07  2018,Wed Jan 31 10:11:42  2018,null,null,Fri Jan 26 10:06:07  2018,-1,-1,432335000,432335000
335550884,Wed Jan 31 10:12:23  2018,master,true,Fri Jan 26 10:06:07  2018,Wed Jan 31 10:12:23  2018,null,null,Fri Jan 26 10:06:07  2018,-1,-1,432376000,432376000
336224289,Thu Feb 01 18:17:18  2018,master,true,Fri Jan 26 10:06:07  2018,Thu Feb 01 18:17:18  2018,null,null,Fri Jan 26 10:06:07  2018,-1,-1,547871000,547871000
336646163,Fri Feb 02 17:08:45  2018,master,true,Fri Jan 26 10:06:07  2018,Fri Feb 02 17:08:45  2018,null,null,Fri Jan 26 10:06:07  2018,-1,-1,630158000,630158000
336647268,Fri Feb 02 17:11:51  2018,master,true,Fri Jan 26 10:06:07  2018,Fri Feb 02 17:11:51  2018,null,null,Fri Jan 26 10:06:07  2018,-1,-1,630344000,630344000
336648405,Fri Feb 02 17:15:03  2018,master,true,Fri Jan 26 10:06:07  2018,Fri Feb 02 17:15:03  2018,null,null,Fri Jan 26 10:06:07  2018,-1,-1,630536000,630536000
336648707,Fri Feb 02 17:15:51  2018,master,true,Fri Jan 26 10:06:07  2018,Fri Feb 02 17:15:51  2018,null,null,Fri Jan 26 10:06:07  2018,-1,-1,630584000,630584000
336649236,Fri Feb 02 17:17:09  2018,master,true,Fri Jan 26 10:06:07  2018,Fri Feb 02 17:17:09  2018,null,null,Fri Jan 26 10:06:07  2018,-1,-1,630662000,630662000
336655483,Fri Feb 02 17:33:42  2018,master,true,Fri Jan 26 10:06:07  2018,Fri Feb 02 17:33:42  2018,null,null,Fri Jan 26 10:06:07  2018,-1,-1,631655000,631655000
336685024,Fri Feb 02 18:52:26  2018,master,true,Fri Jan 26 10:06:07  2018,Fri Feb 02 17:33:42  2018,null,null,Fri Jan 26 10:06:07  2018,-1,-1,631655000,631655000
336685024,Fri Feb 02 18:52:26  2018,issue-32,true,Fri Feb 02 18:52:26  2018,Fri Feb 02 18:52:26  2018,Fri Feb 02 17:33:42  2018,master,Fri Feb 02 18:52:26  2018,-1,-1,0,0
336685157,Fri Feb 02 18:52:51  2018,master,true,Fri Jan 26 10:06:07  2018,Fri Feb 02 18:52:51  2018,Fri Feb 02 18:52:26  2018,issue-32,Fri Jan 26 10:06:07  2018,636379000,-1,636404000,636404000
336685157,Fri Feb 02 18:52:51  2018,issue-32,true,Fri Feb 02 18:52:26  2018,Fri Feb 02 18:52:26  2018,Fri Feb 02 18:52:51  2018,master,Fri Feb 02 18:52:26  2018,25000,25000,0,0
337532732,Mon Feb 05 12:51:40  2018,master,true,Fri Jan 26 10:06:07  2018,Mon Feb 05 12:51:40  2018,Fri Feb 02 18:52:26  2018,issue-32,Fri Jan 26 10:06:07  2018,636379000,-1,873933000,873933000
337532732,Mon Feb 05 12:51:40  2018,issue-32,true,Fri Feb 02 18:52:26  2018,Fri Feb 02 18:52:26  2018,Mon Feb 05 12:51:40  2018,master,Fri Feb 02 18:52:26  2018,237554000,237554000,0,0
337591763,Mon Feb 05 15:09:28  2018,master,true,Fri Jan 26 10:06:07  2018,Mon Feb 05 12:51:40  2018,Fri Feb 02 18:52:26  2018,issue-32,Fri Jan 26 10:06:07  2018,636379000,-1,873933000,873933000
337591763,Mon Feb 05 15:09:28  2018,issue-32,true,Fri Feb 02 18:52:26  2018,Fri Feb 02 18:52:26  2018,Mon Feb 05 12:51:40  2018,master,Fri Feb 02 18:52:26  2018,237554000,237554000,0,0
337591763,Mon Feb 05 15:09:28  2018,gelf-http,true,Mon Feb 05 15:09:28  2018,Mon Feb 05 15:09:28  2018,Mon Feb 05 12:51:40  2018,master,Mon Feb 05 15:09:28  2018,-1,-1,0,0
337593040,Mon Feb 05 15:12:22  2018,master,true,Fri Jan 26 10:06:07  2018,Mon Feb 05 15:12:22  2018,Mon Feb 05 15:09:28  2018,gelf-http,Fri Jan 26 10:06:07  2018,882201000,-1,882375000,882375000
337593040,Mon Feb 05 15:12:22  2018,issue-32,true,Fri Feb 02 18:52:26  2018,Fri Feb 02 18:52:26  2018,Mon Feb 05 15:12:22  2018,master,Fri Feb 02 18:52:26  2018,245996000,245996000,0,0
337593040,Mon Feb 05 15:12:22  2018,gelf-http,true,Mon Feb 05 15:09:28  2018,Mon Feb 05 15:09:28  2018,Mon Feb 05 15:12:22  2018,master,Mon Feb 05 15:09:28  2018,174000,174000,0,0
399019776,Mon Jul 02 07:47:06  2018,master,true,Fri Jan 26 10:06:07  2018,Mon Jul 02 07:47:06  2018,Mon Feb 05 15:09:28  2018,gelf-http,Fri Jan 26 10:06:07  2018,882201000,-1,13552859000,13552859000
399019776,Mon Jul 02 07:47:06  2018,issue-32,true,Fri Feb 02 18:52:26  2018,Fri Feb 02 18:52:26  2018,Mon Jul 02 07:47:06  2018,master,Fri Feb 02 18:52:26  2018,12916480000,12916480000,0,0
399019776,Mon Jul 02 07:47:06  2018,gelf-http,true,Mon Feb 05 15:09:28  2018,Mon Feb 05 15:09:28  2018,Mon Jul 02 07:47:06  2018,master,Mon Feb 05 15:09:28  2018,12670658000,12670658000,0,0
