build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
331834176,Mon Jan 22 14:29:33  2018,master,true,Mon Jan 22 14:29:33  2018,Mon Jan 22 14:29:33  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,0,0
339033519,Thu Feb 08 15:34:08  2018,master,true,Mon Jan 22 14:29:33  2018,Thu Feb 08 15:34:08  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,1472675000,1472675000
339379829,Fri Feb 09 09:48:14  2018,master,true,Mon Jan 22 14:29:33  2018,Fri Feb 09 09:48:14  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,1538321000,1538321000
339518293,Fri Feb 09 15:50:02  2018,master,true,Mon Jan 22 14:29:33  2018,Fri Feb 09 15:50:02  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,1560029000,1560029000
340878081,Tue Feb 13 10:10:42  2018,master,true,Mon Jan 22 14:29:33  2018,Tue Feb 13 10:10:42  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,1885269000,1885269000
340878563,Tue Feb 13 10:12:03  2018,master,true,Mon Jan 22 14:29:33  2018,Tue Feb 13 10:12:03  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,1885350000,1885350000
340878732,Tue Feb 13 10:12:38  2018,master,true,Mon Jan 22 14:29:33  2018,Tue Feb 13 10:12:38  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,1885385000,1885385000
340953856,Tue Feb 13 13:47:39  2018,master,true,Mon Jan 22 14:29:33  2018,Tue Feb 13 13:47:39  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,1898286000,1898286000
346232528,Mon Feb 26 11:09:07  2018,master,true,Mon Jan 22 14:29:33  2018,Mon Feb 26 11:09:07  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,3011974000,3011974000
348167915,Fri Mar 02 10:06:45  2018,master,true,Mon Jan 22 14:29:33  2018,Fri Mar 02 10:06:45  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,3353832000,3353832000
348173320,Fri Mar 02 10:24:19  2018,master,true,Mon Jan 22 14:29:33  2018,Fri Mar 02 10:24:19  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,3354886000,3354886000
348175982,Fri Mar 02 10:31:11  2018,master,true,Mon Jan 22 14:29:33  2018,Fri Mar 02 10:31:11  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,3355298000,3355298000
349708545,Tue Mar 06 08:43:14  2018,master,true,Mon Jan 22 14:29:33  2018,Tue Mar 06 08:43:14  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,3694421000,3694421000
349896651,Tue Mar 06 16:25:59  2018,master,true,Mon Jan 22 14:29:33  2018,Tue Mar 06 16:25:59  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,3722186000,3722186000
350415704,Wed Mar 07 16:57:27  2018,master,true,Mon Jan 22 14:29:33  2018,Wed Mar 07 16:57:27  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,3810474000,3810474000
350723020,Thu Mar 08 08:36:34  2018,master,true,Mon Jan 22 14:29:33  2018,Thu Mar 08 08:36:34  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,3866821000,3866821000
351200733,Fri Mar 09 08:18:26  2018,master,true,Mon Jan 22 14:29:33  2018,Fri Mar 09 08:18:26  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,3952133000,3952133000
351319263,Fri Mar 09 14:14:39  2018,master,true,Mon Jan 22 14:29:33  2018,Fri Mar 09 14:14:39  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,3973506000,3973506000
352319523,Mon Mar 12 12:59:59  2018,master,true,Mon Jan 22 14:29:33  2018,Mon Mar 12 12:59:59  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,4228226000,4228226000
352320041,Mon Mar 12 13:01:11  2018,master,true,Mon Jan 22 14:29:33  2018,Mon Mar 12 13:01:11  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,4228298000,4228298000
352320074,Mon Mar 12 13:01:15  2018,master,true,Mon Jan 22 14:29:33  2018,Mon Mar 12 13:01:15  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,4228302000,4228302000
352333697,Mon Mar 12 13:31:45  2018,master,true,Mon Jan 22 14:29:33  2018,Mon Mar 12 13:31:45  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,4230132000,4230132000
354217015,Fri Mar 16 08:59:01  2018,master,true,Mon Jan 22 14:29:33  2018,Fri Mar 16 08:59:01  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,4559368000,4559368000
354300798,Fri Mar 16 12:50:40  2018,master,true,Mon Jan 22 14:29:33  2018,Fri Mar 16 12:50:40  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,4573267000,4573267000
354301010,Fri Mar 16 12:51:18  2018,master,true,Mon Jan 22 14:29:33  2018,Fri Mar 16 12:51:18  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,4573305000,4573305000
354304051,Fri Mar 16 12:59:37  2018,master,true,Mon Jan 22 14:29:33  2018,Fri Mar 16 12:59:37  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,4573804000,4573804000
354304161,Fri Mar 16 13:01:38  2018,master,true,Mon Jan 22 14:29:33  2018,Fri Mar 16 13:01:38  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,4573925000,4573925000
354304167,Fri Mar 16 13:01:48  2018,master,true,Mon Jan 22 14:29:33  2018,Fri Mar 16 13:01:48  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,4573935000,4573935000
394026261,Tue Jun 19 09:44:34  2018,master,true,Mon Jan 22 14:29:33  2018,Tue Jun 19 09:44:34  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,12766501000,12766501000
394539022,Wed Jun 20 12:37:15  2018,master,true,Mon Jan 22 14:29:33  2018,Wed Jun 20 12:37:15  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,12863262000,12863262000
396456270,Mon Jun 25 16:22:41  2018,master,true,Mon Jan 22 14:29:33  2018,Mon Jun 25 16:22:41  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,13308788000,13308788000
398280101,Fri Jun 29 14:45:18  2018,master,true,Mon Jan 22 14:29:33  2018,Fri Jun 29 14:45:18  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,13648545000,13648545000
398288132,Mon Jul 02 07:46:00  2018,master,true,Mon Jan 22 14:29:33  2018,Mon Jul 02 07:46:00  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,13882587000,13882587000
399120748,Mon Jul 02 13:06:05  2018,master,true,Mon Jan 22 14:29:33  2018,Mon Jul 02 13:06:05  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,13901792000,13901792000
399192212,Mon Jul 02 15:49:13  2018,master,true,Mon Jan 22 14:29:33  2018,Mon Jul 02 15:49:13  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,13911580000,13911580000
408391277,Thu Jul 26 07:58:56  2018,master,true,Mon Jan 22 14:29:33  2018,Thu Jul 26 07:58:56  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,15956963000,15956963000
408402341,Thu Jul 26 08:35:03  2018,master,true,Mon Jan 22 14:29:33  2018,Thu Jul 26 08:35:03  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,15959130000,15959130000
410883851,Wed Aug 01 16:12:16  2018,master,true,Mon Jan 22 14:29:33  2018,Wed Aug 01 16:12:16  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,16504963000,16504963000
411328870,Thu Aug 02 15:02:21  2018,master,true,Mon Jan 22 14:29:33  2018,Thu Aug 02 15:02:21  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,16587168000,16587168000
411637721,Fri Aug 03 08:26:37  2018,master,true,Mon Jan 22 14:29:33  2018,Fri Aug 03 08:26:37  2018,null,null,Mon Jan 22 14:29:33  2018,-1,-1,16649824000,16649824000
