build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
328044477,Fri Jan 12 09:44:02  2018,axfrank-refactoring,true,Fri Jan 12 09:44:02  2018,Fri Jan 12 09:44:02  2018,null,null,Fri Jan 12 09:44:02  2018,-1,-1,0,0
328050170,Fri Jan 12 10:03:24  2018,axfrank-refactoring,true,Fri Jan 12 09:44:02  2018,Fri Jan 12 10:03:24  2018,null,null,Fri Jan 12 09:44:02  2018,-1,-1,1162000,1162000
328067578,Fri Jan 12 10:59:34  2018,axfrank-refactoring,true,Fri Jan 12 09:44:02  2018,Fri Jan 12 10:03:24  2018,null,null,Fri Jan 12 09:44:02  2018,-1,-1,1162000,1162000
328067578,Fri Jan 12 10:59:34  2018,master,true,Fri Jan 12 10:59:34  2018,Fri Jan 12 10:59:34  2018,Fri Jan 12 10:03:24  2018,axfrank-refactoring,Fri Jan 12 10:59:34  2018,-1,-1,0,0
328159117,Fri Jan 12 15:24:53  2018,axfrank-refactoring,true,Fri Jan 12 09:44:02  2018,Fri Jan 12 10:03:24  2018,null,null,Fri Jan 12 09:44:02  2018,-1,-1,1162000,1162000
328159117,Fri Jan 12 15:24:53  2018,master,true,Fri Jan 12 10:59:34  2018,Fri Jan 12 10:59:34  2018,Fri Jan 12 10:03:24  2018,axfrank-refactoring,Fri Jan 12 10:59:34  2018,-1,-1,0,0
328159117,Fri Jan 12 15:24:53  2018,planBuilderDocu,true,Fri Jan 12 15:24:53  2018,Fri Jan 12 15:24:53  2018,Fri Jan 12 10:59:34  2018,master,Fri Jan 12 15:24:53  2018,-1,-1,0,0
328159157,Fri Jan 12 15:25:01  2018,axfrank-refactoring,true,Fri Jan 12 09:44:02  2018,Fri Jan 12 10:03:24  2018,Fri Jan 12 15:25:01  2018,master,Fri Jan 12 09:44:02  2018,20459000,19297000,1162000,1162000
328159157,Fri Jan 12 15:25:01  2018,master,true,Fri Jan 12 10:59:34  2018,Fri Jan 12 15:25:01  2018,Fri Jan 12 15:24:53  2018,planBuilderDocu,Fri Jan 12 10:59:34  2018,15919000,-1,15927000,15927000
328159157,Fri Jan 12 15:25:01  2018,planBuilderDocu,true,Fri Jan 12 15:24:53  2018,Fri Jan 12 15:24:53  2018,Fri Jan 12 15:25:01  2018,master,Fri Jan 12 15:24:53  2018,8000,8000,0,0
