build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
340623223,Mon Feb 12 18:45:47  2018,travis-ci,true,Mon Feb 12 18:45:47  2018,Mon Feb 12 18:45:47  2018,null,null,Mon Feb 12 18:45:47  2018,-1,-1,0,0
340624795,Mon Feb 12 18:49:41  2018,travis-ci,true,Mon Feb 12 18:45:47  2018,Mon Feb 12 18:49:41  2018,null,null,Mon Feb 12 18:45:47  2018,-1,-1,234000,234000
340625419,Mon Feb 12 18:51:32  2018,travis-ci,true,Mon Feb 12 18:45:47  2018,Mon Feb 12 18:51:32  2018,null,null,Mon Feb 12 18:45:47  2018,-1,-1,345000,345000
340628967,Mon Feb 12 18:58:55  2018,travis-ci,true,Mon Feb 12 18:45:47  2018,Mon Feb 12 18:58:55  2018,null,null,Mon Feb 12 18:45:47  2018,-1,-1,788000,788000
340629285,Mon Feb 12 18:59:33  2018,travis-ci,true,Mon Feb 12 18:45:47  2018,Mon Feb 12 18:59:33  2018,null,null,Mon Feb 12 18:45:47  2018,-1,-1,826000,826000
340632170,Mon Feb 12 19:07:13  2018,travis-ci,true,Mon Feb 12 18:45:47  2018,Mon Feb 12 19:07:13  2018,null,null,Mon Feb 12 18:45:47  2018,-1,-1,1286000,1286000
340632482,Mon Feb 12 19:07:58  2018,travis-ci,true,Mon Feb 12 18:45:47  2018,Mon Feb 12 19:07:13  2018,null,null,Mon Feb 12 18:45:47  2018,-1,-1,1286000,1286000
340632482,Mon Feb 12 19:07:58  2018,master,true,Mon Feb 12 19:07:58  2018,Mon Feb 12 19:07:58  2018,Mon Feb 12 19:07:13  2018,travis-ci,Mon Feb 12 19:07:58  2018,-1,-1,0,0
340635514,Mon Feb 12 19:15:00  2018,travis-ci,true,Mon Feb 12 18:45:47  2018,Mon Feb 12 19:07:13  2018,Mon Feb 12 19:15:00  2018,master,Mon Feb 12 18:45:47  2018,1753000,467000,1286000,1286000
340635514,Mon Feb 12 19:15:00  2018,master,true,Mon Feb 12 19:07:58  2018,Mon Feb 12 19:15:00  2018,Mon Feb 12 19:07:13  2018,travis-ci,Mon Feb 12 19:07:58  2018,-1,-1,422000,422000
340636201,Mon Feb 12 19:16:42  2018,travis-ci,true,Mon Feb 12 18:45:47  2018,Mon Feb 12 19:07:13  2018,Mon Feb 12 19:15:00  2018,master,Mon Feb 12 18:45:47  2018,1753000,467000,1286000,1286000
340636201,Mon Feb 12 19:16:42  2018,master,true,Mon Feb 12 19:07:58  2018,Mon Feb 12 19:15:00  2018,Mon Feb 12 19:07:13  2018,travis-ci,Mon Feb 12 19:07:58  2018,-1,-1,422000,422000
340636201,Mon Feb 12 19:16:42  2018,4.0.x,true,Mon Feb 12 19:16:42  2018,Mon Feb 12 19:16:42  2018,Mon Feb 12 19:15:00  2018,master,Mon Feb 12 19:16:42  2018,-1,-1,0,0
340636353,Mon Feb 12 19:17:01  2018,travis-ci,true,Mon Feb 12 18:45:47  2018,Mon Feb 12 19:07:13  2018,Mon Feb 12 19:15:00  2018,master,Mon Feb 12 18:45:47  2018,1753000,467000,1286000,1286000
340636353,Mon Feb 12 19:17:01  2018,master,true,Mon Feb 12 19:07:58  2018,Mon Feb 12 19:15:00  2018,Mon Feb 12 19:07:13  2018,travis-ci,Mon Feb 12 19:07:58  2018,-1,-1,422000,422000
340636353,Mon Feb 12 19:17:01  2018,4.0.x,true,Mon Feb 12 19:16:42  2018,Mon Feb 12 19:16:42  2018,Mon Feb 12 19:15:00  2018,master,Mon Feb 12 19:16:42  2018,-1,-1,0,0
340636353,Mon Feb 12 19:17:01  2018,vireo-demo,true,Mon Feb 12 19:17:01  2018,Mon Feb 12 19:17:01  2018,Mon Feb 12 19:16:42  2018,4.0.x,Mon Feb 12 19:17:01  2018,-1,-1,0,0
340645755,Mon Feb 12 19:40:21  2018,travis-ci,true,Mon Feb 12 18:45:47  2018,Mon Feb 12 19:07:13  2018,Mon Feb 12 19:15:00  2018,master,Mon Feb 12 18:45:47  2018,1753000,467000,1286000,1286000
340645755,Mon Feb 12 19:40:21  2018,master,true,Mon Feb 12 19:07:58  2018,Mon Feb 12 19:15:00  2018,Mon Feb 12 19:07:13  2018,travis-ci,Mon Feb 12 19:07:58  2018,-1,-1,422000,422000
340645755,Mon Feb 12 19:40:21  2018,4.0.x,true,Mon Feb 12 19:16:42  2018,Mon Feb 12 19:16:42  2018,Mon Feb 12 19:15:00  2018,master,Mon Feb 12 19:16:42  2018,-1,-1,0,0
340645755,Mon Feb 12 19:40:21  2018,vireo-demo,true,Mon Feb 12 19:17:01  2018,Mon Feb 12 19:17:01  2018,Mon Feb 12 19:16:42  2018,4.0.x,Mon Feb 12 19:17:01  2018,-1,-1,0,0
340645755,Mon Feb 12 19:40:21  2018,4.0.x-738-travis-ci-testing,true,Mon Feb 12 19:40:21  2018,Mon Feb 12 19:40:21  2018,Mon Feb 12 19:17:01  2018,vireo-demo,Mon Feb 12 19:40:21  2018,-1,-1,0,0
340646152,Mon Feb 12 19:41:08  2018,travis-ci,true,Mon Feb 12 18:45:47  2018,Mon Feb 12 19:07:13  2018,Mon Feb 12 19:41:08  2018,4.0.x,Mon Feb 12 18:45:47  2018,3321000,2035000,1286000,1286000
340646152,Mon Feb 12 19:41:08  2018,master,true,Mon Feb 12 19:07:58  2018,Mon Feb 12 19:15:00  2018,Mon Feb 12 19:41:08  2018,4.0.x,Mon Feb 12 19:07:58  2018,1990000,1568000,422000,422000
340646152,Mon Feb 12 19:41:08  2018,4.0.x,true,Mon Feb 12 19:16:42  2018,Mon Feb 12 19:41:08  2018,Mon Feb 12 19:40:21  2018,4.0.x-738-travis-ci-testing,Mon Feb 12 19:16:42  2018,1419000,-1,1466000,1466000
340646152,Mon Feb 12 19:41:08  2018,vireo-demo,true,Mon Feb 12 19:17:01  2018,Mon Feb 12 19:17:01  2018,Mon Feb 12 19:41:08  2018,4.0.x,Mon Feb 12 19:17:01  2018,1447000,1447000,0,0
340646152,Mon Feb 12 19:41:08  2018,4.0.x-738-travis-ci-testing,true,Mon Feb 12 19:40:21  2018,Mon Feb 12 19:40:21  2018,Mon Feb 12 19:41:08  2018,4.0.x,Mon Feb 12 19:40:21  2018,47000,47000,0,0
340650836,Mon Feb 12 19:52:17  2018,travis-ci,true,Mon Feb 12 18:45:47  2018,Mon Feb 12 19:07:13  2018,Mon Feb 12 19:52:17  2018,4.0.x-738-travis-ci-testing,Mon Feb 12 18:45:47  2018,3990000,2704000,1286000,1286000
340650836,Mon Feb 12 19:52:17  2018,master,true,Mon Feb 12 19:07:58  2018,Mon Feb 12 19:15:00  2018,Mon Feb 12 19:52:17  2018,4.0.x-738-travis-ci-testing,Mon Feb 12 19:07:58  2018,2659000,2237000,422000,422000
340650836,Mon Feb 12 19:52:17  2018,4.0.x,true,Mon Feb 12 19:16:42  2018,Mon Feb 12 19:41:08  2018,Mon Feb 12 19:52:17  2018,4.0.x-738-travis-ci-testing,Mon Feb 12 19:16:42  2018,2135000,669000,1466000,1466000
340650836,Mon Feb 12 19:52:17  2018,vireo-demo,true,Mon Feb 12 19:17:01  2018,Mon Feb 12 19:17:01  2018,Mon Feb 12 19:52:17  2018,4.0.x-738-travis-ci-testing,Mon Feb 12 19:17:01  2018,2116000,2116000,0,0
340650836,Mon Feb 12 19:52:17  2018,4.0.x-738-travis-ci-testing,true,Mon Feb 12 19:40:21  2018,Mon Feb 12 19:52:17  2018,Mon Feb 12 19:41:08  2018,4.0.x,Mon Feb 12 19:40:21  2018,47000,-1,716000,716000
340650853,Mon Feb 12 19:52:21  2018,travis-ci,true,Mon Feb 12 18:45:47  2018,Mon Feb 12 19:07:13  2018,Mon Feb 12 19:52:21  2018,4.0.x,Mon Feb 12 18:45:47  2018,3994000,2708000,1286000,1286000
340650853,Mon Feb 12 19:52:21  2018,master,true,Mon Feb 12 19:07:58  2018,Mon Feb 12 19:15:00  2018,Mon Feb 12 19:52:21  2018,4.0.x,Mon Feb 12 19:07:58  2018,2663000,2241000,422000,422000
340650853,Mon Feb 12 19:52:21  2018,4.0.x,true,Mon Feb 12 19:16:42  2018,Mon Feb 12 19:52:21  2018,Mon Feb 12 19:52:17  2018,4.0.x-738-travis-ci-testing,Mon Feb 12 19:16:42  2018,2135000,-1,2139000,2139000
340650853,Mon Feb 12 19:52:21  2018,vireo-demo,true,Mon Feb 12 19:17:01  2018,Mon Feb 12 19:17:01  2018,Mon Feb 12 19:52:21  2018,4.0.x,Mon Feb 12 19:17:01  2018,2120000,2120000,0,0
340650853,Mon Feb 12 19:52:21  2018,4.0.x-738-travis-ci-testing,true,Mon Feb 12 19:40:21  2018,Mon Feb 12 19:52:17  2018,Mon Feb 12 19:52:21  2018,4.0.x,Mon Feb 12 19:40:21  2018,720000,4000,716000,716000
340661154,Mon Feb 12 20:15:52  2018,travis-ci,true,Mon Feb 12 18:45:47  2018,Mon Feb 12 19:07:13  2018,Mon Feb 12 20:15:52  2018,4.0.x,Mon Feb 12 18:45:47  2018,5405000,4119000,1286000,1286000
340661154,Mon Feb 12 20:15:52  2018,master,true,Mon Feb 12 19:07:58  2018,Mon Feb 12 19:15:00  2018,Mon Feb 12 20:15:52  2018,4.0.x,Mon Feb 12 19:07:58  2018,4074000,3652000,422000,422000
340661154,Mon Feb 12 20:15:52  2018,4.0.x,true,Mon Feb 12 19:16:42  2018,Mon Feb 12 20:15:52  2018,Mon Feb 12 19:52:17  2018,4.0.x-738-travis-ci-testing,Mon Feb 12 19:16:42  2018,2135000,-1,3550000,3550000
340661154,Mon Feb 12 20:15:52  2018,vireo-demo,true,Mon Feb 12 19:17:01  2018,Mon Feb 12 19:17:01  2018,Mon Feb 12 20:15:52  2018,4.0.x,Mon Feb 12 19:17:01  2018,3531000,3531000,0,0
340661154,Mon Feb 12 20:15:52  2018,4.0.x-738-travis-ci-testing,true,Mon Feb 12 19:40:21  2018,Mon Feb 12 19:52:17  2018,Mon Feb 12 20:15:52  2018,4.0.x,Mon Feb 12 19:40:21  2018,2131000,1415000,716000,716000
340668950,Mon Feb 12 20:36:06  2018,travis-ci,true,Mon Feb 12 18:45:47  2018,Mon Feb 12 19:07:13  2018,Mon Feb 12 20:15:52  2018,4.0.x,Mon Feb 12 18:45:47  2018,5405000,4119000,1286000,1286000
340668950,Mon Feb 12 20:36:06  2018,master,true,Mon Feb 12 19:07:58  2018,Mon Feb 12 19:15:00  2018,Mon Feb 12 20:15:52  2018,4.0.x,Mon Feb 12 19:07:58  2018,4074000,3652000,422000,422000
340668950,Mon Feb 12 20:36:06  2018,4.0.x,true,Mon Feb 12 19:16:42  2018,Mon Feb 12 20:15:52  2018,Mon Feb 12 19:52:17  2018,4.0.x-738-travis-ci-testing,Mon Feb 12 19:16:42  2018,2135000,-1,3550000,3550000
340668950,Mon Feb 12 20:36:06  2018,vireo-demo,true,Mon Feb 12 19:17:01  2018,Mon Feb 12 19:17:01  2018,Mon Feb 12 20:15:52  2018,4.0.x,Mon Feb 12 19:17:01  2018,3531000,3531000,0,0
340668950,Mon Feb 12 20:36:06  2018,4.0.x-738-travis-ci-testing,true,Mon Feb 12 19:40:21  2018,Mon Feb 12 19:52:17  2018,Mon Feb 12 20:15:52  2018,4.0.x,Mon Feb 12 19:40:21  2018,2131000,1415000,716000,716000
340668950,Mon Feb 12 20:36:06  2018,4.0.x-remove-committee-member-model,true,Mon Feb 12 20:36:06  2018,Mon Feb 12 20:36:06  2018,Mon Feb 12 20:15:52  2018,4.0.x,Mon Feb 12 20:36:06  2018,-1,-1,0,0
340669147,Mon Feb 12 20:36:48  2018,travis-ci,true,Mon Feb 12 18:45:47  2018,Mon Feb 12 19:07:13  2018,Mon Feb 12 20:36:48  2018,4.0.x,Mon Feb 12 18:45:47  2018,6661000,5375000,1286000,1286000
340669147,Mon Feb 12 20:36:48  2018,master,true,Mon Feb 12 19:07:58  2018,Mon Feb 12 19:15:00  2018,Mon Feb 12 20:36:48  2018,4.0.x,Mon Feb 12 19:07:58  2018,5330000,4908000,422000,422000
340669147,Mon Feb 12 20:36:48  2018,4.0.x,true,Mon Feb 12 19:16:42  2018,Mon Feb 12 20:36:48  2018,Mon Feb 12 20:36:06  2018,4.0.x-remove-committee-member-model,Mon Feb 12 19:16:42  2018,4764000,-1,4806000,4806000
340669147,Mon Feb 12 20:36:48  2018,vireo-demo,true,Mon Feb 12 19:17:01  2018,Mon Feb 12 19:17:01  2018,Mon Feb 12 20:36:48  2018,4.0.x,Mon Feb 12 19:17:01  2018,4787000,4787000,0,0
340669147,Mon Feb 12 20:36:48  2018,4.0.x-738-travis-ci-testing,true,Mon Feb 12 19:40:21  2018,Mon Feb 12 19:52:17  2018,Mon Feb 12 20:36:48  2018,4.0.x,Mon Feb 12 19:40:21  2018,3387000,2671000,716000,716000
340669147,Mon Feb 12 20:36:48  2018,4.0.x-remove-committee-member-model,true,Mon Feb 12 20:36:06  2018,Mon Feb 12 20:36:06  2018,Mon Feb 12 20:36:48  2018,4.0.x,Mon Feb 12 20:36:06  2018,42000,42000,0,0
340690695,Mon Feb 12 21:28:39  2018,travis-ci,true,Mon Feb 12 18:45:47  2018,Mon Feb 12 19:07:13  2018,Mon Feb 12 20:36:48  2018,4.0.x,Mon Feb 12 18:45:47  2018,6661000,5375000,1286000,1286000
340690695,Mon Feb 12 21:28:39  2018,master,true,Mon Feb 12 19:07:58  2018,Mon Feb 12 19:15:00  2018,Mon Feb 12 20:36:48  2018,4.0.x,Mon Feb 12 19:07:58  2018,5330000,4908000,422000,422000
340690695,Mon Feb 12 21:28:39  2018,4.0.x,true,Mon Feb 12 19:16:42  2018,Mon Feb 12 20:36:48  2018,Mon Feb 12 20:36:06  2018,4.0.x-remove-committee-member-model,Mon Feb 12 19:16:42  2018,4764000,-1,4806000,4806000
340690695,Mon Feb 12 21:28:39  2018,vireo-demo,true,Mon Feb 12 19:17:01  2018,Mon Feb 12 19:17:01  2018,Mon Feb 12 20:36:48  2018,4.0.x,Mon Feb 12 19:17:01  2018,4787000,4787000,0,0
340690695,Mon Feb 12 21:28:39  2018,4.0.x-738-travis-ci-testing,true,Mon Feb 12 19:40:21  2018,Mon Feb 12 19:52:17  2018,Mon Feb 12 20:36:48  2018,4.0.x,Mon Feb 12 19:40:21  2018,3387000,2671000,716000,716000
340690695,Mon Feb 12 21:28:39  2018,4.0.x-remove-committee-member-model,true,Mon Feb 12 20:36:06  2018,Mon Feb 12 20:36:06  2018,Mon Feb 12 20:36:48  2018,4.0.x,Mon Feb 12 20:36:06  2018,42000,42000,0,0
340690695,Mon Feb 12 21:28:39  2018,4.0.x-hidding-log-tab,true,Mon Feb 12 21:28:39  2018,Mon Feb 12 21:28:39  2018,Mon Feb 12 20:36:48  2018,4.0.x,Mon Feb 12 21:28:39  2018,-1,-1,0,0
340690918,Mon Feb 12 21:29:15  2018,travis-ci,true,Mon Feb 12 18:45:47  2018,Mon Feb 12 19:07:13  2018,Mon Feb 12 21:29:15  2018,4.0.x,Mon Feb 12 18:45:47  2018,9808000,8522000,1286000,1286000
340690918,Mon Feb 12 21:29:15  2018,master,true,Mon Feb 12 19:07:58  2018,Mon Feb 12 19:15:00  2018,Mon Feb 12 21:29:15  2018,4.0.x,Mon Feb 12 19:07:58  2018,8477000,8055000,422000,422000
340690918,Mon Feb 12 21:29:15  2018,4.0.x,true,Mon Feb 12 19:16:42  2018,Mon Feb 12 21:29:15  2018,Mon Feb 12 21:28:39  2018,4.0.x-hidding-log-tab,Mon Feb 12 19:16:42  2018,7917000,-1,7953000,7953000
