build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
329136968,Mon Jan 15 16:44:54  2018,master,true,Mon Jan 15 16:44:54  2018,Mon Jan 15 16:44:54  2018,null,null,Mon Jan 15 16:44:54  2018,-1,-1,0,0
329136991,Mon Jan 15 16:45:01  2018,master,true,Mon Jan 15 16:44:54  2018,Mon Jan 15 16:44:54  2018,null,null,Mon Jan 15 16:44:54  2018,-1,-1,0,0
329136991,Mon Jan 15 16:45:01  2018,java-u2flib-server-0.19.0,true,Mon Jan 15 16:45:01  2018,Mon Jan 15 16:45:01  2018,Mon Jan 15 16:44:54  2018,master,Mon Jan 15 16:45:01  2018,-1,-1,0,0
329990372,Wed Jan 17 17:55:13  2018,master,true,Mon Jan 15 16:44:54  2018,Mon Jan 15 16:44:54  2018,null,null,Mon Jan 15 16:44:54  2018,-1,-1,0,0
329990372,Wed Jan 17 17:55:13  2018,java-u2flib-server-0.19.0,true,Mon Jan 15 16:45:01  2018,Mon Jan 15 16:45:01  2018,Mon Jan 15 16:44:54  2018,master,Mon Jan 15 16:45:01  2018,-1,-1,0,0
329990372,Wed Jan 17 17:55:13  2018,webauthn-demo,true,Wed Jan 17 17:55:13  2018,Wed Jan 17 17:55:13  2018,Mon Jan 15 16:45:01  2018,java-u2flib-server-0.19.0,Wed Jan 17 17:55:13  2018,-1,-1,0,0
331043973,Fri Jan 19 23:43:40  2018,master,true,Mon Jan 15 16:44:54  2018,Mon Jan 15 16:44:54  2018,Fri Jan 19 23:43:40  2018,webauthn-demo,Mon Jan 15 16:44:54  2018,370726000,370726000,0,0
331043973,Fri Jan 19 23:43:40  2018,java-u2flib-server-0.19.0,true,Mon Jan 15 16:45:01  2018,Mon Jan 15 16:45:01  2018,Fri Jan 19 23:43:40  2018,webauthn-demo,Mon Jan 15 16:45:01  2018,370719000,370719000,0,0
331043973,Fri Jan 19 23:43:40  2018,webauthn-demo,true,Wed Jan 17 17:55:13  2018,Fri Jan 19 23:43:40  2018,Mon Jan 15 16:45:01  2018,java-u2flib-server-0.19.0,Wed Jan 17 17:55:13  2018,-1,-1,193707000,193707000
331046475,Fri Jan 19 23:53:41  2018,master,true,Mon Jan 15 16:44:54  2018,Mon Jan 15 16:44:54  2018,Fri Jan 19 23:53:41  2018,webauthn-demo,Mon Jan 15 16:44:54  2018,371327000,371327000,0,0
331046475,Fri Jan 19 23:53:41  2018,java-u2flib-server-0.19.0,true,Mon Jan 15 16:45:01  2018,Mon Jan 15 16:45:01  2018,Fri Jan 19 23:53:41  2018,webauthn-demo,Mon Jan 15 16:45:01  2018,371320000,371320000,0,0
331046475,Fri Jan 19 23:53:41  2018,webauthn-demo,true,Wed Jan 17 17:55:13  2018,Fri Jan 19 23:53:41  2018,Mon Jan 15 16:45:01  2018,java-u2flib-server-0.19.0,Wed Jan 17 17:55:13  2018,-1,-1,194308000,194308000
332304336,Tue Jan 23 13:51:52  2018,master,true,Mon Jan 15 16:44:54  2018,Mon Jan 15 16:44:54  2018,Tue Jan 23 13:51:52  2018,webauthn-demo,Mon Jan 15 16:44:54  2018,680818000,680818000,0,0
332304336,Tue Jan 23 13:51:52  2018,java-u2flib-server-0.19.0,true,Mon Jan 15 16:45:01  2018,Mon Jan 15 16:45:01  2018,Tue Jan 23 13:51:52  2018,webauthn-demo,Mon Jan 15 16:45:01  2018,680811000,680811000,0,0
332304336,Tue Jan 23 13:51:52  2018,webauthn-demo,true,Wed Jan 17 17:55:13  2018,Tue Jan 23 13:51:52  2018,Mon Jan 15 16:45:01  2018,java-u2flib-server-0.19.0,Wed Jan 17 17:55:13  2018,-1,-1,503799000,503799000
335182616,Tue Jan 30 14:44:57  2018,master,true,Mon Jan 15 16:44:54  2018,Mon Jan 15 16:44:54  2018,Tue Jan 30 14:44:57  2018,webauthn-demo,Mon Jan 15 16:44:54  2018,1288803000,1288803000,0,0
335182616,Tue Jan 30 14:44:57  2018,java-u2flib-server-0.19.0,true,Mon Jan 15 16:45:01  2018,Mon Jan 15 16:45:01  2018,Tue Jan 30 14:44:57  2018,webauthn-demo,Mon Jan 15 16:45:01  2018,1288796000,1288796000,0,0
