build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
333373579,Thu Jan 25 17:33:59  2018,master,true,Thu Jan 25 17:33:59  2018,Thu Jan 25 17:33:59  2018,null,null,Thu Jan 25 17:33:59  2018,-1,-1,0,0
333378055,Thu Jan 25 17:44:37  2018,master,true,Thu Jan 25 17:33:59  2018,Thu Jan 25 17:44:37  2018,null,null,Thu Jan 25 17:33:59  2018,-1,-1,638000,638000
333380374,Thu Jan 25 17:49:01  2018,master,true,Thu Jan 25 17:33:59  2018,Thu Jan 25 17:49:01  2018,null,null,Thu Jan 25 17:33:59  2018,-1,-1,902000,902000
333380837,Thu Jan 25 17:50:05  2018,master,true,Thu Jan 25 17:33:59  2018,Thu Jan 25 17:49:01  2018,null,null,Thu Jan 25 17:33:59  2018,-1,-1,902000,902000
333380837,Thu Jan 25 17:50:05  2018,zcode_sonatype_release_branch,true,Thu Jan 25 17:50:05  2018,Thu Jan 25 17:50:05  2018,Thu Jan 25 17:49:01  2018,master,Thu Jan 25 17:50:05  2018,-1,-1,0,0
333383824,Thu Jan 25 17:57:06  2018,master,true,Thu Jan 25 17:33:59  2018,Thu Jan 25 17:57:06  2018,Thu Jan 25 17:50:05  2018,zcode_sonatype_release_branch,Thu Jan 25 17:33:59  2018,966000,-1,1387000,1387000
333383824,Thu Jan 25 17:57:06  2018,zcode_sonatype_release_branch,true,Thu Jan 25 17:50:05  2018,Thu Jan 25 17:50:05  2018,Thu Jan 25 17:57:06  2018,master,Thu Jan 25 17:50:05  2018,421000,421000,0,0
333384601,Thu Jan 25 17:59:06  2018,master,true,Thu Jan 25 17:33:59  2018,Thu Jan 25 17:59:06  2018,Thu Jan 25 17:50:05  2018,zcode_sonatype_release_branch,Thu Jan 25 17:33:59  2018,966000,-1,1507000,1507000
333384601,Thu Jan 25 17:59:06  2018,zcode_sonatype_release_branch,true,Thu Jan 25 17:50:05  2018,Thu Jan 25 17:50:05  2018,Thu Jan 25 17:59:06  2018,master,Thu Jan 25 17:50:05  2018,541000,541000,0,0
333385341,Thu Jan 25 18:00:53  2018,master,true,Thu Jan 25 17:33:59  2018,Thu Jan 25 17:59:06  2018,Thu Jan 25 18:00:53  2018,zcode_sonatype_release_branch,Thu Jan 25 17:33:59  2018,1614000,107000,1507000,1507000
