build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
323765929,Mon Jan 01 12:51:07  2018,master,true,Mon Jan 01 12:51:07  2018,Mon Jan 01 12:51:07  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,0,0
324070891,Tue Jan 02 10:12:22  2018,master,true,Mon Jan 01 12:51:07  2018,Tue Jan 02 10:12:22  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,76875000,76875000
324076590,Tue Jan 02 10:33:21  2018,master,true,Mon Jan 01 12:51:07  2018,Tue Jan 02 10:33:21  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,78134000,78134000
324076791,Tue Jan 02 10:34:13  2018,master,true,Mon Jan 01 12:51:07  2018,Tue Jan 02 10:34:13  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,78186000,78186000
324119021,Tue Jan 02 13:07:13  2018,master,true,Mon Jan 01 12:51:07  2018,Tue Jan 02 13:07:13  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,87366000,87366000
324131893,Tue Jan 02 13:47:02  2018,master,true,Mon Jan 01 12:51:07  2018,Tue Jan 02 13:47:02  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,89755000,89755000
324526928,Wed Jan 03 10:38:19  2018,master,true,Mon Jan 01 12:51:07  2018,Wed Jan 03 10:38:19  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,164832000,164832000
324933294,Thu Jan 04 08:08:42  2018,master,true,Mon Jan 01 12:51:07  2018,Thu Jan 04 08:08:42  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,242255000,242255000
324952114,Thu Jan 04 09:22:23  2018,master,true,Mon Jan 01 12:51:07  2018,Thu Jan 04 09:22:23  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,246676000,246676000
325005033,Thu Jan 04 12:19:24  2018,master,true,Mon Jan 01 12:51:07  2018,Thu Jan 04 12:19:24  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,257297000,257297000
325193225,Thu Jan 04 20:37:18  2018,master,true,Mon Jan 01 12:51:07  2018,Thu Jan 04 20:37:18  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,287171000,287171000
325199492,Thu Jan 04 20:57:23  2018,master,true,Mon Jan 01 12:51:07  2018,Thu Jan 04 20:57:23  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,288376000,288376000
325508882,Fri Jan 05 16:25:05  2018,master,true,Mon Jan 01 12:51:07  2018,Fri Jan 05 16:25:05  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,358438000,358438000
326123468,Sun Jan 07 19:30:08  2018,master,true,Mon Jan 01 12:51:07  2018,Sun Jan 07 19:30:08  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,542341000,542341000
326339596,Mon Jan 08 12:25:20  2018,master,true,Mon Jan 01 12:51:07  2018,Mon Jan 08 12:25:20  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,603253000,603253000
326443341,Mon Jan 08 16:30:28  2018,master,true,Mon Jan 01 12:51:07  2018,Mon Jan 08 16:30:28  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,617961000,617961000
326729205,Tue Jan 09 09:21:47  2018,master,true,Mon Jan 01 12:51:07  2018,Tue Jan 09 09:21:47  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,678640000,678640000
326889052,Tue Jan 09 16:31:17  2018,master,true,Mon Jan 01 12:51:07  2018,Tue Jan 09 16:31:17  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,704410000,704410000
327132786,Wed Jan 10 08:11:10  2018,master,true,Mon Jan 01 12:51:07  2018,Wed Jan 10 08:11:10  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,760803000,760803000
327149041,Wed Jan 10 09:11:18  2018,master,true,Mon Jan 01 12:51:07  2018,Wed Jan 10 09:11:18  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,764411000,764411000
327293773,Wed Jan 10 16:03:32  2018,master,true,Mon Jan 01 12:51:07  2018,Wed Jan 10 16:03:32  2018,null,null,Mon Jan 01 12:51:07  2018,-1,-1,789145000,789145000
