build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
324596405,Wed Jan 03 14:20:37  2018,master,true,Wed Jan 03 14:20:37  2018,Wed Jan 03 14:20:37  2018,null,null,Wed Jan 03 14:20:37  2018,-1,-1,0,0
324993664,Thu Jan 04 11:39:11  2018,master,true,Wed Jan 03 14:20:37  2018,Wed Jan 03 14:20:37  2018,null,null,Wed Jan 03 14:20:37  2018,-1,-1,0,0
324993664,Thu Jan 04 11:39:11  2018,master,true,Thu Jan 04 11:39:11  2018,Thu Jan 04 11:39:11  2018,Wed Jan 03 14:20:37  2018,master,Thu Jan 04 11:39:11  2018,-1,-1,0,0
333246624,Thu Jan 25 12:43:07  2018,master,true,Wed Jan 03 14:20:37  2018,Thu Jan 25 12:43:07  2018,Thu Jan 04 11:39:11  2018,master,Wed Jan 03 14:20:37  2018,76714000,-1,1894950000,1894950000
333246624,Thu Jan 25 12:43:07  2018,master,true,Thu Jan 04 11:39:11  2018,Thu Jan 04 11:39:11  2018,Thu Jan 25 12:43:07  2018,master,Thu Jan 04 11:39:11  2018,1818236000,1818236000,0,0
352002262,Sun Mar 11 15:52:32  2018,master,true,Wed Jan 03 14:20:37  2018,Sun Mar 11 15:52:32  2018,Thu Jan 04 11:39:11  2018,master,Wed Jan 03 14:20:37  2018,76714000,-1,5794315000,5794315000
352002262,Sun Mar 11 15:52:32  2018,master,true,Thu Jan 04 11:39:11  2018,Thu Jan 04 11:39:11  2018,Sun Mar 11 15:52:32  2018,master,Thu Jan 04 11:39:11  2018,5717601000,5717601000,0,0
352012887,Sun Mar 11 16:34:00  2018,master,true,Wed Jan 03 14:20:37  2018,Sun Mar 11 16:34:00  2018,Thu Jan 04 11:39:11  2018,master,Wed Jan 03 14:20:37  2018,76714000,-1,5796803000,5796803000
352012887,Sun Mar 11 16:34:00  2018,master,true,Thu Jan 04 11:39:11  2018,Thu Jan 04 11:39:11  2018,Sun Mar 11 16:34:00  2018,master,Thu Jan 04 11:39:11  2018,5720089000,5720089000,0,0
353009387,Tue Mar 13 19:30:55  2018,master,true,Wed Jan 03 14:20:37  2018,Tue Mar 13 19:30:55  2018,Thu Jan 04 11:39:11  2018,master,Wed Jan 03 14:20:37  2018,76714000,-1,5980218000,5980218000
353009387,Tue Mar 13 19:30:55  2018,master,true,Thu Jan 04 11:39:11  2018,Thu Jan 04 11:39:11  2018,Tue Mar 13 19:30:55  2018,master,Thu Jan 04 11:39:11  2018,5903504000,5903504000,0,0
353943490,Thu Mar 15 17:18:48  2018,master,true,Wed Jan 03 14:20:37  2018,Thu Mar 15 17:18:48  2018,Thu Jan 04 11:39:11  2018,master,Wed Jan 03 14:20:37  2018,76714000,-1,6145091000,6145091000
353943490,Thu Mar 15 17:18:48  2018,master,true,Thu Jan 04 11:39:11  2018,Thu Jan 04 11:39:11  2018,Thu Mar 15 17:18:48  2018,master,Thu Jan 04 11:39:11  2018,6068377000,6068377000,0,0
359405192,Wed Mar 28 15:04:50  2018,master,true,Wed Jan 03 14:20:37  2018,Wed Mar 28 15:04:50  2018,Thu Jan 04 11:39:11  2018,master,Wed Jan 03 14:20:37  2018,76714000,-1,7256653000,7256653000
359405192,Wed Mar 28 15:04:50  2018,master,true,Thu Jan 04 11:39:11  2018,Thu Jan 04 11:39:11  2018,Wed Mar 28 15:04:50  2018,master,Thu Jan 04 11:39:11  2018,7179939000,7179939000,0,0
359426613,Wed Mar 28 15:43:29  2018,master,true,Wed Jan 03 14:20:37  2018,Wed Mar 28 15:04:50  2018,Wed Mar 28 15:43:29  2018,master,Wed Jan 03 14:20:37  2018,7258972000,2319000,7256653000,7256653000
