build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
324067816,Tue Jan 02 09:59:40  2018,master,true,Tue Jan 02 09:59:40  2018,Tue Jan 02 09:59:40  2018,null,null,Tue Jan 02 09:59:40  2018,-1,-1,0,0
324069726,Tue Jan 02 10:07:09  2018,master,true,Tue Jan 02 09:59:40  2018,Tue Jan 02 10:07:09  2018,null,null,Tue Jan 02 09:59:40  2018,-1,-1,449000,449000
324080184,Tue Jan 02 10:48:53  2018,master,true,Tue Jan 02 09:59:40  2018,Tue Jan 02 10:48:53  2018,null,null,Tue Jan 02 09:59:40  2018,-1,-1,2953000,2953000
324084757,Tue Jan 02 11:03:10  2018,master,true,Tue Jan 02 09:59:40  2018,Tue Jan 02 11:03:10  2018,null,null,Tue Jan 02 09:59:40  2018,-1,-1,3810000,3810000
324086529,Tue Jan 02 11:09:28  2018,master,true,Tue Jan 02 09:59:40  2018,Tue Jan 02 11:09:28  2018,null,null,Tue Jan 02 09:59:40  2018,-1,-1,4188000,4188000
324086916,Tue Jan 02 17:00:02  2018,master,true,Tue Jan 02 09:59:40  2018,Tue Jan 02 17:00:02  2018,null,null,Tue Jan 02 09:59:40  2018,-1,-1,25222000,25222000
325807738,Sat Jan 06 15:44:52  2018,master,true,Tue Jan 02 09:59:40  2018,Sat Jan 06 15:44:52  2018,null,null,Tue Jan 02 09:59:40  2018,-1,-1,366312000,366312000
325821108,Sat Jan 06 16:43:58  2018,master,true,Tue Jan 02 09:59:40  2018,Sat Jan 06 16:43:58  2018,null,null,Tue Jan 02 09:59:40  2018,-1,-1,369858000,369858000
325821194,Sat Jan 06 16:44:25  2018,master,true,Tue Jan 02 09:59:40  2018,Sat Jan 06 16:44:25  2018,null,null,Tue Jan 02 09:59:40  2018,-1,-1,369885000,369885000
325821514,Sat Jan 06 16:45:40  2018,master,true,Tue Jan 02 09:59:40  2018,Sat Jan 06 16:45:40  2018,null,null,Tue Jan 02 09:59:40  2018,-1,-1,369960000,369960000
325821667,Sat Jan 06 16:46:13  2018,master,true,Tue Jan 02 09:59:40  2018,Sat Jan 06 16:46:13  2018,null,null,Tue Jan 02 09:59:40  2018,-1,-1,369993000,369993000
325863542,Sat Jan 06 19:46:29  2018,master,true,Tue Jan 02 09:59:40  2018,Sat Jan 06 19:46:29  2018,null,null,Tue Jan 02 09:59:40  2018,-1,-1,380809000,380809000
326801911,Tue Jan 09 12:59:14  2018,master,true,Tue Jan 02 09:59:40  2018,Tue Jan 09 12:59:14  2018,null,null,Tue Jan 02 09:59:40  2018,-1,-1,615574000,615574000
326802004,Tue Jan 09 12:59:38  2018,master,true,Tue Jan 02 09:59:40  2018,Tue Jan 09 12:59:38  2018,null,null,Tue Jan 02 09:59:40  2018,-1,-1,615598000,615598000
329395363,Tue Jan 16 10:07:04  2018,master,true,Tue Jan 02 09:59:40  2018,Tue Jan 16 10:07:04  2018,null,null,Tue Jan 02 09:59:40  2018,-1,-1,1210044000,1210044000
340146198,Sun Feb 11 15:00:31  2018,master,true,Tue Jan 02 09:59:40  2018,Tue Jan 16 10:07:04  2018,null,null,Tue Jan 02 09:59:40  2018,-1,-1,1210044000,1210044000
