build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
331975704,Mon Jan 22 19:56:12  2018,develop,true,Mon Jan 22 19:56:12  2018,Mon Jan 22 19:56:12  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,0,0
331981705,Mon Jan 22 20:11:12  2018,develop,true,Mon Jan 22 19:56:12  2018,Mon Jan 22 20:11:12  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,900000,900000
331992234,Mon Jan 22 20:36:41  2018,develop,true,Mon Jan 22 19:56:12  2018,Mon Jan 22 20:36:41  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,2429000,2429000
333370199,Thu Jan 25 17:26:24  2018,develop,true,Mon Jan 22 19:56:12  2018,Thu Jan 25 17:26:24  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,250212000,250212000
333373017,Thu Jan 25 17:32:29  2018,develop,true,Mon Jan 22 19:56:12  2018,Thu Jan 25 17:32:29  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,250577000,250577000
335185279,Tue Jan 30 14:50:39  2018,develop,true,Mon Jan 22 19:56:12  2018,Tue Jan 30 14:50:39  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,672867000,672867000
335217816,Tue Jan 30 15:58:00  2018,develop,true,Mon Jan 22 19:56:12  2018,Tue Jan 30 15:58:00  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,676908000,676908000
335222460,Tue Jan 30 16:07:09  2018,develop,true,Mon Jan 22 19:56:12  2018,Tue Jan 30 16:07:09  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,677457000,677457000
337641619,Mon Feb 05 17:01:09  2018,develop,true,Mon Jan 22 19:56:12  2018,Mon Feb 05 17:01:09  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1199097000,1199097000
337584611,Mon Feb 05 17:04:09  2018,develop,true,Mon Jan 22 19:56:12  2018,Mon Feb 05 17:04:09  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1199277000,1199277000
337646538,Mon Feb 05 17:13:15  2018,develop,true,Mon Jan 22 19:56:12  2018,Mon Feb 05 17:13:15  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1199823000,1199823000
337662684,Mon Feb 05 17:50:04  2018,develop,true,Mon Jan 22 19:56:12  2018,Mon Feb 05 17:50:04  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1202032000,1202032000
337693695,Mon Feb 05 19:04:52  2018,develop,true,Mon Jan 22 19:56:12  2018,Mon Feb 05 19:04:52  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1206520000,1206520000
337725399,Mon Feb 05 20:26:58  2018,develop,true,Mon Jan 22 19:56:12  2018,Mon Feb 05 20:26:58  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1211446000,1211446000
338326483,Wed Feb 07 04:19:19  2018,develop,true,Mon Jan 22 19:56:12  2018,Wed Feb 07 04:19:19  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1326187000,1326187000
338328257,Wed Feb 07 04:29:21  2018,develop,true,Mon Jan 22 19:56:12  2018,Wed Feb 07 04:29:21  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1326789000,1326789000
338330814,Wed Feb 07 04:42:32  2018,develop,true,Mon Jan 22 19:56:12  2018,Wed Feb 07 04:42:32  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1327580000,1327580000
338463537,Wed Feb 07 11:56:47  2018,develop,true,Mon Jan 22 19:56:12  2018,Wed Feb 07 11:56:47  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1353635000,1353635000
338493325,Wed Feb 07 13:17:47  2018,develop,true,Mon Jan 22 19:56:12  2018,Wed Feb 07 13:17:47  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1358495000,1358495000
338503355,Wed Feb 07 13:42:40  2018,develop,true,Mon Jan 22 19:56:12  2018,Wed Feb 07 13:42:40  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1359988000,1359988000
338508755,Wed Feb 07 13:56:44  2018,develop,true,Mon Jan 22 19:56:12  2018,Wed Feb 07 13:56:44  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1360832000,1360832000
338536128,Wed Feb 07 14:58:07  2018,develop,true,Mon Jan 22 19:56:12  2018,Wed Feb 07 14:58:07  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1364515000,1364515000
340644910,Mon Feb 12 19:38:16  2018,develop,true,Mon Jan 22 19:56:12  2018,Mon Feb 12 19:38:16  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1813324000,1813324000
340653926,Mon Feb 12 19:59:50  2018,develop,true,Mon Jan 22 19:56:12  2018,Mon Feb 12 19:59:50  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1814618000,1814618000
340669512,Mon Feb 12 20:37:30  2018,develop,true,Mon Jan 22 19:56:12  2018,Mon Feb 12 20:37:30  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1816878000,1816878000
340673159,Mon Feb 12 20:47:11  2018,develop,true,Mon Jan 22 19:56:12  2018,Mon Feb 12 20:47:11  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1817459000,1817459000
341127988,Tue Feb 13 20:42:30  2018,develop,true,Mon Jan 22 19:56:12  2018,Tue Feb 13 20:42:30  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1903578000,1903578000
341135311,Tue Feb 13 20:59:25  2018,develop,true,Mon Jan 22 19:56:12  2018,Tue Feb 13 20:59:25  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1904593000,1904593000
341153860,Tue Feb 13 21:43:51  2018,develop,true,Mon Jan 22 19:56:12  2018,Tue Feb 13 21:43:51  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1907259000,1907259000
341157921,Tue Feb 13 21:52:07  2018,develop,true,Mon Jan 22 19:56:12  2018,Tue Feb 13 21:52:07  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1907755000,1907755000
341520549,Wed Feb 14 16:41:22  2018,develop,true,Mon Jan 22 19:56:12  2018,Wed Feb 14 16:41:22  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1975510000,1975510000
341525524,Wed Feb 14 16:52:29  2018,develop,true,Mon Jan 22 19:56:12  2018,Wed Feb 14 16:52:29  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,1976177000,1976177000
341961358,Thu Feb 15 16:26:04  2018,develop,true,Mon Jan 22 19:56:12  2018,Thu Feb 15 16:26:04  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,2060992000,2060992000
341968772,Thu Feb 15 16:41:36  2018,develop,true,Mon Jan 22 19:56:12  2018,Thu Feb 15 16:41:36  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,2061924000,2061924000
342096452,Thu Feb 15 22:14:53  2018,develop,true,Mon Jan 22 19:56:12  2018,Thu Feb 15 22:14:53  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,2081921000,2081921000
342111826,Thu Feb 15 22:58:55  2018,develop,true,Mon Jan 22 19:56:12  2018,Thu Feb 15 22:58:55  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,2084563000,2084563000
342117071,Thu Feb 15 23:12:41  2018,develop,true,Mon Jan 22 19:56:12  2018,Thu Feb 15 23:12:41  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,2085389000,2085389000
344324961,Wed Feb 21 13:46:03  2018,develop,true,Mon Jan 22 19:56:12  2018,Wed Feb 21 13:46:03  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,2569791000,2569791000
344329143,Wed Feb 21 13:56:13  2018,develop,true,Mon Jan 22 19:56:12  2018,Wed Feb 21 13:56:13  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,2570401000,2570401000
344333768,Wed Feb 21 14:05:23  2018,develop,true,Mon Jan 22 19:56:12  2018,Wed Feb 21 14:05:23  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,2570951000,2570951000
344338906,Wed Feb 21 14:16:37  2018,develop,true,Mon Jan 22 19:56:12  2018,Wed Feb 21 14:16:37  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,2571625000,2571625000
350064243,Tue Mar 06 22:53:28  2018,develop,true,Mon Jan 22 19:56:12  2018,Wed Feb 21 14:16:37  2018,null,null,Mon Jan 22 19:56:12  2018,-1,-1,2571625000,2571625000
350064243,Tue Mar 06 22:53:28  2018,feature/autobuild,true,Tue Mar 06 22:53:28  2018,Tue Mar 06 22:53:28  2018,Wed Feb 21 14:16:37  2018,develop,Tue Mar 06 22:53:28  2018,-1,-1,0,0
