build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
330338034,Thu Jan 18 12:38:53  2018,master,true,Thu Jan 18 12:38:53  2018,Thu Jan 18 12:38:53  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,0,0
331838301,Mon Jan 22 14:38:34  2018,master,true,Thu Jan 18 12:38:53  2018,Mon Jan 22 14:38:34  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,352781000,352781000
331871001,Mon Jan 22 16:05:26  2018,master,true,Thu Jan 18 12:38:53  2018,Mon Jan 22 16:05:26  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,357993000,357993000
332175187,Tue Jan 23 07:41:05  2018,master,true,Thu Jan 18 12:38:53  2018,Tue Jan 23 07:41:05  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,414132000,414132000
332190570,Tue Jan 23 09:09:23  2018,master,true,Thu Jan 18 12:38:53  2018,Tue Jan 23 09:09:23  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,419430000,419430000
332202727,Tue Jan 23 09:13:05  2018,master,true,Thu Jan 18 12:38:53  2018,Tue Jan 23 09:13:05  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,419652000,419652000
332252562,Tue Jan 23 11:28:56  2018,master,true,Thu Jan 18 12:38:53  2018,Tue Jan 23 11:28:56  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,427803000,427803000
332258135,Tue Jan 23 11:43:35  2018,master,true,Thu Jan 18 12:38:53  2018,Tue Jan 23 11:43:35  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,428682000,428682000
332267572,Tue Jan 23 13:09:29  2018,master,true,Thu Jan 18 12:38:53  2018,Tue Jan 23 13:09:29  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,433836000,433836000
332660805,Wed Jan 24 07:17:17  2018,master,true,Thu Jan 18 12:38:53  2018,Wed Jan 24 07:17:17  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,499104000,499104000
332663390,Wed Jan 24 07:29:33  2018,master,true,Thu Jan 18 12:38:53  2018,Wed Jan 24 07:29:33  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,499840000,499840000
332886669,Wed Jan 24 17:12:37  2018,master,true,Thu Jan 18 12:38:53  2018,Wed Jan 24 17:12:37  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,534824000,534824000
333153941,Thu Jan 25 07:49:44  2018,master,true,Thu Jan 18 12:38:53  2018,Thu Jan 25 07:49:44  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,587451000,587451000
333154286,Thu Jan 25 07:51:15  2018,master,true,Thu Jan 18 12:38:53  2018,Thu Jan 25 07:51:15  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,587542000,587542000
333156075,Thu Jan 25 08:00:09  2018,master,true,Thu Jan 18 12:38:53  2018,Thu Jan 25 08:00:09  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,588076000,588076000
333162518,Thu Jan 25 08:25:07  2018,master,true,Thu Jan 18 12:38:53  2018,Thu Jan 25 08:25:07  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,589574000,589574000
333167310,Thu Jan 25 08:42:31  2018,master,true,Thu Jan 18 12:38:53  2018,Thu Jan 25 08:42:31  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,590618000,590618000
333310040,Thu Jan 25 15:20:00  2018,master,true,Thu Jan 18 12:38:53  2018,Thu Jan 25 15:20:00  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,614467000,614467000
334740344,Mon Jan 29 15:07:53  2018,master,true,Thu Jan 18 12:38:53  2018,Mon Jan 29 15:07:53  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,959340000,959340000
334772444,Mon Jan 29 16:16:40  2018,master,true,Thu Jan 18 12:38:53  2018,Mon Jan 29 16:16:40  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,963467000,963467000
334785562,Mon Jan 29 16:46:08  2018,master,true,Thu Jan 18 12:38:53  2018,Mon Jan 29 16:46:08  2018,null,null,Thu Jan 18 12:38:53  2018,-1,-1,965235000,965235000
