build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
324163875,Tue Jan 02 15:14:55  2018,master,true,Tue Jan 02 15:14:55  2018,Tue Jan 02 15:14:55  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,0,0
324243912,Tue Jan 02 18:57:03  2018,master,true,Tue Jan 02 15:14:55  2018,Tue Jan 02 18:57:03  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,13328000,13328000
324257045,Tue Jan 02 19:36:25  2018,master,true,Tue Jan 02 15:14:55  2018,Tue Jan 02 19:36:25  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,15690000,15690000
324302185,Tue Jan 02 21:29:02  2018,master,true,Tue Jan 02 15:14:55  2018,Tue Jan 02 21:29:02  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,22447000,22447000
324315479,Tue Jan 02 21:43:53  2018,master,true,Tue Jan 02 15:14:55  2018,Tue Jan 02 21:43:53  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,23338000,23338000
324339090,Tue Jan 02 22:15:44  2018,master,true,Tue Jan 02 15:14:55  2018,Tue Jan 02 22:15:44  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,25249000,25249000
324596666,Wed Jan 03 14:20:46  2018,master,true,Tue Jan 02 15:14:55  2018,Wed Jan 03 14:20:46  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,83151000,83151000
324621501,Wed Jan 03 15:20:35  2018,master,true,Tue Jan 02 15:14:55  2018,Wed Jan 03 15:20:35  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,86740000,86740000
324630047,Wed Jan 03 15:40:32  2018,master,true,Tue Jan 02 15:14:55  2018,Wed Jan 03 15:40:32  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,87937000,87937000
324737434,Wed Jan 03 20:38:13  2018,master,true,Tue Jan 02 15:14:55  2018,Wed Jan 03 20:38:13  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,105798000,105798000
324750583,Wed Jan 03 21:06:02  2018,master,true,Tue Jan 02 15:14:55  2018,Wed Jan 03 21:06:02  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,107467000,107467000
324761955,Wed Jan 03 21:37:04  2018,master,true,Tue Jan 02 15:14:55  2018,Wed Jan 03 21:37:04  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,109329000,109329000
324767911,Wed Jan 03 21:52:51  2018,master,true,Tue Jan 02 15:14:55  2018,Wed Jan 03 21:52:51  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,110276000,110276000
324787840,Wed Jan 03 22:20:07  2018,master,true,Tue Jan 02 15:14:55  2018,Wed Jan 03 22:20:07  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,111912000,111912000
325024917,Thu Jan 04 13:25:42  2018,master,true,Tue Jan 02 15:14:55  2018,Thu Jan 04 13:25:42  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,166247000,166247000
325157975,Thu Jan 04 18:59:26  2018,master,true,Tue Jan 02 15:14:55  2018,Thu Jan 04 18:59:26  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,186271000,186271000
325162507,Thu Jan 04 19:11:32  2018,master,true,Tue Jan 02 15:14:55  2018,Thu Jan 04 19:11:32  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,186997000,186997000
325165235,Thu Jan 04 19:19:12  2018,master,true,Tue Jan 02 15:14:55  2018,Thu Jan 04 19:19:12  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,187457000,187457000
325166030,Thu Jan 04 19:21:18  2018,master,true,Tue Jan 02 15:14:55  2018,Thu Jan 04 19:21:18  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,187583000,187583000
325167310,Thu Jan 04 19:24:34  2018,master,true,Tue Jan 02 15:14:55  2018,Thu Jan 04 19:24:34  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,187779000,187779000
325178941,Thu Jan 04 19:54:48  2018,master,true,Tue Jan 02 15:14:55  2018,Thu Jan 04 19:54:48  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,189593000,189593000
325248741,Thu Jan 04 23:26:44  2018,master,true,Tue Jan 02 15:14:55  2018,Thu Jan 04 23:26:44  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,202309000,202309000
325251963,Thu Jan 04 23:36:27  2018,master,true,Tue Jan 02 15:14:55  2018,Thu Jan 04 23:36:27  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,202892000,202892000
325275288,Fri Jan 05 00:58:25  2018,master,true,Tue Jan 02 15:14:55  2018,Fri Jan 05 00:58:25  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,207810000,207810000
325547782,Fri Jan 05 18:06:21  2018,master,true,Tue Jan 02 15:14:55  2018,Fri Jan 05 18:06:21  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,269486000,269486000
325563233,Fri Jan 05 18:50:22  2018,master,true,Tue Jan 02 15:14:55  2018,Fri Jan 05 18:50:22  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,272127000,272127000
326300817,Mon Jan 08 10:27:51  2018,master,true,Tue Jan 02 15:14:55  2018,Mon Jan 08 10:27:51  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,501176000,501176000
326563374,Mon Jan 08 21:37:08  2018,master,true,Tue Jan 02 15:14:55  2018,Mon Jan 08 21:37:08  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,541333000,541333000
326566820,Mon Jan 08 21:47:17  2018,master,true,Tue Jan 02 15:14:55  2018,Mon Jan 08 21:47:17  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,541942000,541942000
326727982,Tue Jan 09 09:17:38  2018,master,true,Tue Jan 02 15:14:55  2018,Tue Jan 09 09:17:38  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,583363000,583363000
326910140,Tue Jan 09 17:26:28  2018,master,true,Tue Jan 02 15:14:55  2018,Tue Jan 09 17:26:28  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,612693000,612693000
326970876,Tue Jan 09 20:11:43  2018,master,true,Tue Jan 02 15:14:55  2018,Tue Jan 09 20:11:43  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,622608000,622608000
327386351,Wed Jan 10 19:56:40  2018,master,true,Tue Jan 02 15:14:55  2018,Wed Jan 10 19:56:40  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,708105000,708105000
327414322,Wed Jan 10 21:16:04  2018,master,true,Tue Jan 02 15:14:55  2018,Wed Jan 10 21:16:04  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,712869000,712869000
327718207,Thu Jan 11 14:56:09  2018,master,true,Tue Jan 02 15:14:55  2018,Thu Jan 11 14:56:09  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,776474000,776474000
327722900,Thu Jan 11 15:05:47  2018,master,true,Tue Jan 02 15:14:55  2018,Thu Jan 11 15:05:47  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,777052000,777052000
329543851,Tue Jan 16 16:26:00  2018,master,true,Tue Jan 02 15:14:55  2018,Tue Jan 16 16:26:00  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,1213865000,1213865000
329609435,Wed Jan 17 07:13:49  2018,master,true,Tue Jan 02 15:14:55  2018,Wed Jan 17 07:13:49  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,1267134000,1267134000
329631278,Wed Jan 17 09:03:04  2018,master,true,Tue Jan 02 15:14:55  2018,Wed Jan 17 09:03:04  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,1273689000,1273689000
330054072,Thu Jan 18 10:10:48  2018,master,true,Tue Jan 02 15:14:55  2018,Thu Jan 18 10:10:48  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,1364153000,1364153000
330241514,Thu Jan 18 14:15:08  2018,master,true,Tue Jan 02 15:14:55  2018,Thu Jan 18 14:15:08  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,1378813000,1378813000
330379281,Thu Jan 18 14:27:38  2018,master,true,Tue Jan 02 15:14:55  2018,Thu Jan 18 14:27:38  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,1379563000,1379563000
330406107,Thu Jan 18 15:27:10  2018,master,true,Tue Jan 02 15:14:55  2018,Thu Jan 18 15:27:10  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,1383135000,1383135000
330521785,Thu Jan 18 19:58:27  2018,master,true,Tue Jan 02 15:14:55  2018,Thu Jan 18 19:58:27  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,1399412000,1399412000
330546546,Thu Jan 18 21:05:27  2018,master,true,Tue Jan 02 15:14:55  2018,Thu Jan 18 21:05:27  2018,null,null,Tue Jan 02 15:14:55  2018,-1,-1,1403432000,1403432000
