build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
326918946,Tue Jan 09 17:48:49  2018,master,true,Tue Jan 09 17:48:49  2018,Tue Jan 09 17:48:49  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,0,0
327223002,Wed Jan 10 13:12:12  2018,master,true,Tue Jan 09 17:48:49  2018,Wed Jan 10 13:12:12  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,69803000,69803000
327310978,Wed Jan 10 16:42:20  2018,master,true,Tue Jan 09 17:48:49  2018,Wed Jan 10 16:42:20  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,82411000,82411000
327331137,Wed Jan 10 17:30:10  2018,master,true,Tue Jan 09 17:48:49  2018,Wed Jan 10 17:30:10  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,85281000,85281000
327349047,Wed Jan 10 18:16:56  2018,master,true,Tue Jan 09 17:48:49  2018,Wed Jan 10 18:16:56  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,88087000,88087000
329065044,Mon Jan 15 14:04:08  2018,master,true,Tue Jan 09 17:48:49  2018,Mon Jan 15 14:04:08  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,504919000,504919000
329262838,Mon Jan 15 23:33:29  2018,master,true,Tue Jan 09 17:48:49  2018,Mon Jan 15 23:33:29  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,539080000,539080000
329268456,Mon Jan 15 23:54:38  2018,master,true,Tue Jan 09 17:48:49  2018,Mon Jan 15 23:54:38  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,540349000,540349000
329875020,Wed Jan 17 13:38:47  2018,master,true,Tue Jan 09 17:48:49  2018,Wed Jan 17 13:38:47  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,676198000,676198000
329907444,Wed Jan 17 14:55:15  2018,master,true,Tue Jan 09 17:48:49  2018,Wed Jan 17 14:55:15  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,680786000,680786000
331982694,Mon Jan 22 20:14:12  2018,master,true,Tue Jan 09 17:48:49  2018,Mon Jan 22 20:14:12  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,1131923000,1131923000
339253927,Fri Feb 09 00:38:25  2018,master,true,Tue Jan 09 17:48:49  2018,Fri Feb 09 00:38:25  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,2616576000,2616576000
339627387,Fri Feb 09 20:13:21  2018,master,true,Tue Jan 09 17:48:49  2018,Fri Feb 09 20:13:21  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,2687072000,2687072000
348772529,Sat Mar 03 23:02:53  2018,master,true,Tue Jan 09 17:48:49  2018,Sat Mar 03 23:02:53  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,4598044000,4598044000
352398403,Mon Mar 12 15:43:07  2018,master,true,Tue Jan 09 17:48:49  2018,Mon Mar 12 15:43:07  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,5349258000,5349258000
352413567,Mon Mar 12 16:12:59  2018,master,true,Tue Jan 09 17:48:49  2018,Mon Mar 12 16:12:59  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,5351050000,5351050000
361568996,Tue Apr 03 10:21:03  2018,master,true,Tue Jan 09 17:48:49  2018,Tue Apr 03 10:21:03  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,7227134000,7227134000
361591040,Tue Apr 03 11:21:53  2018,master,true,Tue Jan 09 17:48:49  2018,Tue Apr 03 11:21:53  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,7230784000,7230784000
361594960,Tue Apr 03 11:33:41  2018,master,true,Tue Jan 09 17:48:49  2018,Tue Apr 03 11:33:41  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,7231492000,7231492000
365200936,Wed Apr 11 16:17:49  2018,master,true,Tue Jan 09 17:48:49  2018,Wed Apr 11 16:17:49  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,7939740000,7939740000
365779982,Thu Apr 12 19:39:19  2018,master,true,Tue Jan 09 17:48:49  2018,Thu Apr 12 19:39:19  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,8038230000,8038230000
365837046,Thu Apr 12 21:58:41  2018,master,true,Tue Jan 09 17:48:49  2018,Thu Apr 12 21:58:41  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,8046592000,8046592000
366151157,Fri Apr 13 15:01:16  2018,master,true,Tue Jan 09 17:48:49  2018,Fri Apr 13 15:01:16  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,8107947000,8107947000
367148535,Mon Apr 16 13:14:49  2018,master,true,Tue Jan 09 17:48:49  2018,Mon Apr 16 13:14:49  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,8360760000,8360760000
367259333,Mon Apr 16 16:57:26  2018,master,true,Tue Jan 09 17:48:49  2018,Mon Apr 16 16:57:26  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,8374117000,8374117000
367265319,Mon Apr 16 17:11:00  2018,master,true,Tue Jan 09 17:48:49  2018,Mon Apr 16 17:11:00  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,8374931000,8374931000
367266200,Mon Apr 16 17:12:52  2018,master,true,Tue Jan 09 17:48:49  2018,Mon Apr 16 17:12:52  2018,null,null,Tue Jan 09 17:48:49  2018,-1,-1,8375043000,8375043000
