build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
325175300,Thu Jan 04 19:51:12  2018,optimize_jpa,true,Thu Jan 04 19:51:12  2018,Thu Jan 04 19:51:12  2018,null,null,Thu Jan 04 19:51:12  2018,-1,-1,0,0
325244590,Thu Jan 04 23:13:13  2018,optimize_jpa,true,Thu Jan 04 19:51:12  2018,Thu Jan 04 23:13:13  2018,null,null,Thu Jan 04 19:51:12  2018,-1,-1,12121000,12121000
325552919,Fri Jan 05 18:22:07  2018,optimize_jpa,true,Thu Jan 04 19:51:12  2018,Thu Jan 04 23:13:13  2018,null,null,Thu Jan 04 19:51:12  2018,-1,-1,12121000,12121000
325552919,Fri Jan 05 18:22:07  2018,master,true,Fri Jan 05 18:22:07  2018,Fri Jan 05 18:22:07  2018,Thu Jan 04 23:13:13  2018,optimize_jpa,Fri Jan 05 18:22:07  2018,-1,-1,0,0
325622472,Fri Jan 05 21:42:49  2018,optimize_jpa,true,Thu Jan 04 19:51:12  2018,Thu Jan 04 23:13:13  2018,Fri Jan 05 21:42:49  2018,master,Thu Jan 04 19:51:12  2018,93097000,80976000,12121000,12121000
325622472,Fri Jan 05 21:42:49  2018,master,true,Fri Jan 05 18:22:07  2018,Fri Jan 05 21:42:49  2018,Thu Jan 04 23:13:13  2018,optimize_jpa,Fri Jan 05 18:22:07  2018,-1,-1,12042000,12042000
325859253,Sat Jan 06 19:28:26  2018,optimize_jpa,true,Thu Jan 04 19:51:12  2018,Thu Jan 04 23:13:13  2018,Sat Jan 06 19:28:26  2018,master,Thu Jan 04 19:51:12  2018,171434000,159313000,12121000,12121000
325859253,Sat Jan 06 19:28:26  2018,master,true,Fri Jan 05 18:22:07  2018,Sat Jan 06 19:28:26  2018,Thu Jan 04 23:13:13  2018,optimize_jpa,Fri Jan 05 18:22:07  2018,-1,-1,90379000,90379000
326336303,Mon Jan 08 12:16:16  2018,optimize_jpa,true,Thu Jan 04 19:51:12  2018,Thu Jan 04 23:13:13  2018,Mon Jan 08 12:16:16  2018,master,Thu Jan 04 19:51:12  2018,318304000,306183000,12121000,12121000
326336303,Mon Jan 08 12:16:16  2018,master,true,Fri Jan 05 18:22:07  2018,Mon Jan 08 12:16:16  2018,Thu Jan 04 23:13:13  2018,optimize_jpa,Fri Jan 05 18:22:07  2018,-1,-1,237249000,237249000
