build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
330671419,Fri Jan 19 05:17:25  2018,master,true,Fri Jan 19 05:17:25  2018,Fri Jan 19 05:17:25  2018,null,null,Fri Jan 19 05:17:25  2018,-1,-1,0,0
330681121,Fri Jan 19 06:12:15  2018,master,true,Fri Jan 19 05:17:25  2018,Fri Jan 19 06:12:15  2018,null,null,Fri Jan 19 05:17:25  2018,-1,-1,3290000,3290000
330681313,Fri Jan 19 06:13:13  2018,master,true,Fri Jan 19 05:17:25  2018,Fri Jan 19 06:12:15  2018,null,null,Fri Jan 19 05:17:25  2018,-1,-1,3290000,3290000
330681313,Fri Jan 19 06:13:13  2018,jprotobuf-2.1.5,true,Fri Jan 19 06:13:13  2018,Fri Jan 19 06:13:13  2018,Fri Jan 19 06:12:15  2018,master,Fri Jan 19 06:13:13  2018,-1,-1,0,0
339780214,Sat Feb 10 07:58:47  2018,master,true,Fri Jan 19 05:17:25  2018,Sat Feb 10 07:58:47  2018,Fri Jan 19 06:13:13  2018,jprotobuf-2.1.5,Fri Jan 19 05:17:25  2018,3348000,-1,1910482000,1910482000
339780214,Sat Feb 10 07:58:47  2018,jprotobuf-2.1.5,true,Fri Jan 19 06:13:13  2018,Fri Jan 19 06:13:13  2018,Sat Feb 10 07:58:47  2018,master,Fri Jan 19 06:13:13  2018,1907134000,1907134000,0,0
340030214,Sun Feb 11 03:13:19  2018,master,true,Fri Jan 19 05:17:25  2018,Sun Feb 11 03:13:19  2018,Fri Jan 19 06:13:13  2018,jprotobuf-2.1.5,Fri Jan 19 05:17:25  2018,3348000,-1,1979754000,1979754000
340030214,Sun Feb 11 03:13:19  2018,jprotobuf-2.1.5,true,Fri Jan 19 06:13:13  2018,Fri Jan 19 06:13:13  2018,Sun Feb 11 03:13:19  2018,master,Fri Jan 19 06:13:13  2018,1976406000,1976406000,0,0
350659244,Thu Mar 08 03:58:18  2018,master,true,Fri Jan 19 05:17:25  2018,Thu Mar 08 03:58:18  2018,Fri Jan 19 06:13:13  2018,jprotobuf-2.1.5,Fri Jan 19 05:17:25  2018,3348000,-1,4142453000,4142453000
350659244,Thu Mar 08 03:58:18  2018,jprotobuf-2.1.5,true,Fri Jan 19 06:13:13  2018,Fri Jan 19 06:13:13  2018,Thu Mar 08 03:58:18  2018,master,Fri Jan 19 06:13:13  2018,4139105000,4139105000,0,0
359672467,Thu Mar 29 03:35:01  2018,master,true,Fri Jan 19 05:17:25  2018,Thu Mar 29 03:35:01  2018,Fri Jan 19 06:13:13  2018,jprotobuf-2.1.5,Fri Jan 19 05:17:25  2018,3348000,-1,5951856000,5951856000
359672467,Thu Mar 29 03:35:01  2018,jprotobuf-2.1.5,true,Fri Jan 19 06:13:13  2018,Fri Jan 19 06:13:13  2018,Thu Mar 29 03:35:01  2018,master,Fri Jan 19 06:13:13  2018,5948508000,5948508000,0,0
359673224,Thu Mar 29 03:39:38  2018,master,true,Fri Jan 19 05:17:25  2018,Thu Mar 29 03:39:38  2018,Fri Jan 19 06:13:13  2018,jprotobuf-2.1.5,Fri Jan 19 05:17:25  2018,3348000,-1,5952133000,5952133000
359673224,Thu Mar 29 03:39:38  2018,jprotobuf-2.1.5,true,Fri Jan 19 06:13:13  2018,Fri Jan 19 06:13:13  2018,Thu Mar 29 03:39:38  2018,master,Fri Jan 19 06:13:13  2018,5948785000,5948785000,0,0
