build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
323796324,Mon Jan 01 15:46:21  2018,dev,true,Mon Jan 01 15:46:21  2018,Mon Jan 01 15:46:21  2018,null,null,Mon Jan 01 15:46:21  2018,-1,-1,0,0
323843097,Mon Jan 01 18:27:50  2018,dev,true,Mon Jan 01 15:46:21  2018,Mon Jan 01 18:27:50  2018,null,null,Mon Jan 01 15:46:21  2018,-1,-1,9689000,9689000
323855628,Mon Jan 01 18:54:13  2018,dev,true,Mon Jan 01 15:46:21  2018,Mon Jan 01 18:54:13  2018,null,null,Mon Jan 01 15:46:21  2018,-1,-1,11272000,11272000
323891117,Mon Jan 01 20:04:24  2018,dev,true,Mon Jan 01 15:46:21  2018,Mon Jan 01 20:04:24  2018,null,null,Mon Jan 01 15:46:21  2018,-1,-1,15483000,15483000
323981014,Tue Jan 02 01:09:36  2018,dev,true,Mon Jan 01 15:46:21  2018,Tue Jan 02 01:09:36  2018,null,null,Mon Jan 01 15:46:21  2018,-1,-1,33795000,33795000
323981059,Tue Jan 02 01:10:03  2018,dev,true,Mon Jan 01 15:46:21  2018,Tue Jan 02 01:09:36  2018,null,null,Mon Jan 01 15:46:21  2018,-1,-1,33795000,33795000
323981059,Tue Jan 02 01:10:03  2018,master,true,Tue Jan 02 01:10:03  2018,Tue Jan 02 01:10:03  2018,Tue Jan 02 01:09:36  2018,dev,Tue Jan 02 01:10:03  2018,-1,-1,0,0
327079848,Wed Jan 10 02:50:13  2018,dev,true,Mon Jan 01 15:46:21  2018,Wed Jan 10 02:50:13  2018,Tue Jan 02 01:10:03  2018,master,Mon Jan 01 15:46:21  2018,33822000,-1,731032000,731032000
327079848,Wed Jan 10 02:50:13  2018,master,true,Tue Jan 02 01:10:03  2018,Tue Jan 02 01:10:03  2018,Wed Jan 10 02:50:13  2018,dev,Tue Jan 02 01:10:03  2018,697210000,697210000,0,0
327079904,Wed Jan 10 02:50:25  2018,dev,false,Mon Jan 01 15:46:21  2018,Wed Jan 10 02:50:13  2018,Tue Jan 02 01:10:03  2018,master,Mon Jan 01 15:46:21  2018,33822000,-1,731032000,731032000
327079904,Wed Jan 10 02:50:25  2018,master,true,Tue Jan 02 01:10:03  2018,Tue Jan 02 01:10:03  2018,Wed Jan 10 02:50:13  2018,dev,Tue Jan 02 01:10:03  2018,697210000,697210000,0,0
330637527,Fri Jan 19 02:06:55  2018,dev,false,Fri Jan 19 02:06:55  2018,Fri Jan 19 02:06:55  2018,Tue Jan 02 01:10:03  2018,master,Mon Jan 01 15:46:21  2018,-1,-1,0,1506034000
330637527,Fri Jan 19 02:06:55  2018,master,true,Tue Jan 02 01:10:03  2018,Tue Jan 02 01:10:03  2018,Fri Jan 19 02:06:55  2018,dev,Tue Jan 02 01:10:03  2018,1472212000,1472212000,0,0
330643356,Fri Jan 19 02:34:36  2018,dev,false,Fri Jan 19 02:06:55  2018,Fri Jan 19 02:34:36  2018,Tue Jan 02 01:10:03  2018,master,Mon Jan 01 15:46:21  2018,-1,-1,1661000,1507695000
330643356,Fri Jan 19 02:34:36  2018,master,true,Tue Jan 02 01:10:03  2018,Tue Jan 02 01:10:03  2018,Fri Jan 19 02:34:36  2018,dev,Tue Jan 02 01:10:03  2018,1473873000,1473873000,0,0
330943468,Fri Jan 19 18:52:00  2018,dev,false,Fri Jan 19 02:06:55  2018,Fri Jan 19 18:52:00  2018,Tue Jan 02 01:10:03  2018,master,Mon Jan 01 15:46:21  2018,-1,-1,60305000,1566339000
330943468,Fri Jan 19 18:52:00  2018,master,true,Tue Jan 02 01:10:03  2018,Tue Jan 02 01:10:03  2018,Fri Jan 19 18:52:00  2018,dev,Tue Jan 02 01:10:03  2018,1532517000,1532517000,0,0
330990475,Fri Jan 19 21:08:34  2018,dev,false,Fri Jan 19 02:06:55  2018,Fri Jan 19 21:08:34  2018,Tue Jan 02 01:10:03  2018,master,Mon Jan 01 15:46:21  2018,-1,-1,68499000,1574533000
330990475,Fri Jan 19 21:08:34  2018,master,true,Tue Jan 02 01:10:03  2018,Tue Jan 02 01:10:03  2018,Fri Jan 19 21:08:34  2018,dev,Tue Jan 02 01:10:03  2018,1540711000,1540711000,0,0
331001141,Fri Jan 19 21:41:11  2018,dev,false,Fri Jan 19 02:06:55  2018,Fri Jan 19 21:41:11  2018,Tue Jan 02 01:10:03  2018,master,Mon Jan 01 15:46:21  2018,-1,-1,70456000,1576490000
331001141,Fri Jan 19 21:41:11  2018,master,true,Tue Jan 02 01:10:03  2018,Tue Jan 02 01:10:03  2018,Fri Jan 19 21:41:11  2018,dev,Tue Jan 02 01:10:03  2018,1542668000,1542668000,0,0
