build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
323908096,Mon Jan 01 20:30:32  2018,master,true,Mon Jan 01 20:30:32  2018,Mon Jan 01 20:30:32  2018,null,null,Mon Jan 01 20:30:32  2018,-1,-1,0,0
324242603,Tue Jan 02 18:53:21  2018,master,true,Mon Jan 01 20:30:32  2018,Tue Jan 02 18:53:21  2018,null,null,Mon Jan 01 20:30:32  2018,-1,-1,80569000,80569000
324247052,Tue Jan 02 19:06:03  2018,master,true,Mon Jan 01 20:30:32  2018,Tue Jan 02 19:06:03  2018,null,null,Mon Jan 01 20:30:32  2018,-1,-1,81331000,81331000
326515225,Mon Jan 08 19:26:59  2018,master,true,Mon Jan 01 20:30:32  2018,Mon Jan 08 19:26:59  2018,null,null,Mon Jan 01 20:30:32  2018,-1,-1,600987000,600987000
326537631,Mon Jan 08 20:24:09  2018,master,true,Mon Jan 01 20:30:32  2018,Mon Jan 08 20:24:09  2018,null,null,Mon Jan 01 20:30:32  2018,-1,-1,604417000,604417000
327859968,Thu Jan 11 20:53:47  2018,master,true,Mon Jan 01 20:30:32  2018,Mon Jan 08 20:24:09  2018,null,null,Mon Jan 01 20:30:32  2018,-1,-1,604417000,604417000
327859968,Thu Jan 11 20:53:47  2018,3.5.1,true,Thu Jan 11 20:53:47  2018,Thu Jan 11 20:53:47  2018,Mon Jan 08 20:24:09  2018,master,Thu Jan 11 20:53:47  2018,-1,-1,0,0
327861419,Thu Jan 11 20:57:43  2018,master,true,Mon Jan 01 20:30:32  2018,Thu Jan 11 20:57:43  2018,Thu Jan 11 20:53:47  2018,3.5.1,Mon Jan 01 20:30:32  2018,865395000,-1,865631000,865631000
327861419,Thu Jan 11 20:57:43  2018,3.5.1,true,Thu Jan 11 20:53:47  2018,Thu Jan 11 20:53:47  2018,Thu Jan 11 20:57:43  2018,master,Thu Jan 11 20:53:47  2018,236000,236000,0,0
330017451,Wed Jan 17 18:58:56  2018,master,true,Mon Jan 01 20:30:32  2018,Wed Jan 17 18:58:56  2018,Thu Jan 11 20:53:47  2018,3.5.1,Mon Jan 01 20:30:32  2018,865395000,-1,1376904000,1376904000
330017451,Wed Jan 17 18:58:56  2018,3.5.1,true,Thu Jan 11 20:53:47  2018,Thu Jan 11 20:53:47  2018,Wed Jan 17 18:58:56  2018,master,Thu Jan 11 20:53:47  2018,511509000,511509000,0,0
330045398,Wed Jan 17 20:06:05  2018,master,true,Mon Jan 01 20:30:32  2018,Wed Jan 17 20:06:05  2018,Thu Jan 11 20:53:47  2018,3.5.1,Mon Jan 01 20:30:32  2018,865395000,-1,1380933000,1380933000
330045398,Wed Jan 17 20:06:05  2018,3.5.1,true,Thu Jan 11 20:53:47  2018,Thu Jan 11 20:53:47  2018,Wed Jan 17 20:06:05  2018,master,Thu Jan 11 20:53:47  2018,515538000,515538000,0,0
330045623,Wed Jan 17 20:08:16  2018,master,true,Mon Jan 01 20:30:32  2018,Wed Jan 17 20:06:05  2018,Thu Jan 11 20:53:47  2018,3.5.1,Mon Jan 01 20:30:32  2018,865395000,-1,1380933000,1380933000
330045623,Wed Jan 17 20:08:16  2018,3.5.1,true,Thu Jan 11 20:53:47  2018,Thu Jan 11 20:53:47  2018,Wed Jan 17 20:06:05  2018,master,Thu Jan 11 20:53:47  2018,515538000,515538000,0,0
330045623,Wed Jan 17 20:08:16  2018,3.6.0,true,Wed Jan 17 20:08:16  2018,Wed Jan 17 20:08:16  2018,Wed Jan 17 20:06:05  2018,master,Wed Jan 17 20:08:16  2018,-1,-1,0,0
