build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
349953236,Tue Mar 06 18:29:10  2018,master,true,Tue Mar 06 18:29:10  2018,Tue Mar 06 18:29:10  2018,null,null,Tue Mar 06 18:29:10  2018,-1,-1,0,0
350080058,Tue Mar 06 23:39:21  2018,master,true,Tue Mar 06 18:29:10  2018,Tue Mar 06 23:39:21  2018,null,null,Tue Mar 06 18:29:10  2018,-1,-1,18611000,18611000
350080468,Tue Mar 06 23:40:43  2018,master,true,Tue Mar 06 18:29:10  2018,Tue Mar 06 23:40:43  2018,null,null,Tue Mar 06 18:29:10  2018,-1,-1,18693000,18693000
350433770,Wed Mar 07 17:34:46  2018,master,true,Tue Mar 06 18:29:10  2018,Wed Mar 07 17:34:46  2018,null,null,Tue Mar 06 18:29:10  2018,-1,-1,83136000,83136000
350435432,Wed Mar 07 17:38:34  2018,master,true,Tue Mar 06 18:29:10  2018,Wed Mar 07 17:38:34  2018,null,null,Tue Mar 06 18:29:10  2018,-1,-1,83364000,83364000
350435921,Wed Mar 07 17:39:37  2018,master,true,Tue Mar 06 18:29:10  2018,Wed Mar 07 17:39:37  2018,null,null,Tue Mar 06 18:29:10  2018,-1,-1,83427000,83427000
360060922,Thu Mar 29 22:09:34  2018,master,true,Tue Mar 06 18:29:10  2018,Thu Mar 29 22:09:34  2018,null,null,Tue Mar 06 18:29:10  2018,-1,-1,1996824000,1996824000
360063448,Thu Mar 29 22:16:37  2018,master,true,Tue Mar 06 18:29:10  2018,Thu Mar 29 22:16:37  2018,null,null,Tue Mar 06 18:29:10  2018,-1,-1,1997247000,1997247000
360066099,Thu Mar 29 22:24:44  2018,master,true,Tue Mar 06 18:29:10  2018,Thu Mar 29 22:24:44  2018,null,null,Tue Mar 06 18:29:10  2018,-1,-1,1997734000,1997734000
360066384,Thu Mar 29 22:25:42  2018,master,true,Tue Mar 06 18:29:10  2018,Thu Mar 29 22:25:42  2018,null,null,Tue Mar 06 18:29:10  2018,-1,-1,1997792000,1997792000
397571430,Wed Jun 27 22:50:11  2018,master,true,Tue Mar 06 18:29:10  2018,Wed Jun 27 22:50:11  2018,null,null,Tue Mar 06 18:29:10  2018,-1,-1,9775261000,9775261000
397571528,Wed Jun 27 22:50:52  2018,master,true,Tue Mar 06 18:29:10  2018,Wed Jun 27 22:50:52  2018,null,null,Tue Mar 06 18:29:10  2018,-1,-1,9775302000,9775302000
