build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
311387358,Tue Jan 16 16:47:15  2018,development,true,Tue Jan 16 16:47:15  2018,Tue Jan 16 16:47:15  2018,null,null,Tue Jan 16 16:47:15  2018,-1,-1,0,0
333214653,Thu Jan 25 11:02:06  2018,development,true,Tue Jan 16 16:47:15  2018,Thu Jan 25 11:02:06  2018,null,null,Tue Jan 16 16:47:15  2018,-1,-1,756891000,756891000
340909706,Tue Feb 13 11:47:42  2018,development,true,Tue Jan 16 16:47:15  2018,Tue Feb 13 11:47:42  2018,null,null,Tue Jan 16 16:47:15  2018,-1,-1,2401227000,2401227000
321118252,Tue Feb 13 11:47:53  2018,development,true,Tue Jan 16 16:47:15  2018,Tue Feb 13 11:47:42  2018,null,null,Tue Jan 16 16:47:15  2018,-1,-1,2401227000,2401227000
321118252,Tue Feb 13 11:47:53  2018,MDTimeSeries,true,Tue Feb 13 11:47:53  2018,Tue Feb 13 11:47:53  2018,Tue Feb 13 11:47:42  2018,development,Tue Feb 13 11:47:53  2018,-1,-1,0,0
340910942,Tue Feb 13 11:52:11  2018,development,true,Tue Jan 16 16:47:15  2018,Tue Feb 13 11:52:11  2018,Tue Feb 13 11:47:53  2018,MDTimeSeries,Tue Jan 16 16:47:15  2018,2401238000,-1,2401496000,2401496000
340910942,Tue Feb 13 11:52:11  2018,MDTimeSeries,true,Tue Feb 13 11:47:53  2018,Tue Feb 13 11:47:53  2018,Tue Feb 13 11:52:11  2018,development,Tue Feb 13 11:47:53  2018,258000,258000,0,0
341557337,Wed Feb 14 18:10:20  2018,development,true,Tue Jan 16 16:47:15  2018,Tue Feb 13 11:52:11  2018,Tue Feb 13 11:47:53  2018,MDTimeSeries,Tue Jan 16 16:47:15  2018,2401238000,-1,2401496000,2401496000
341557337,Wed Feb 14 18:10:20  2018,MDTimeSeries,true,Tue Feb 13 11:47:53  2018,Tue Feb 13 11:47:53  2018,Tue Feb 13 11:52:11  2018,development,Tue Feb 13 11:47:53  2018,258000,258000,0,0
341557337,Wed Feb 14 18:10:20  2018,serializeFix,true,Wed Feb 14 18:10:20  2018,Wed Feb 14 18:10:20  2018,Tue Feb 13 11:52:11  2018,development,Wed Feb 14 18:10:20  2018,-1,-1,0,0
341858042,Thu Feb 15 12:13:22  2018,development,true,Tue Jan 16 16:47:15  2018,Thu Feb 15 12:13:22  2018,Wed Feb 14 18:10:20  2018,serializeFix,Tue Jan 16 16:47:15  2018,2510585000,-1,2575567000,2575567000
341858042,Thu Feb 15 12:13:22  2018,MDTimeSeries,true,Tue Feb 13 11:47:53  2018,Tue Feb 13 11:47:53  2018,Thu Feb 15 12:13:22  2018,development,Tue Feb 13 11:47:53  2018,174329000,174329000,0,0
341858042,Thu Feb 15 12:13:22  2018,serializeFix,true,Wed Feb 14 18:10:20  2018,Wed Feb 14 18:10:20  2018,Thu Feb 15 12:13:22  2018,development,Wed Feb 14 18:10:20  2018,64982000,64982000,0,0
342016985,Thu Feb 15 19:44:19  2018,development,true,Tue Jan 16 16:47:15  2018,Thu Feb 15 12:13:22  2018,Wed Feb 14 18:10:20  2018,serializeFix,Tue Jan 16 16:47:15  2018,2510585000,-1,2575567000,2575567000
342016985,Thu Feb 15 19:44:19  2018,MDTimeSeries,true,Tue Feb 13 11:47:53  2018,Tue Feb 13 11:47:53  2018,Thu Feb 15 12:13:22  2018,development,Tue Feb 13 11:47:53  2018,174329000,174329000,0,0
342016985,Thu Feb 15 19:44:19  2018,serializeFix,true,Wed Feb 14 18:10:20  2018,Wed Feb 14 18:10:20  2018,Thu Feb 15 12:13:22  2018,development,Wed Feb 14 18:10:20  2018,64982000,64982000,0,0
342016985,Thu Feb 15 19:44:19  2018,view-states-fixes,true,Thu Feb 15 19:44:19  2018,Thu Feb 15 19:44:19  2018,Thu Feb 15 12:13:22  2018,development,Thu Feb 15 19:44:19  2018,-1,-1,0,0
342019098,Thu Feb 15 20:00:02  2018,development,true,Tue Jan 16 16:47:15  2018,Thu Feb 15 20:00:02  2018,Thu Feb 15 19:44:19  2018,view-states-fixes,Tue Jan 16 16:47:15  2018,2602624000,-1,2603567000,2603567000
342019098,Thu Feb 15 20:00:02  2018,MDTimeSeries,true,Tue Feb 13 11:47:53  2018,Tue Feb 13 11:47:53  2018,Thu Feb 15 20:00:02  2018,development,Tue Feb 13 11:47:53  2018,202329000,202329000,0,0
342019098,Thu Feb 15 20:00:02  2018,serializeFix,true,Wed Feb 14 18:10:20  2018,Wed Feb 14 18:10:20  2018,Thu Feb 15 20:00:02  2018,development,Wed Feb 14 18:10:20  2018,92982000,92982000,0,0
342019098,Thu Feb 15 20:00:02  2018,view-states-fixes,true,Thu Feb 15 19:44:19  2018,Thu Feb 15 19:44:19  2018,Thu Feb 15 20:00:02  2018,development,Thu Feb 15 19:44:19  2018,943000,943000,0,0
342444078,Fri Feb 16 17:24:48  2018,development,true,Tue Jan 16 16:47:15  2018,Fri Feb 16 17:24:48  2018,Thu Feb 15 19:44:19  2018,view-states-fixes,Tue Jan 16 16:47:15  2018,2602624000,-1,2680653000,2680653000
342444078,Fri Feb 16 17:24:48  2018,MDTimeSeries,true,Tue Feb 13 11:47:53  2018,Tue Feb 13 11:47:53  2018,Fri Feb 16 17:24:48  2018,development,Tue Feb 13 11:47:53  2018,279415000,279415000,0,0
342444078,Fri Feb 16 17:24:48  2018,serializeFix,true,Wed Feb 14 18:10:20  2018,Wed Feb 14 18:10:20  2018,Fri Feb 16 17:24:48  2018,development,Wed Feb 14 18:10:20  2018,170068000,170068000,0,0
342444078,Fri Feb 16 17:24:48  2018,view-states-fixes,true,Thu Feb 15 19:44:19  2018,Thu Feb 15 19:44:19  2018,Fri Feb 16 17:24:48  2018,development,Thu Feb 15 19:44:19  2018,78029000,78029000,0,0
342700501,Sat Feb 17 10:25:11  2018,development,true,Tue Jan 16 16:47:15  2018,Sat Feb 17 10:25:11  2018,Thu Feb 15 19:44:19  2018,view-states-fixes,Tue Jan 16 16:47:15  2018,2602624000,-1,2741876000,2741876000
342700501,Sat Feb 17 10:25:11  2018,MDTimeSeries,true,Tue Feb 13 11:47:53  2018,Tue Feb 13 11:47:53  2018,Sat Feb 17 10:25:11  2018,development,Tue Feb 13 11:47:53  2018,340638000,340638000,0,0
