build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
324542151,Wed Jan 03 11:30:52  2018,master,true,Wed Jan 03 11:30:52  2018,Wed Jan 03 11:30:52  2018,null,null,Wed Jan 03 11:30:52  2018,-1,-1,0,0
328072030,Fri Jan 12 11:14:22  2018,master,true,Wed Jan 03 11:30:52  2018,Fri Jan 12 11:14:22  2018,null,null,Wed Jan 03 11:30:52  2018,-1,-1,776610000,776610000
328932041,Mon Jan 15 06:58:08  2018,master,true,Wed Jan 03 11:30:52  2018,Mon Jan 15 06:58:08  2018,null,null,Wed Jan 03 11:30:52  2018,-1,-1,1020436000,1020436000
328934933,Mon Jan 15 07:12:37  2018,master,true,Wed Jan 03 11:30:52  2018,Mon Jan 15 07:12:37  2018,null,null,Wed Jan 03 11:30:52  2018,-1,-1,1021305000,1021305000
328956327,Mon Jan 15 08:43:37  2018,master,true,Wed Jan 03 11:30:52  2018,Mon Jan 15 08:43:37  2018,null,null,Wed Jan 03 11:30:52  2018,-1,-1,1026765000,1026765000
328966716,Mon Jan 15 09:20:17  2018,master,true,Wed Jan 03 11:30:52  2018,Mon Jan 15 08:43:37  2018,null,null,Wed Jan 03 11:30:52  2018,-1,-1,1026765000,1026765000
328966716,Mon Jan 15 09:20:17  2018,master,true,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
328967174,Mon Jan 15 09:22:08  2018,master,true,Wed Jan 03 11:30:52  2018,Mon Jan 15 08:43:37  2018,null,null,Wed Jan 03 11:30:52  2018,-1,-1,1026765000,1026765000
328967174,Mon Jan 15 09:22:08  2018,master,false,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
329005013,Mon Jan 15 11:17:03  2018,master,true,Wed Jan 03 11:30:52  2018,Mon Jan 15 11:17:03  2018,Mon Jan 15 09:20:17  2018,master,Wed Jan 03 11:30:52  2018,1028965000,-1,1035971000,1035971000
329005013,Mon Jan 15 11:17:03  2018,master,false,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
329007443,Mon Jan 15 11:25:35  2018,master,true,Wed Jan 03 11:30:52  2018,Mon Jan 15 11:25:35  2018,Mon Jan 15 09:20:17  2018,master,Wed Jan 03 11:30:52  2018,1028965000,-1,1036483000,1036483000
329007443,Mon Jan 15 11:25:35  2018,master,false,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
329024307,Mon Jan 15 12:20:24  2018,master,true,Wed Jan 03 11:30:52  2018,Mon Jan 15 12:20:24  2018,Mon Jan 15 09:20:17  2018,master,Wed Jan 03 11:30:52  2018,1028965000,-1,1039772000,1039772000
329024307,Mon Jan 15 12:20:24  2018,master,false,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
329342730,Tue Jan 16 06:43:43  2018,master,true,Wed Jan 03 11:30:52  2018,Tue Jan 16 06:43:43  2018,Mon Jan 15 09:20:17  2018,master,Wed Jan 03 11:30:52  2018,1028965000,-1,1105971000,1105971000
329342730,Tue Jan 16 06:43:43  2018,master,false,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
330299764,Thu Jan 18 10:49:40  2018,master,true,Wed Jan 03 11:30:52  2018,Thu Jan 18 10:49:40  2018,Mon Jan 15 09:20:17  2018,master,Wed Jan 03 11:30:52  2018,1028965000,-1,1293528000,1293528000
330299764,Thu Jan 18 10:49:40  2018,master,false,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
330320359,Thu Jan 18 11:50:10  2018,master,true,Wed Jan 03 11:30:52  2018,Thu Jan 18 11:50:10  2018,Mon Jan 15 09:20:17  2018,master,Wed Jan 03 11:30:52  2018,1028965000,-1,1297158000,1297158000
330320359,Thu Jan 18 11:50:10  2018,master,false,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
331775988,Tue Jan 23 06:31:37  2018,master,true,Wed Jan 03 11:30:52  2018,Tue Jan 23 06:31:37  2018,Mon Jan 15 09:20:17  2018,master,Wed Jan 03 11:30:52  2018,1028965000,-1,1710045000,1710045000
331775988,Tue Jan 23 06:31:37  2018,master,false,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
333663238,Fri Jan 26 10:36:20  2018,master,true,Wed Jan 03 11:30:52  2018,Fri Jan 26 10:36:20  2018,Mon Jan 15 09:20:17  2018,master,Wed Jan 03 11:30:52  2018,1028965000,-1,1983928000,1983928000
333663238,Fri Jan 26 10:36:20  2018,master,false,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
333690150,Fri Jan 26 12:04:28  2018,master,true,Wed Jan 03 11:30:52  2018,Fri Jan 26 12:04:28  2018,Mon Jan 15 09:20:17  2018,master,Wed Jan 03 11:30:52  2018,1028965000,-1,1989216000,1989216000
333690150,Fri Jan 26 12:04:28  2018,master,false,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
333698952,Fri Jan 26 12:32:25  2018,master,true,Wed Jan 03 11:30:52  2018,Fri Jan 26 12:32:25  2018,Mon Jan 15 09:20:17  2018,master,Wed Jan 03 11:30:52  2018,1028965000,-1,1990893000,1990893000
333698952,Fri Jan 26 12:32:25  2018,master,false,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
334601632,Mon Jan 29 08:18:35  2018,master,true,Wed Jan 03 11:30:52  2018,Mon Jan 29 08:18:35  2018,Mon Jan 15 09:20:17  2018,master,Wed Jan 03 11:30:52  2018,1028965000,-1,2234863000,2234863000
334601632,Mon Jan 29 08:18:35  2018,master,false,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
334634398,Mon Jan 29 10:08:48  2018,master,true,Wed Jan 03 11:30:52  2018,Mon Jan 29 10:08:48  2018,Mon Jan 15 09:20:17  2018,master,Wed Jan 03 11:30:52  2018,1028965000,-1,2241476000,2241476000
334634398,Mon Jan 29 10:08:48  2018,master,false,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
334697743,Mon Jan 29 13:28:12  2018,master,true,Wed Jan 03 11:30:52  2018,Mon Jan 29 13:28:12  2018,Mon Jan 15 09:20:17  2018,master,Wed Jan 03 11:30:52  2018,1028965000,-1,2253440000,2253440000
334697743,Mon Jan 29 13:28:12  2018,master,false,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
335015059,Tue Jan 30 05:28:51  2018,master,true,Wed Jan 03 11:30:52  2018,Tue Jan 30 05:28:51  2018,Mon Jan 15 09:20:17  2018,master,Wed Jan 03 11:30:52  2018,1028965000,-1,2311079000,2311079000
335015059,Tue Jan 30 05:28:51  2018,master,false,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
335032199,Tue Jan 30 07:08:00  2018,master,true,Wed Jan 03 11:30:52  2018,Tue Jan 30 07:08:00  2018,Mon Jan 15 09:20:17  2018,master,Wed Jan 03 11:30:52  2018,1028965000,-1,2317028000,2317028000
335032199,Tue Jan 30 07:08:00  2018,master,false,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
335057928,Tue Jan 30 08:51:24  2018,master,true,Wed Jan 03 11:30:52  2018,Tue Jan 30 08:51:24  2018,Mon Jan 15 09:20:17  2018,master,Wed Jan 03 11:30:52  2018,1028965000,-1,2323232000,2323232000
335057928,Tue Jan 30 08:51:24  2018,master,false,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
335070478,Tue Jan 30 09:31:02  2018,master,true,Wed Jan 03 11:30:52  2018,Tue Jan 30 09:31:02  2018,Mon Jan 15 09:20:17  2018,master,Wed Jan 03 11:30:52  2018,1028965000,-1,2325610000,2325610000
335070478,Tue Jan 30 09:31:02  2018,master,false,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
335107456,Tue Jan 30 11:20:21  2018,master,true,Wed Jan 03 11:30:52  2018,Tue Jan 30 11:20:21  2018,Mon Jan 15 09:20:17  2018,master,Wed Jan 03 11:30:52  2018,1028965000,-1,2332169000,2332169000
335107456,Tue Jan 30 11:20:21  2018,master,false,Mon Jan 15 09:20:17  2018,Mon Jan 15 09:20:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,0
335110010,Tue Jan 30 11:29:17  2018,master,true,Wed Jan 03 11:30:52  2018,Tue Jan 30 11:20:21  2018,Tue Jan 30 11:29:17  2018,master,Wed Jan 03 11:30:52  2018,2332705000,536000,2332169000,2332169000
335110010,Tue Jan 30 11:29:17  2018,master,false,Tue Jan 30 11:29:17  2018,Tue Jan 30 11:29:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,1303740000
335110878,Tue Jan 30 11:31:52  2018,master,true,Wed Jan 03 11:30:52  2018,Tue Jan 30 11:20:21  2018,Tue Jan 30 11:29:17  2018,master,Wed Jan 03 11:30:52  2018,2332705000,536000,2332169000,2332169000
335110878,Tue Jan 30 11:31:52  2018,master,false,Tue Jan 30 11:29:17  2018,Tue Jan 30 11:29:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,1303740000
338484441,Wed Feb 07 12:53:37  2018,master,true,Wed Jan 03 11:30:52  2018,Wed Feb 07 12:53:37  2018,Tue Jan 30 11:29:17  2018,master,Wed Jan 03 11:30:52  2018,2332705000,-1,3028965000,3028965000
338484441,Wed Feb 07 12:53:37  2018,master,false,Tue Jan 30 11:29:17  2018,Tue Jan 30 11:29:17  2018,Mon Jan 15 08:43:37  2018,master,Mon Jan 15 09:20:17  2018,-1,-1,0,1303740000
