build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
323777487,Mon Jan 01 14:19:37  2018,master,true,Mon Jan 01 14:19:37  2018,Mon Jan 01 14:19:37  2018,null,null,Mon Jan 01 14:19:37  2018,-1,-1,0,0
323962967,Mon Jan 01 23:18:28  2018,master,true,Mon Jan 01 14:19:37  2018,Mon Jan 01 23:18:28  2018,null,null,Mon Jan 01 14:19:37  2018,-1,-1,32331000,32331000
323968693,Mon Jan 01 23:48:15  2018,master,true,Mon Jan 01 14:19:37  2018,Mon Jan 01 23:48:15  2018,null,null,Mon Jan 01 14:19:37  2018,-1,-1,34118000,34118000
323970262,Mon Jan 01 23:59:46  2018,master,true,Mon Jan 01 14:19:37  2018,Mon Jan 01 23:59:46  2018,null,null,Mon Jan 01 14:19:37  2018,-1,-1,34809000,34809000
323976651,Tue Jan 02 00:39:59  2018,master,true,Mon Jan 01 14:19:37  2018,Mon Jan 01 23:59:46  2018,null,null,Mon Jan 01 14:19:37  2018,-1,-1,34809000,34809000
323979627,Tue Jan 02 01:00:01  2018,master,true,Mon Jan 01 14:19:37  2018,Mon Jan 01 23:59:46  2018,null,null,Mon Jan 01 14:19:37  2018,-1,-1,34809000,34809000
323979627,Tue Jan 02 01:00:01  2018,prod,true,Tue Jan 02 01:00:01  2018,Tue Jan 02 01:00:01  2018,Mon Jan 01 23:59:46  2018,master,Tue Jan 02 01:00:01  2018,-1,-1,0,0
324241977,Tue Jan 02 18:51:44  2018,master,true,Mon Jan 01 14:19:37  2018,Tue Jan 02 18:51:44  2018,Tue Jan 02 01:00:01  2018,prod,Mon Jan 01 14:19:37  2018,38424000,-1,102727000,102727000
324241977,Tue Jan 02 18:51:44  2018,prod,true,Tue Jan 02 01:00:01  2018,Tue Jan 02 01:00:01  2018,Tue Jan 02 18:51:44  2018,master,Tue Jan 02 01:00:01  2018,64303000,64303000,0,0
324326893,Tue Jan 02 21:57:06  2018,master,true,Mon Jan 01 14:19:37  2018,Tue Jan 02 21:57:06  2018,Tue Jan 02 01:00:01  2018,prod,Mon Jan 01 14:19:37  2018,38424000,-1,113849000,113849000
324326893,Tue Jan 02 21:57:06  2018,prod,true,Tue Jan 02 01:00:01  2018,Tue Jan 02 01:00:01  2018,Tue Jan 02 21:57:06  2018,master,Tue Jan 02 01:00:01  2018,75425000,75425000,0,0
324345525,Tue Jan 02 22:18:07  2018,master,true,Mon Jan 01 14:19:37  2018,Tue Jan 02 22:18:07  2018,Tue Jan 02 01:00:01  2018,prod,Mon Jan 01 14:19:37  2018,38424000,-1,115110000,115110000
324345525,Tue Jan 02 22:18:07  2018,prod,true,Tue Jan 02 01:00:01  2018,Tue Jan 02 01:00:01  2018,Tue Jan 02 22:18:07  2018,master,Tue Jan 02 01:00:01  2018,76686000,76686000,0,0
324379918,Tue Jan 02 22:55:50  2018,master,true,Mon Jan 01 14:19:37  2018,Tue Jan 02 22:55:50  2018,Tue Jan 02 01:00:01  2018,prod,Mon Jan 01 14:19:37  2018,38424000,-1,117373000,117373000
324379918,Tue Jan 02 22:55:50  2018,prod,true,Tue Jan 02 01:00:01  2018,Tue Jan 02 01:00:01  2018,Tue Jan 02 22:55:50  2018,master,Tue Jan 02 01:00:01  2018,78949000,78949000,0,0
324397921,Tue Jan 02 23:46:20  2018,master,true,Mon Jan 01 14:19:37  2018,Tue Jan 02 23:46:20  2018,Tue Jan 02 01:00:01  2018,prod,Mon Jan 01 14:19:37  2018,38424000,-1,120403000,120403000
324397921,Tue Jan 02 23:46:20  2018,prod,true,Tue Jan 02 01:00:01  2018,Tue Jan 02 01:00:01  2018,Tue Jan 02 23:46:20  2018,master,Tue Jan 02 01:00:01  2018,81979000,81979000,0,0
324404318,Wed Jan 03 00:12:19  2018,master,true,Mon Jan 01 14:19:37  2018,Tue Jan 02 23:46:20  2018,Tue Jan 02 01:00:01  2018,prod,Mon Jan 01 14:19:37  2018,38424000,-1,120403000,120403000
324404318,Wed Jan 03 00:12:19  2018,prod,false,Tue Jan 02 01:00:01  2018,Tue Jan 02 01:00:01  2018,Tue Jan 02 23:46:20  2018,master,Tue Jan 02 01:00:01  2018,81979000,81979000,0,0
324406915,Wed Jan 03 00:23:42  2018,master,true,Mon Jan 01 14:19:37  2018,Tue Jan 02 23:46:20  2018,Wed Jan 03 00:23:42  2018,prod,Mon Jan 01 14:19:37  2018,122645000,2242000,120403000,120403000
324406915,Wed Jan 03 00:23:42  2018,prod,false,Wed Jan 03 00:23:42  2018,Wed Jan 03 00:23:42  2018,Tue Jan 02 23:46:20  2018,master,Tue Jan 02 01:00:01  2018,-1,-1,0,84221000
324852715,Thu Jan 04 00:44:48  2018,master,true,Mon Jan 01 14:19:37  2018,Tue Jan 02 23:46:20  2018,Wed Jan 03 00:23:42  2018,prod,Mon Jan 01 14:19:37  2018,122645000,2242000,120403000,120403000
324852715,Thu Jan 04 00:44:48  2018,prod,false,Wed Jan 03 00:23:42  2018,Wed Jan 03 00:23:42  2018,Tue Jan 02 23:46:20  2018,master,Tue Jan 02 01:00:01  2018,-1,-1,0,84221000
324852715,Thu Jan 04 00:44:48  2018,gh695_import_seller_and_price,true,Thu Jan 04 00:44:48  2018,Thu Jan 04 00:44:48  2018,Wed Jan 03 00:23:42  2018,prod,Thu Jan 04 00:44:48  2018,-1,-1,0,0
324852754,Thu Jan 04 00:45:00  2018,master,true,Mon Jan 01 14:19:37  2018,Thu Jan 04 00:45:00  2018,Thu Jan 04 00:44:48  2018,gh695_import_seller_and_price,Mon Jan 01 14:19:37  2018,210311000,-1,210323000,210323000
324852754,Thu Jan 04 00:45:00  2018,prod,false,Wed Jan 03 00:23:42  2018,Wed Jan 03 00:23:42  2018,Tue Jan 02 23:46:20  2018,master,Tue Jan 02 01:00:01  2018,-1,-1,0,84221000
324852754,Thu Jan 04 00:45:00  2018,gh695_import_seller_and_price,true,Thu Jan 04 00:44:48  2018,Thu Jan 04 00:44:48  2018,Thu Jan 04 00:45:00  2018,master,Thu Jan 04 00:44:48  2018,12000,12000,0,0
324856353,Thu Jan 04 01:00:46  2018,master,true,Mon Jan 01 14:19:37  2018,Thu Jan 04 01:00:46  2018,Thu Jan 04 00:44:48  2018,gh695_import_seller_and_price,Mon Jan 01 14:19:37  2018,210311000,-1,211269000,211269000
324856353,Thu Jan 04 01:00:46  2018,prod,false,Wed Jan 03 00:23:42  2018,Wed Jan 03 00:23:42  2018,Tue Jan 02 23:46:20  2018,master,Tue Jan 02 01:00:01  2018,-1,-1,0,84221000
324856353,Thu Jan 04 01:00:46  2018,gh695_import_seller_and_price,true,Thu Jan 04 00:44:48  2018,Thu Jan 04 00:44:48  2018,Thu Jan 04 01:00:46  2018,master,Thu Jan 04 00:44:48  2018,958000,958000,0,0
324856991,Thu Jan 04 01:03:22  2018,master,true,Mon Jan 01 14:19:37  2018,Thu Jan 04 01:00:46  2018,Thu Jan 04 01:03:22  2018,gh695_import_seller_and_price,Mon Jan 01 14:19:37  2018,211425000,156000,211269000,211269000
324856991,Thu Jan 04 01:03:22  2018,prod,false,Wed Jan 03 00:23:42  2018,Wed Jan 03 00:23:42  2018,Tue Jan 02 23:46:20  2018,master,Tue Jan 02 01:00:01  2018,-1,-1,0,84221000
324856991,Thu Jan 04 01:03:22  2018,gh695_import_seller_and_price,true,Thu Jan 04 00:44:48  2018,Thu Jan 04 01:03:22  2018,Thu Jan 04 01:00:46  2018,master,Thu Jan 04 00:44:48  2018,958000,-1,1114000,1114000
325265731,Fri Jan 05 00:21:19  2018,master,true,Mon Jan 01 14:19:37  2018,Fri Jan 05 00:21:19  2018,Thu Jan 04 01:03:22  2018,gh695_import_seller_and_price,Mon Jan 01 14:19:37  2018,211425000,-1,295302000,295302000
325265731,Fri Jan 05 00:21:19  2018,prod,false,Wed Jan 03 00:23:42  2018,Wed Jan 03 00:23:42  2018,Tue Jan 02 23:46:20  2018,master,Tue Jan 02 01:00:01  2018,-1,-1,0,84221000
325265731,Fri Jan 05 00:21:19  2018,gh695_import_seller_and_price,true,Thu Jan 04 00:44:48  2018,Thu Jan 04 01:03:22  2018,Fri Jan 05 00:21:19  2018,master,Thu Jan 04 00:44:48  2018,84991000,83877000,1114000,1114000
325269572,Fri Jan 05 00:35:31  2018,master,true,Mon Jan 01 14:19:37  2018,Fri Jan 05 00:21:19  2018,Fri Jan 05 00:35:31  2018,gh695_import_seller_and_price,Mon Jan 01 14:19:37  2018,296154000,852000,295302000,295302000
325269572,Fri Jan 05 00:35:31  2018,prod,false,Wed Jan 03 00:23:42  2018,Wed Jan 03 00:23:42  2018,Tue Jan 02 23:46:20  2018,master,Tue Jan 02 01:00:01  2018,-1,-1,0,84221000
325269572,Fri Jan 05 00:35:31  2018,gh695_import_seller_and_price,true,Thu Jan 04 00:44:48  2018,Fri Jan 05 00:35:31  2018,Fri Jan 05 00:21:19  2018,master,Thu Jan 04 00:44:48  2018,84991000,-1,85843000,85843000
325282350,Fri Jan 05 01:30:29  2018,master,true,Mon Jan 01 14:19:37  2018,Fri Jan 05 01:30:29  2018,Fri Jan 05 00:35:31  2018,gh695_import_seller_and_price,Mon Jan 01 14:19:37  2018,296154000,-1,299452000,299452000
325282350,Fri Jan 05 01:30:29  2018,prod,false,Wed Jan 03 00:23:42  2018,Wed Jan 03 00:23:42  2018,Tue Jan 02 23:46:20  2018,master,Tue Jan 02 01:00:01  2018,-1,-1,0,84221000
325282350,Fri Jan 05 01:30:29  2018,gh695_import_seller_and_price,true,Thu Jan 04 00:44:48  2018,Fri Jan 05 00:35:31  2018,Fri Jan 05 01:30:29  2018,master,Thu Jan 04 00:44:48  2018,89141000,3298000,85843000,85843000
