build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
329067258,Mon Jan 15 14:08:09  2018,master,true,Mon Jan 15 14:08:09  2018,Mon Jan 15 14:08:09  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,0,0
329102164,Mon Jan 15 15:24:25  2018,master,true,Mon Jan 15 14:08:09  2018,Mon Jan 15 15:24:25  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,4576000,4576000
329108298,Mon Jan 15 15:38:14  2018,master,true,Mon Jan 15 14:08:09  2018,Mon Jan 15 15:38:14  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,5405000,5405000
329134153,Mon Jan 15 16:37:19  2018,master,true,Mon Jan 15 14:08:09  2018,Mon Jan 15 16:37:19  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,8950000,8950000
329141300,Mon Jan 15 16:54:44  2018,master,true,Mon Jan 15 14:08:09  2018,Mon Jan 15 16:54:44  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,9995000,9995000
329247053,Mon Jan 15 22:31:40  2018,master,true,Mon Jan 15 14:08:09  2018,Mon Jan 15 22:31:40  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,30211000,30211000
330520390,Thu Jan 18 19:54:51  2018,master,true,Mon Jan 15 14:08:09  2018,Thu Jan 18 19:54:51  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,280002000,280002000
330536910,Thu Jan 18 20:39:16  2018,master,true,Mon Jan 15 14:08:09  2018,Thu Jan 18 20:39:16  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,282667000,282667000
330548768,Thu Jan 18 21:10:52  2018,master,true,Mon Jan 15 14:08:09  2018,Thu Jan 18 21:10:52  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,284563000,284563000
330911339,Fri Jan 19 17:15:52  2018,master,true,Mon Jan 15 14:08:09  2018,Fri Jan 19 17:15:52  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,356863000,356863000
330911794,Fri Jan 19 17:17:20  2018,master,true,Mon Jan 15 14:08:09  2018,Fri Jan 19 17:17:20  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,356951000,356951000
331315741,Sat Jan 20 22:26:20  2018,master,true,Mon Jan 15 14:08:09  2018,Sat Jan 20 22:26:20  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,461891000,461891000
331319948,Sat Jan 20 22:44:54  2018,master,true,Mon Jan 15 14:08:09  2018,Sat Jan 20 22:44:54  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,463005000,463005000
331321520,Sat Jan 20 22:53:00  2018,master,true,Mon Jan 15 14:08:09  2018,Sat Jan 20 22:53:00  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,463491000,463491000
331411897,Sun Jan 21 09:55:03  2018,master,true,Mon Jan 15 14:08:09  2018,Sun Jan 21 09:55:03  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,503214000,503214000
331665806,Mon Jan 22 05:29:15  2018,master,true,Mon Jan 15 14:08:09  2018,Mon Jan 22 05:29:15  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,573666000,573666000
331666831,Mon Jan 22 05:34:32  2018,master,true,Mon Jan 15 14:08:09  2018,Mon Jan 22 05:34:32  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,573983000,573983000
331667465,Mon Jan 22 05:37:26  2018,master,true,Mon Jan 15 14:08:09  2018,Mon Jan 22 05:37:26  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,574157000,574157000
331673233,Mon Jan 22 06:12:18  2018,master,true,Mon Jan 15 14:08:09  2018,Mon Jan 22 06:12:18  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,576249000,576249000
333322951,Thu Jan 25 15:47:06  2018,master,true,Mon Jan 15 14:08:09  2018,Thu Jan 25 15:47:06  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,869937000,869937000
333416936,Thu Jan 25 19:18:27  2018,master,true,Mon Jan 15 14:08:09  2018,Thu Jan 25 19:18:27  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,882618000,882618000
333632778,Fri Jan 26 08:59:28  2018,master,true,Mon Jan 15 14:08:09  2018,Fri Jan 26 08:59:28  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,931879000,931879000
333720282,Fri Jan 26 13:32:40  2018,master,true,Mon Jan 15 14:08:09  2018,Fri Jan 26 13:32:40  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,948271000,948271000
333893843,Fri Jan 26 20:24:02  2018,master,true,Mon Jan 15 14:08:09  2018,Fri Jan 26 20:24:02  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,972953000,972953000
334045389,Sat Jan 27 08:37:21  2018,master,true,Mon Jan 15 14:08:09  2018,Sat Jan 27 08:37:21  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1016952000,1016952000
334200146,Sat Jan 27 21:13:57  2018,master,true,Mon Jan 15 14:08:09  2018,Sat Jan 27 21:13:57  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1062348000,1062348000
334200855,Sat Jan 27 21:17:23  2018,master,true,Mon Jan 15 14:08:09  2018,Sat Jan 27 21:17:23  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1062554000,1062554000
334218485,Sat Jan 27 22:31:13  2018,master,true,Mon Jan 15 14:08:09  2018,Sat Jan 27 22:31:13  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1066984000,1066984000
334221118,Sat Jan 27 22:42:53  2018,master,true,Mon Jan 15 14:08:09  2018,Sat Jan 27 22:42:53  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1067684000,1067684000
334224530,Sat Jan 27 22:58:33  2018,master,true,Mon Jan 15 14:08:09  2018,Sat Jan 27 22:58:33  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1068624000,1068624000
334432527,Sun Jan 28 18:21:14  2018,master,true,Mon Jan 15 14:08:09  2018,Sun Jan 28 18:21:14  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1138385000,1138385000
334432609,Sun Jan 28 18:21:21  2018,master,true,Mon Jan 15 14:08:09  2018,Sun Jan 28 18:21:21  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1138392000,1138392000
334444964,Sun Jan 28 19:13:32  2018,master,true,Mon Jan 15 14:08:09  2018,Sun Jan 28 19:13:32  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1141523000,1141523000
334448518,Sun Jan 28 19:30:30  2018,master,true,Mon Jan 15 14:08:09  2018,Sun Jan 28 19:30:30  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1142541000,1142541000
334830679,Mon Jan 29 18:39:22  2018,master,true,Mon Jan 15 14:08:09  2018,Mon Jan 29 18:39:22  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1225873000,1225873000
334832447,Mon Jan 29 18:44:12  2018,master,true,Mon Jan 15 14:08:09  2018,Mon Jan 29 18:44:12  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1226163000,1226163000
334876531,Mon Jan 29 20:33:56  2018,master,true,Mon Jan 15 14:08:09  2018,Mon Jan 29 20:33:56  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1232747000,1232747000
334878405,Mon Jan 29 20:38:48  2018,master,true,Mon Jan 15 14:08:09  2018,Mon Jan 29 20:38:48  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1233039000,1233039000
334938225,Mon Jan 29 23:22:10  2018,master,true,Mon Jan 15 14:08:09  2018,Mon Jan 29 23:22:10  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1242841000,1242841000
334948867,Mon Jan 29 23:56:24  2018,master,true,Mon Jan 15 14:08:09  2018,Mon Jan 29 23:56:24  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1244895000,1244895000
335128976,Tue Jan 30 12:26:41  2018,master,true,Mon Jan 15 14:08:09  2018,Tue Jan 30 12:26:41  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1289912000,1289912000
335142102,Tue Jan 30 13:05:50  2018,master,true,Mon Jan 15 14:08:09  2018,Tue Jan 30 13:05:50  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1292261000,1292261000
335146553,Tue Jan 30 13:16:49  2018,master,true,Mon Jan 15 14:08:09  2018,Tue Jan 30 13:16:49  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1292920000,1292920000
335147431,Tue Jan 30 13:19:41  2018,master,true,Mon Jan 15 14:08:09  2018,Tue Jan 30 13:19:41  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1293092000,1293092000
335148310,Tue Jan 30 13:22:01  2018,master,true,Mon Jan 15 14:08:09  2018,Tue Jan 30 13:22:01  2018,null,null,Mon Jan 15 14:08:09  2018,-1,-1,1293232000,1293232000
