build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
327817478,Thu Jan 11 19:01:27  2018,itzg/bf_plus_grafana_docker_compose,true,Thu Jan 11 19:01:27  2018,Thu Jan 11 19:01:27  2018,null,null,Thu Jan 11 19:01:27  2018,-1,-1,0,0
327827278,Thu Jan 11 19:29:39  2018,itzg/bf_plus_grafana_docker_compose,true,Thu Jan 11 19:01:27  2018,Thu Jan 11 19:01:27  2018,null,null,Thu Jan 11 19:01:27  2018,-1,-1,0,0
327827278,Thu Jan 11 19:29:39  2018,master,true,Thu Jan 11 19:29:39  2018,Thu Jan 11 19:29:39  2018,Thu Jan 11 19:01:27  2018,itzg/bf_plus_grafana_docker_compose,Thu Jan 11 19:29:39  2018,-1,-1,0,0
327839037,Thu Jan 11 19:57:23  2018,itzg/bf_plus_grafana_docker_compose,true,Thu Jan 11 19:01:27  2018,Thu Jan 11 19:57:23  2018,Thu Jan 11 19:29:39  2018,master,Thu Jan 11 19:01:27  2018,1692000,-1,3356000,3356000
327839037,Thu Jan 11 19:57:23  2018,master,true,Thu Jan 11 19:29:39  2018,Thu Jan 11 19:29:39  2018,Thu Jan 11 19:57:23  2018,itzg/bf_plus_grafana_docker_compose,Thu Jan 11 19:29:39  2018,1664000,1664000,0,0
327839100,Thu Jan 11 19:57:27  2018,itzg/bf_plus_grafana_docker_compose,true,Thu Jan 11 19:01:27  2018,Thu Jan 11 19:57:23  2018,Thu Jan 11 19:57:27  2018,master,Thu Jan 11 19:01:27  2018,3360000,4000,3356000,3356000
327839100,Thu Jan 11 19:57:27  2018,master,true,Thu Jan 11 19:29:39  2018,Thu Jan 11 19:57:27  2018,Thu Jan 11 19:57:23  2018,itzg/bf_plus_grafana_docker_compose,Thu Jan 11 19:29:39  2018,1664000,-1,1668000,1668000
327883528,Thu Jan 11 21:54:17  2018,itzg/bf_plus_grafana_docker_compose,true,Thu Jan 11 19:01:27  2018,Thu Jan 11 19:57:23  2018,Thu Jan 11 21:54:17  2018,master,Thu Jan 11 19:01:27  2018,10370000,7014000,3356000,3356000
327883528,Thu Jan 11 21:54:17  2018,master,true,Thu Jan 11 19:29:39  2018,Thu Jan 11 21:54:17  2018,Thu Jan 11 19:57:23  2018,itzg/bf_plus_grafana_docker_compose,Thu Jan 11 19:29:39  2018,1664000,-1,8678000,8678000
328254585,Fri Jan 12 19:50:10  2018,itzg/bf_plus_grafana_docker_compose,true,Thu Jan 11 19:01:27  2018,Thu Jan 11 19:57:23  2018,Thu Jan 11 21:54:17  2018,master,Thu Jan 11 19:01:27  2018,10370000,7014000,3356000,3356000
328254585,Fri Jan 12 19:50:10  2018,master,true,Thu Jan 11 19:29:39  2018,Thu Jan 11 21:54:17  2018,Thu Jan 11 19:57:23  2018,itzg/bf_plus_grafana_docker_compose,Thu Jan 11 19:29:39  2018,1664000,-1,8678000,8678000
328254585,Fri Jan 12 19:50:10  2018,es-httpclient-spike,true,Fri Jan 12 19:50:10  2018,Fri Jan 12 19:50:10  2018,Thu Jan 11 21:54:17  2018,master,Fri Jan 12 19:50:10  2018,-1,-1,0,0
