buildId,date,jobId,execution,module,test,delta_broken,delta_testcases,delta_skipped,warning
371560240,Thu Apr 26 14:35:01  2018,371560241,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.response.ResponseStreamPrematurelyClosedTest,-2,0,-1,true
371560240,Thu Apr 26 14:35:01  2018,371560241,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.response.HeadContentLengthTest,-2,0,-1,true
371560240,Thu Apr 26 14:35:01  2018,371560241,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.warning.SubResourceWarningTest,-2,0,-1,true
371560240,Thu Apr 26 14:35:01  2018,371560242,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.response.ResponseStreamPrematurelyClosedTest,-2,0,-1,true
371560240,Thu Apr 26 14:35:01  2018,371560242,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.response.HeadContentLengthTest,-2,0,-1,true
371560240,Thu Apr 26 14:35:01  2018,371560242,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.warning.SubResourceWarningTest,-2,0,-1,true
371560240,Thu Apr 26 14:35:01  2018,371560243,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.response.ResponseStreamPrematurelyClosedTest,-2,0,-1,true
371560240,Thu Apr 26 14:35:01  2018,371560243,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.response.HeadContentLengthTest,-2,0,-1,true
371560240,Thu Apr 26 14:35:01  2018,371560243,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.warning.SubResourceWarningTest,-2,0,-1,true
391465922,Tue Jun 12 21:13:23  2018,391465923,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.resource.path.ResourceMatchingTest,-1,0,-1,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2SingleTest,-2,4,30,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2SingleServerAsyncTest,-2,4,29,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2SingleProxyTest,-2,4,23,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2SingleProxyClientAsyncTest,-2,4,23,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2SingleClientAsyncTest,-2,4,30,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2ObservableTest,-2,5,37,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2ObservableServerAsyncTest,-2,5,36,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2ObservableProxyTest,-2,5,29,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2ObservableProxyServerAsyncTest,-2,5,28,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2FlowableTest,-2,5,38,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2FlowableServerAsyncTest,-2,5,36,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2FlowableProxyTest,-2,5,29,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2FlowableProxyServerAsyncTest,-2,5,28,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.NoStreamRx2Test,-1,0,-1,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxSingleTest,-2,4,30,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxSingleServerAsyncTest,-2,4,29,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxSingleProxyTest,-2,4,23,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxSingleProxyClientAsyncTest,-2,4,23,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxSingleClientAsyncTest,-2,4,30,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxObservableTest,-2,5,37,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxObservableServerAsyncTest,-2,5,36,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxObservableProxyTest,-2,5,29,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxObservableProxyServerAsyncTest,-2,5,28,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.NoStreamRxTest,-1,0,-1,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.RxCompletionStageTest,-2,3,30,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.RxCompletionStageServerAsyncTest,-2,3,31,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.RxCompletionStageProxyTest,-2,3,23,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.RxCompletionStageProxyClientAsyncTest,-2,3,23,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.RxCompletionStageClientAsyncTest,-2,3,30,true
394013286,Tue Jun 19 09:08:00  2018,394013287,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.response.PublisherResponseTest,-1,1,6,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2SingleTest,-2,4,30,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2SingleServerAsyncTest,-2,4,29,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2SingleProxyTest,-2,4,23,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2SingleProxyClientAsyncTest,-2,4,23,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2SingleClientAsyncTest,-2,4,30,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2ObservableTest,-2,5,37,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2ObservableServerAsyncTest,-2,5,36,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2ObservableProxyTest,-2,5,29,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2ObservableProxyServerAsyncTest,-2,5,28,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2FlowableTest,-2,5,38,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2FlowableServerAsyncTest,-2,5,36,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2FlowableProxyTest,-2,5,29,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2FlowableProxyServerAsyncTest,-2,5,28,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.NoStreamRx2Test,-1,0,-1,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxSingleTest,-2,4,30,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxSingleServerAsyncTest,-2,4,29,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxSingleProxyTest,-2,4,23,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxSingleProxyClientAsyncTest,-2,4,23,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxSingleClientAsyncTest,-2,4,30,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxObservableTest,-2,5,37,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxObservableServerAsyncTest,-2,5,36,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxObservableProxyTest,-2,5,29,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxObservableProxyServerAsyncTest,-2,5,28,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.NoStreamRxTest,-1,0,-1,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.RxCompletionStageTest,-2,3,30,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.RxCompletionStageServerAsyncTest,-2,3,31,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.RxCompletionStageProxyTest,-2,3,23,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.RxCompletionStageProxyClientAsyncTest,-2,3,23,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.RxCompletionStageClientAsyncTest,-2,3,30,true
394013286,Tue Jun 19 09:08:00  2018,394013288,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.response.PublisherResponseTest,-1,1,6,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2SingleTest,-2,4,30,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2SingleServerAsyncTest,-2,4,29,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2SingleProxyTest,-2,4,23,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2SingleProxyClientAsyncTest,-2,4,23,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2SingleClientAsyncTest,-2,4,30,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2ObservableTest,-2,5,37,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2ObservableServerAsyncTest,-2,5,36,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2ObservableProxyTest,-2,5,29,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2ObservableProxyServerAsyncTest,-2,5,28,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2FlowableTest,-2,5,38,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2FlowableServerAsyncTest,-2,5,36,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2FlowableProxyTest,-2,5,29,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.Rx2FlowableProxyServerAsyncTest,-2,5,28,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava2.NoStreamRx2Test,-1,0,-1,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxSingleTest,-2,4,30,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxSingleServerAsyncTest,-2,4,29,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxSingleProxyTest,-2,4,23,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxSingleProxyClientAsyncTest,-2,4,23,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxSingleClientAsyncTest,-2,4,30,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxObservableTest,-2,5,37,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxObservableServerAsyncTest,-2,5,36,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxObservableProxyTest,-2,5,29,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.RxObservableProxyServerAsyncTest,-2,5,28,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.rxjava.NoStreamRxTest,-1,0,-1,true
394013286,Tue Jun 19 09:08:00  2018,394013289,$ mvn -B -fae -Dserver.version=$SERVER_VERSION install,RESTEasy Main testsuite: Integration tests,org.jboss.resteasy.test.rx.RxCompletionStageTest,-2,3,30,true
