build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
325180197,Thu Jan 04 19:57:51  2018,master,true,Thu Jan 04 19:57:51  2018,Thu Jan 04 19:57:51  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,0,0
325193751,Thu Jan 04 20:38:51  2018,master,true,Thu Jan 04 19:57:51  2018,Thu Jan 04 20:38:51  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,2460000,2460000
325200504,Thu Jan 04 21:00:01  2018,master,true,Thu Jan 04 19:57:51  2018,Thu Jan 04 21:00:01  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,3730000,3730000
325505351,Fri Jan 05 16:16:59  2018,master,true,Thu Jan 04 19:57:51  2018,Fri Jan 05 16:16:59  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,73148000,73148000
325660930,Fri Jan 05 23:54:16  2018,master,true,Thu Jan 04 19:57:51  2018,Fri Jan 05 23:54:16  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,100585000,100585000
326509691,Mon Jan 08 19:12:36  2018,master,true,Thu Jan 04 19:57:51  2018,Mon Jan 08 19:12:36  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,342885000,342885000
326527236,Mon Jan 08 19:58:07  2018,master,true,Thu Jan 04 19:57:51  2018,Mon Jan 08 19:58:07  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,345616000,345616000
328500756,Sat Jan 13 17:06:04  2018,master,true,Thu Jan 04 19:57:51  2018,Sat Jan 13 17:06:04  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,767293000,767293000
330593410,Thu Jan 18 23:09:45  2018,master,true,Thu Jan 04 19:57:51  2018,Thu Jan 18 23:09:45  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,1221114000,1221114000
330805784,Fri Jan 19 13:18:37  2018,master,true,Thu Jan 04 19:57:51  2018,Fri Jan 19 13:18:37  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,1272046000,1272046000
330807279,Fri Jan 19 13:23:00  2018,master,true,Thu Jan 04 19:57:51  2018,Fri Jan 19 13:23:00  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,1272309000,1272309000
333397892,Thu Jan 25 18:31:15  2018,master,true,Thu Jan 04 19:57:51  2018,Thu Jan 25 18:31:15  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,1809204000,1809204000
338019836,Tue Feb 06 13:57:21  2018,master,true,Thu Jan 04 19:57:51  2018,Tue Feb 06 13:57:21  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,2829570000,2829570000
338213096,Tue Feb 06 21:26:29  2018,master,true,Thu Jan 04 19:57:51  2018,Tue Feb 06 21:26:29  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,2856518000,2856518000
341016879,Tue Feb 13 16:11:18  2018,master,true,Thu Jan 04 19:57:51  2018,Tue Feb 13 16:11:18  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,3442407000,3442407000
342503400,Fri Feb 16 20:02:12  2018,master,true,Thu Jan 04 19:57:51  2018,Fri Feb 16 20:02:12  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,3715461000,3715461000
347031730,Tue Feb 27 22:57:07  2018,master,true,Thu Jan 04 19:57:51  2018,Tue Feb 27 22:57:07  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,4676356000,4676356000
347463715,Wed Feb 28 20:51:42  2018,master,true,Thu Jan 04 19:57:51  2018,Wed Feb 28 20:51:42  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,4755231000,4755231000
347466584,Wed Feb 28 20:58:09  2018,master,true,Thu Jan 04 19:57:51  2018,Wed Feb 28 20:58:09  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,4755618000,4755618000
352861079,Tue Mar 13 14:21:41  2018,master,true,Thu Jan 04 19:57:51  2018,Tue Mar 13 14:21:41  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,5855030000,5855030000
358641514,Mon Mar 26 22:34:44  2018,master,true,Thu Jan 04 19:57:51  2018,Mon Mar 26 22:34:44  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,7004213000,7004213000
359953469,Thu Mar 29 17:34:41  2018,master,true,Thu Jan 04 19:57:51  2018,Thu Mar 29 17:34:41  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,7245410000,7245410000
363104295,Fri Apr 06 13:18:26  2018,master,true,Thu Jan 04 19:57:51  2018,Fri Apr 06 13:18:26  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,7921235000,7921235000
363133904,Fri Apr 06 14:24:50  2018,master,true,Thu Jan 04 19:57:51  2018,Fri Apr 06 13:18:26  2018,null,null,Thu Jan 04 19:57:51  2018,-1,-1,7921235000,7921235000
363133904,Fri Apr 06 14:24:50  2018,hierarchical,true,Fri Apr 06 14:24:50  2018,Fri Apr 06 14:24:50  2018,Fri Apr 06 13:18:26  2018,master,Fri Apr 06 14:24:50  2018,-1,-1,0,0
363322607,Fri Apr 06 21:49:31  2018,master,true,Thu Jan 04 19:57:51  2018,Fri Apr 06 21:49:31  2018,Fri Apr 06 14:24:50  2018,hierarchical,Thu Jan 04 19:57:51  2018,7925219000,-1,7951900000,7951900000
363322607,Fri Apr 06 21:49:31  2018,hierarchical,true,Fri Apr 06 14:24:50  2018,Fri Apr 06 14:24:50  2018,Fri Apr 06 21:49:31  2018,master,Fri Apr 06 14:24:50  2018,26681000,26681000,0,0
364089164,Mon Apr 09 12:28:54  2018,master,true,Thu Jan 04 19:57:51  2018,Mon Apr 09 12:28:54  2018,Fri Apr 06 14:24:50  2018,hierarchical,Thu Jan 04 19:57:51  2018,7925219000,-1,8177463000,8177463000
364089164,Mon Apr 09 12:28:54  2018,hierarchical,true,Fri Apr 06 14:24:50  2018,Fri Apr 06 14:24:50  2018,Mon Apr 09 12:28:54  2018,master,Fri Apr 06 14:24:50  2018,252244000,252244000,0,0
366918405,Sun Apr 15 22:16:14  2018,master,true,Thu Jan 04 19:57:51  2018,Sun Apr 15 22:16:14  2018,Fri Apr 06 14:24:50  2018,hierarchical,Thu Jan 04 19:57:51  2018,7925219000,-1,8731103000,8731103000
366918405,Sun Apr 15 22:16:14  2018,hierarchical,true,Fri Apr 06 14:24:50  2018,Fri Apr 06 14:24:50  2018,Sun Apr 15 22:16:14  2018,master,Fri Apr 06 14:24:50  2018,805884000,805884000,0,0
