build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
324528788,Wed Jan 03 10:42:34  2018,master,true,Wed Jan 03 10:42:34  2018,Wed Jan 03 10:42:34  2018,null,null,Wed Jan 03 10:42:34  2018,-1,-1,0,0
325369942,Fri Jan 05 09:26:43  2018,master,true,Wed Jan 03 10:42:34  2018,Fri Jan 05 09:26:43  2018,null,null,Wed Jan 03 10:42:34  2018,-1,-1,168249000,168249000
325431669,Fri Jan 05 12:54:30  2018,master,true,Wed Jan 03 10:42:34  2018,Fri Jan 05 12:54:30  2018,null,null,Wed Jan 03 10:42:34  2018,-1,-1,180716000,180716000
325442906,Fri Jan 05 13:33:00  2018,master,true,Wed Jan 03 10:42:34  2018,Fri Jan 05 13:33:00  2018,null,null,Wed Jan 03 10:42:34  2018,-1,-1,183026000,183026000
325521954,Fri Jan 05 16:57:00  2018,master,true,Wed Jan 03 10:42:34  2018,Fri Jan 05 16:57:00  2018,null,null,Wed Jan 03 10:42:34  2018,-1,-1,195266000,195266000
327539391,Thu Jan 11 05:22:09  2018,master,true,Wed Jan 03 10:42:34  2018,Thu Jan 11 05:22:09  2018,null,null,Wed Jan 03 10:42:34  2018,-1,-1,671975000,671975000
328956116,Mon Jan 15 08:42:39  2018,master,true,Wed Jan 03 10:42:34  2018,Thu Jan 11 05:22:09  2018,null,null,Wed Jan 03 10:42:34  2018,-1,-1,671975000,671975000
328956116,Mon Jan 15 08:42:39  2018,remote-service,true,Mon Jan 15 08:42:39  2018,Mon Jan 15 08:42:39  2018,Thu Jan 11 05:22:09  2018,master,Mon Jan 15 08:42:39  2018,-1,-1,0,0
329853328,Wed Jan 17 12:44:27  2018,master,true,Wed Jan 03 10:42:34  2018,Thu Jan 11 05:22:09  2018,Wed Jan 17 12:44:27  2018,remote-service,Wed Jan 03 10:42:34  2018,1216913000,544938000,671975000,671975000
329853328,Wed Jan 17 12:44:27  2018,remote-service,true,Mon Jan 15 08:42:39  2018,Wed Jan 17 12:44:27  2018,Thu Jan 11 05:22:09  2018,master,Mon Jan 15 08:42:39  2018,-1,-1,187308000,187308000
