build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
329191337,Mon Jan 15 19:36:55  2018,develop,true,Mon Jan 15 19:36:55  2018,Mon Jan 15 19:36:55  2018,null,null,Mon Jan 15 19:36:55  2018,-1,-1,0,0
329194617,Mon Jan 15 19:47:29  2018,develop,true,Mon Jan 15 19:36:55  2018,Mon Jan 15 19:47:29  2018,null,null,Mon Jan 15 19:36:55  2018,-1,-1,634000,634000
329224337,Mon Jan 15 21:22:30  2018,develop,true,Mon Jan 15 19:36:55  2018,Mon Jan 15 21:22:30  2018,null,null,Mon Jan 15 19:36:55  2018,-1,-1,6335000,6335000
329225549,Mon Jan 15 21:26:47  2018,develop,true,Mon Jan 15 19:36:55  2018,Mon Jan 15 21:26:47  2018,null,null,Mon Jan 15 19:36:55  2018,-1,-1,6592000,6592000
329226121,Mon Jan 15 21:28:00  2018,develop,true,Mon Jan 15 19:36:55  2018,Mon Jan 15 21:28:00  2018,null,null,Mon Jan 15 19:36:55  2018,-1,-1,6665000,6665000
329226324,Mon Jan 15 21:28:46  2018,develop,true,Mon Jan 15 19:36:55  2018,Mon Jan 15 21:28:46  2018,null,null,Mon Jan 15 19:36:55  2018,-1,-1,6711000,6711000
329315094,Tue Jan 16 03:56:33  2018,develop,true,Mon Jan 15 19:36:55  2018,Tue Jan 16 03:56:33  2018,null,null,Mon Jan 15 19:36:55  2018,-1,-1,29978000,29978000
329317269,Tue Jan 16 04:09:25  2018,develop,true,Mon Jan 15 19:36:55  2018,Tue Jan 16 04:09:25  2018,null,null,Mon Jan 15 19:36:55  2018,-1,-1,30750000,30750000
329320909,Tue Jan 16 04:35:56  2018,develop,true,Mon Jan 15 19:36:55  2018,Tue Jan 16 04:35:56  2018,null,null,Mon Jan 15 19:36:55  2018,-1,-1,32341000,32341000
329321263,Tue Jan 16 04:38:56  2018,develop,true,Mon Jan 15 19:36:55  2018,Tue Jan 16 04:38:56  2018,null,null,Mon Jan 15 19:36:55  2018,-1,-1,32521000,32521000
329321694,Tue Jan 16 04:42:06  2018,develop,true,Mon Jan 15 19:36:55  2018,Tue Jan 16 04:38:56  2018,null,null,Mon Jan 15 19:36:55  2018,-1,-1,32521000,32521000
329321694,Tue Jan 16 04:42:06  2018,master,true,Tue Jan 16 04:42:06  2018,Tue Jan 16 04:42:06  2018,Tue Jan 16 04:38:56  2018,develop,Tue Jan 16 04:42:06  2018,-1,-1,0,0
329321698,Tue Jan 16 04:42:12  2018,develop,true,Mon Jan 15 19:36:55  2018,Tue Jan 16 04:42:12  2018,Tue Jan 16 04:42:06  2018,master,Mon Jan 15 19:36:55  2018,32711000,-1,32717000,32717000
329321698,Tue Jan 16 04:42:12  2018,master,true,Tue Jan 16 04:42:06  2018,Tue Jan 16 04:42:06  2018,Tue Jan 16 04:42:12  2018,develop,Tue Jan 16 04:42:06  2018,6000,6000,0,0
329326575,Tue Jan 16 05:14:15  2018,develop,true,Mon Jan 15 19:36:55  2018,Tue Jan 16 05:14:15  2018,Tue Jan 16 04:42:06  2018,master,Mon Jan 15 19:36:55  2018,32711000,-1,34640000,34640000
329326575,Tue Jan 16 05:14:15  2018,master,true,Tue Jan 16 04:42:06  2018,Tue Jan 16 04:42:06  2018,Tue Jan 16 05:14:15  2018,develop,Tue Jan 16 04:42:06  2018,1929000,1929000,0,0
329327336,Tue Jan 16 05:19:19  2018,develop,true,Mon Jan 15 19:36:55  2018,Tue Jan 16 05:14:15  2018,Tue Jan 16 04:42:06  2018,master,Mon Jan 15 19:36:55  2018,32711000,-1,34640000,34640000
