build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
324549058,Wed Jan 03 11:52:41  2018,develop-3.0,true,Wed Jan 03 11:52:41  2018,Wed Jan 03 11:52:41  2018,null,null,Wed Jan 03 11:52:41  2018,-1,-1,0,0
324858248,Thu Jan 04 01:08:52  2018,develop-3.0,true,Wed Jan 03 11:52:41  2018,Wed Jan 03 11:52:41  2018,null,null,Wed Jan 03 11:52:41  2018,-1,-1,0,0
324858248,Thu Jan 04 01:08:52  2018,master,true,Thu Jan 04 01:08:52  2018,Thu Jan 04 01:08:52  2018,Wed Jan 03 11:52:41  2018,develop-3.0,Thu Jan 04 01:08:52  2018,-1,-1,0,0
327275230,Wed Jan 10 15:21:32  2018,develop-3.0,true,Wed Jan 03 11:52:41  2018,Wed Jan 10 15:21:32  2018,Thu Jan 04 01:08:52  2018,master,Wed Jan 03 11:52:41  2018,47771000,-1,617331000,617331000
327275230,Wed Jan 10 15:21:32  2018,master,true,Thu Jan 04 01:08:52  2018,Thu Jan 04 01:08:52  2018,Wed Jan 10 15:21:32  2018,develop-3.0,Thu Jan 04 01:08:52  2018,569560000,569560000,0,0
327289093,Wed Jan 10 15:52:40  2018,develop-3.0,true,Wed Jan 03 11:52:41  2018,Wed Jan 10 15:52:40  2018,Thu Jan 04 01:08:52  2018,master,Wed Jan 03 11:52:41  2018,47771000,-1,619199000,619199000
327289093,Wed Jan 10 15:52:40  2018,master,true,Thu Jan 04 01:08:52  2018,Thu Jan 04 01:08:52  2018,Wed Jan 10 15:52:40  2018,develop-3.0,Thu Jan 04 01:08:52  2018,571428000,571428000,0,0
327289872,Wed Jan 10 15:54:27  2018,develop-3.0,true,Wed Jan 03 11:52:41  2018,Wed Jan 10 15:54:27  2018,Thu Jan 04 01:08:52  2018,master,Wed Jan 03 11:52:41  2018,47771000,-1,619306000,619306000
327289872,Wed Jan 10 15:54:27  2018,master,true,Thu Jan 04 01:08:52  2018,Thu Jan 04 01:08:52  2018,Wed Jan 10 15:54:27  2018,develop-3.0,Thu Jan 04 01:08:52  2018,571535000,571535000,0,0
327351195,Wed Jan 10 18:21:10  2018,develop-3.0,true,Wed Jan 03 11:52:41  2018,Wed Jan 10 18:21:10  2018,Thu Jan 04 01:08:52  2018,master,Wed Jan 03 11:52:41  2018,47771000,-1,628109000,628109000
327351195,Wed Jan 10 18:21:10  2018,master,true,Thu Jan 04 01:08:52  2018,Thu Jan 04 01:08:52  2018,Wed Jan 10 18:21:10  2018,develop-3.0,Thu Jan 04 01:08:52  2018,580338000,580338000,0,0
327491951,Thu Jan 11 01:09:06  2018,develop-3.0,true,Wed Jan 03 11:52:41  2018,Wed Jan 10 18:21:10  2018,Thu Jan 11 01:09:06  2018,master,Wed Jan 03 11:52:41  2018,652585000,24476000,628109000,628109000
327491951,Thu Jan 11 01:09:06  2018,master,true,Thu Jan 04 01:08:52  2018,Thu Jan 11 01:09:06  2018,Wed Jan 10 18:21:10  2018,develop-3.0,Thu Jan 04 01:08:52  2018,580338000,-1,604814000,604814000
327786247,Thu Jan 11 17:40:20  2018,develop-3.0,true,Wed Jan 03 11:52:41  2018,Thu Jan 11 17:40:20  2018,Thu Jan 11 01:09:06  2018,master,Wed Jan 03 11:52:41  2018,652585000,-1,712059000,712059000
327786247,Thu Jan 11 17:40:20  2018,master,true,Thu Jan 04 01:08:52  2018,Thu Jan 11 01:09:06  2018,Thu Jan 11 17:40:20  2018,develop-3.0,Thu Jan 04 01:08:52  2018,664288000,59474000,604814000,604814000
327799327,Thu Jan 11 18:13:47  2018,develop-3.0,true,Wed Jan 03 11:52:41  2018,Thu Jan 11 17:40:20  2018,Thu Jan 11 18:13:47  2018,master,Wed Jan 03 11:52:41  2018,714066000,2007000,712059000,712059000
