build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
325090730,Thu Jan 04 15:50:36  2018,master,true,Thu Jan 04 15:50:36  2018,Thu Jan 04 15:50:36  2018,null,null,Thu Jan 04 15:50:36  2018,-1,-1,0,0
326007959,Sun Jan 07 10:30:26  2018,master,true,Thu Jan 04 15:50:36  2018,Sun Jan 07 10:30:26  2018,null,null,Thu Jan 04 15:50:36  2018,-1,-1,239990000,239990000
326009104,Sun Jan 07 10:36:23  2018,master,true,Thu Jan 04 15:50:36  2018,Sun Jan 07 10:36:23  2018,null,null,Thu Jan 04 15:50:36  2018,-1,-1,240347000,240347000
328553998,Sat Jan 13 21:14:29  2018,master,true,Thu Jan 04 15:50:36  2018,Sat Jan 13 21:14:29  2018,null,null,Thu Jan 04 15:50:36  2018,-1,-1,797033000,797033000
328554199,Sat Jan 13 21:15:26  2018,master,true,Thu Jan 04 15:50:36  2018,Sat Jan 13 21:15:26  2018,null,null,Thu Jan 04 15:50:36  2018,-1,-1,797090000,797090000
328557847,Sat Jan 13 21:29:34  2018,master,true,Thu Jan 04 15:50:36  2018,Sat Jan 13 21:29:34  2018,null,null,Thu Jan 04 15:50:36  2018,-1,-1,797938000,797938000
328560200,Sat Jan 13 21:39:21  2018,master,true,Thu Jan 04 15:50:36  2018,Sat Jan 13 21:39:21  2018,null,null,Thu Jan 04 15:50:36  2018,-1,-1,798525000,798525000
328565793,Sat Jan 13 21:58:51  2018,master,true,Thu Jan 04 15:50:36  2018,Sat Jan 13 21:58:51  2018,null,null,Thu Jan 04 15:50:36  2018,-1,-1,799695000,799695000
328571497,Sat Jan 13 22:20:50  2018,master,true,Thu Jan 04 15:50:36  2018,Sat Jan 13 22:20:50  2018,null,null,Thu Jan 04 15:50:36  2018,-1,-1,801014000,801014000
328913140,Mon Jan 15 04:58:21  2018,master,true,Thu Jan 04 15:50:36  2018,Mon Jan 15 04:58:21  2018,null,null,Thu Jan 04 15:50:36  2018,-1,-1,911265000,911265000
328914403,Mon Jan 15 05:10:22  2018,master,true,Thu Jan 04 15:50:36  2018,Mon Jan 15 05:10:22  2018,null,null,Thu Jan 04 15:50:36  2018,-1,-1,911986000,911986000
330450298,Thu Jan 18 17:05:10  2018,master,true,Thu Jan 04 15:50:36  2018,Thu Jan 18 17:05:10  2018,null,null,Thu Jan 04 15:50:36  2018,-1,-1,1214074000,1214074000
