build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
324140722,Tue Jan 02 14:13:34  2018,master,true,Tue Jan 02 14:13:34  2018,Tue Jan 02 14:13:34  2018,null,null,Tue Jan 02 14:13:34  2018,-1,-1,0,0
327110618,Wed Jan 10 06:14:57  2018,master,true,Tue Jan 02 14:13:34  2018,Tue Jan 02 14:13:34  2018,null,null,Tue Jan 02 14:13:34  2018,-1,-1,0,0
327110618,Wed Jan 10 06:14:57  2018,jakew/jaxb/2018-01-10,true,Wed Jan 10 06:14:57  2018,Wed Jan 10 06:14:57  2018,Tue Jan 02 14:13:34  2018,master,Wed Jan 10 06:14:57  2018,-1,-1,0,0
327110702,Wed Jan 10 06:15:53  2018,master,true,Tue Jan 02 14:13:34  2018,Tue Jan 02 14:13:34  2018,Wed Jan 10 06:15:53  2018,jakew/jaxb/2018-01-10,Tue Jan 02 14:13:34  2018,662539000,662539000,0,0
327110702,Wed Jan 10 06:15:53  2018,jakew/jaxb/2018-01-10,true,Wed Jan 10 06:14:57  2018,Wed Jan 10 06:15:53  2018,Tue Jan 02 14:13:34  2018,master,Wed Jan 10 06:14:57  2018,-1,-1,56000,56000
327512100,Thu Jan 11 02:43:06  2018,master,true,Tue Jan 02 14:13:34  2018,Tue Jan 02 14:13:34  2018,Wed Jan 10 06:15:53  2018,jakew/jaxb/2018-01-10,Tue Jan 02 14:13:34  2018,662539000,662539000,0,0
327512100,Thu Jan 11 02:43:06  2018,jakew/jaxb/2018-01-10,true,Wed Jan 10 06:14:57  2018,Wed Jan 10 06:15:53  2018,Tue Jan 02 14:13:34  2018,master,Wed Jan 10 06:14:57  2018,-1,-1,56000,56000
327512100,Thu Jan 11 02:43:06  2018,jwilson.0110.first_jaxb_converter,true,Thu Jan 11 02:43:06  2018,Thu Jan 11 02:43:06  2018,Wed Jan 10 06:15:53  2018,jakew/jaxb/2018-01-10,Thu Jan 11 02:43:06  2018,-1,-1,0,0
327512392,Thu Jan 11 02:44:30  2018,master,true,Tue Jan 02 14:13:34  2018,Tue Jan 02 14:13:34  2018,Thu Jan 11 02:44:30  2018,jwilson.0110.first_jaxb_converter,Tue Jan 02 14:13:34  2018,736256000,736256000,0,0
327512392,Thu Jan 11 02:44:30  2018,jakew/jaxb/2018-01-10,true,Wed Jan 10 06:14:57  2018,Wed Jan 10 06:15:53  2018,Thu Jan 11 02:44:30  2018,jwilson.0110.first_jaxb_converter,Wed Jan 10 06:14:57  2018,73773000,73717000,56000,56000
