build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
340995048,Tue Feb 13 15:24:05  2018,master,true,Tue Feb 13 15:24:05  2018,Tue Feb 13 15:24:05  2018,null,null,Tue Feb 13 15:24:05  2018,-1,-1,0,0
340998623,Tue Feb 13 15:31:31  2018,master,true,Tue Feb 13 15:24:05  2018,Tue Feb 13 15:24:05  2018,null,null,Tue Feb 13 15:24:05  2018,-1,-1,0,0
340998623,Tue Feb 13 15:31:31  2018,next,true,Tue Feb 13 15:31:31  2018,Tue Feb 13 15:31:31  2018,Tue Feb 13 15:24:05  2018,master,Tue Feb 13 15:31:31  2018,-1,-1,0,0
341004855,Tue Feb 13 15:45:34  2018,master,true,Tue Feb 13 15:24:05  2018,Tue Feb 13 15:24:05  2018,Tue Feb 13 15:45:34  2018,next,Tue Feb 13 15:24:05  2018,1289000,1289000,0,0
341004855,Tue Feb 13 15:45:34  2018,next,true,Tue Feb 13 15:31:31  2018,Tue Feb 13 15:45:34  2018,Tue Feb 13 15:24:05  2018,master,Tue Feb 13 15:31:31  2018,-1,-1,843000,843000
341007623,Tue Feb 13 15:51:44  2018,master,true,Tue Feb 13 15:24:05  2018,Tue Feb 13 15:24:05  2018,Tue Feb 13 15:51:44  2018,next,Tue Feb 13 15:24:05  2018,1659000,1659000,0,0
341007623,Tue Feb 13 15:51:44  2018,next,true,Tue Feb 13 15:31:31  2018,Tue Feb 13 15:51:44  2018,Tue Feb 13 15:24:05  2018,master,Tue Feb 13 15:31:31  2018,-1,-1,1213000,1213000
341005878,Tue Feb 13 15:51:49  2018,master,true,Tue Feb 13 15:24:05  2018,Tue Feb 13 15:24:05  2018,Tue Feb 13 15:51:49  2018,next,Tue Feb 13 15:24:05  2018,1664000,1664000,0,0
341005878,Tue Feb 13 15:51:49  2018,next,true,Tue Feb 13 15:31:31  2018,Tue Feb 13 15:51:49  2018,Tue Feb 13 15:24:05  2018,master,Tue Feb 13 15:31:31  2018,-1,-1,1218000,1218000
341843189,Thu Feb 15 11:31:01  2018,master,true,Tue Feb 13 15:24:05  2018,Tue Feb 13 15:24:05  2018,Thu Feb 15 11:31:01  2018,next,Tue Feb 13 15:24:05  2018,158816000,158816000,0,0
341843189,Thu Feb 15 11:31:01  2018,next,true,Tue Feb 13 15:31:31  2018,Thu Feb 15 11:31:01  2018,Tue Feb 13 15:24:05  2018,master,Tue Feb 13 15:31:31  2018,-1,-1,158370000,158370000
341847334,Thu Feb 15 11:43:52  2018,master,true,Tue Feb 13 15:24:05  2018,Tue Feb 13 15:24:05  2018,Thu Feb 15 11:43:52  2018,next,Tue Feb 13 15:24:05  2018,159587000,159587000,0,0
341847334,Thu Feb 15 11:43:52  2018,next,true,Tue Feb 13 15:31:31  2018,Thu Feb 15 11:43:52  2018,Tue Feb 13 15:24:05  2018,master,Tue Feb 13 15:31:31  2018,-1,-1,159141000,159141000
