build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
324077261,Tue Jan 02 10:35:57  2018,master,true,Tue Jan 02 10:35:57  2018,Tue Jan 02 10:35:57  2018,null,null,Tue Jan 02 10:35:57  2018,-1,-1,0,0
324185618,Tue Jan 02 16:14:22  2018,master,true,Tue Jan 02 10:35:57  2018,Tue Jan 02 16:14:22  2018,null,null,Tue Jan 02 10:35:57  2018,-1,-1,20305000,20305000
324195069,Tue Jan 02 16:38:44  2018,master,true,Tue Jan 02 10:35:57  2018,Tue Jan 02 16:14:22  2018,null,null,Tue Jan 02 10:35:57  2018,-1,-1,20305000,20305000
324195069,Tue Jan 02 16:38:44  2018,feature/api-limits,true,Tue Jan 02 16:38:44  2018,Tue Jan 02 16:38:44  2018,Tue Jan 02 16:14:22  2018,master,Tue Jan 02 16:38:44  2018,-1,-1,0,0
324195102,Tue Jan 02 16:38:57  2018,master,true,Tue Jan 02 10:35:57  2018,Tue Jan 02 16:38:57  2018,Tue Jan 02 16:38:44  2018,feature/api-limits,Tue Jan 02 10:35:57  2018,21767000,-1,21780000,21780000
324195102,Tue Jan 02 16:38:57  2018,feature/api-limits,true,Tue Jan 02 16:38:44  2018,Tue Jan 02 16:38:44  2018,Tue Jan 02 16:38:57  2018,master,Tue Jan 02 16:38:44  2018,13000,13000,0,0
324396502,Tue Jan 02 23:41:17  2018,master,true,Tue Jan 02 10:35:57  2018,Tue Jan 02 23:41:17  2018,Tue Jan 02 16:38:44  2018,feature/api-limits,Tue Jan 02 10:35:57  2018,21767000,-1,47120000,47120000
324396502,Tue Jan 02 23:41:17  2018,feature/api-limits,true,Tue Jan 02 16:38:44  2018,Tue Jan 02 16:38:44  2018,Tue Jan 02 23:41:17  2018,master,Tue Jan 02 16:38:44  2018,25353000,25353000,0,0
324513252,Wed Jan 03 09:52:48  2018,master,true,Tue Jan 02 10:35:57  2018,Wed Jan 03 09:52:48  2018,Tue Jan 02 16:38:44  2018,feature/api-limits,Tue Jan 02 10:35:57  2018,21767000,-1,83811000,83811000
324513252,Wed Jan 03 09:52:48  2018,feature/api-limits,true,Tue Jan 02 16:38:44  2018,Tue Jan 02 16:38:44  2018,Wed Jan 03 09:52:48  2018,master,Tue Jan 02 16:38:44  2018,62044000,62044000,0,0
324522406,Wed Jan 03 10:24:59  2018,master,true,Tue Jan 02 10:35:57  2018,Wed Jan 03 10:24:59  2018,Tue Jan 02 16:38:44  2018,feature/api-limits,Tue Jan 02 10:35:57  2018,21767000,-1,85742000,85742000
324522406,Wed Jan 03 10:24:59  2018,feature/api-limits,true,Tue Jan 02 16:38:44  2018,Tue Jan 02 16:38:44  2018,Wed Jan 03 10:24:59  2018,master,Tue Jan 02 16:38:44  2018,63975000,63975000,0,0
324522935,Wed Jan 03 10:26:55  2018,master,true,Tue Jan 02 10:35:57  2018,Wed Jan 03 10:26:55  2018,Tue Jan 02 16:38:44  2018,feature/api-limits,Tue Jan 02 10:35:57  2018,21767000,-1,85858000,85858000
324522935,Wed Jan 03 10:26:55  2018,feature/api-limits,true,Tue Jan 02 16:38:44  2018,Tue Jan 02 16:38:44  2018,Wed Jan 03 10:26:55  2018,master,Tue Jan 02 16:38:44  2018,64091000,64091000,0,0
324530382,Wed Jan 03 10:48:59  2018,master,true,Tue Jan 02 10:35:57  2018,Wed Jan 03 10:48:59  2018,Tue Jan 02 16:38:44  2018,feature/api-limits,Tue Jan 02 10:35:57  2018,21767000,-1,87182000,87182000
324530382,Wed Jan 03 10:48:59  2018,feature/api-limits,true,Tue Jan 02 16:38:44  2018,Tue Jan 02 16:38:44  2018,Wed Jan 03 10:48:59  2018,master,Tue Jan 02 16:38:44  2018,65415000,65415000,0,0
324557208,Wed Jan 03 12:21:52  2018,master,true,Tue Jan 02 10:35:57  2018,Wed Jan 03 12:21:52  2018,Tue Jan 02 16:38:44  2018,feature/api-limits,Tue Jan 02 10:35:57  2018,21767000,-1,92755000,92755000
324557208,Wed Jan 03 12:21:52  2018,feature/api-limits,true,Tue Jan 02 16:38:44  2018,Tue Jan 02 16:38:44  2018,Wed Jan 03 12:21:52  2018,master,Tue Jan 02 16:38:44  2018,70988000,70988000,0,0
324585842,Wed Jan 03 13:52:26  2018,master,true,Tue Jan 02 10:35:57  2018,Wed Jan 03 13:52:26  2018,Tue Jan 02 16:38:44  2018,feature/api-limits,Tue Jan 02 10:35:57  2018,21767000,-1,98189000,98189000
