build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
326443322,Mon Jan 08 16:30:25  2018,master,true,Mon Jan 08 16:30:25  2018,Mon Jan 08 16:30:25  2018,null,null,Mon Jan 08 16:30:25  2018,-1,-1,0,0
326451706,Mon Jan 08 16:48:53  2018,master,true,Mon Jan 08 16:30:25  2018,Mon Jan 08 16:48:53  2018,null,null,Mon Jan 08 16:30:25  2018,-1,-1,1108000,1108000
328250754,Fri Jan 12 19:38:32  2018,master,true,Mon Jan 08 16:30:25  2018,Fri Jan 12 19:38:32  2018,null,null,Mon Jan 08 16:30:25  2018,-1,-1,356887000,356887000
328256354,Fri Jan 12 19:55:24  2018,master,true,Mon Jan 08 16:30:25  2018,Fri Jan 12 19:55:24  2018,null,null,Mon Jan 08 16:30:25  2018,-1,-1,357899000,357899000
352973486,Tue Mar 13 18:06:25  2018,master,true,Mon Jan 08 16:30:25  2018,Tue Mar 13 18:06:25  2018,null,null,Mon Jan 08 16:30:25  2018,-1,-1,5535360000,5535360000
352973511,Tue Mar 13 18:06:30  2018,master,true,Mon Jan 08 16:30:25  2018,Tue Mar 13 18:06:25  2018,null,null,Mon Jan 08 16:30:25  2018,-1,-1,5535360000,5535360000
352973511,Tue Mar 13 18:06:30  2018,tripleplay-2.0.2,true,Tue Mar 13 18:06:30  2018,Tue Mar 13 18:06:30  2018,Tue Mar 13 18:06:25  2018,master,Tue Mar 13 18:06:30  2018,-1,-1,0,0
352973560,Tue Mar 13 18:07:18  2018,master,true,Mon Jan 08 16:30:25  2018,Tue Mar 13 18:07:18  2018,Tue Mar 13 18:06:30  2018,tripleplay-2.0.2,Mon Jan 08 16:30:25  2018,5535365000,-1,5535413000,5535413000
352973560,Tue Mar 13 18:07:18  2018,tripleplay-2.0.2,true,Tue Mar 13 18:06:30  2018,Tue Mar 13 18:06:30  2018,Tue Mar 13 18:07:18  2018,master,Tue Mar 13 18:06:30  2018,48000,48000,0,0
352976748,Tue Mar 13 18:13:19  2018,master,true,Mon Jan 08 16:30:25  2018,Tue Mar 13 18:07:18  2018,Tue Mar 13 18:06:30  2018,tripleplay-2.0.2,Mon Jan 08 16:30:25  2018,5535365000,-1,5535413000,5535413000
