build_id,date,open_branch,is_open,time_last_sync_with_master,time_last_related_commit,time_last_unrelated_commit,branch_of_last_unrelated_commit,time_fork,unrelated_activity_since_last_sync,balanced_activity_between_unrelated_branches,branch_activity_since_last_sync,branch_activity_total
330761614,Fri Jan 19 11:09:05  2018,neba-222,true,Fri Jan 19 11:09:05  2018,Fri Jan 19 11:09:05  2018,null,null,Fri Jan 19 11:09:05  2018,-1,-1,0,0
330762039,Fri Jan 19 11:10:01  2018,neba-222,true,Fri Jan 19 11:09:05  2018,Fri Jan 19 11:09:05  2018,null,null,Fri Jan 19 11:09:05  2018,-1,-1,0,0
330762039,Fri Jan 19 11:10:01  2018,master,true,Fri Jan 19 11:10:01  2018,Fri Jan 19 11:10:01  2018,Fri Jan 19 11:09:05  2018,neba-222,Fri Jan 19 11:10:01  2018,-1,-1,0,0
329572227,Fri Jan 19 11:11:59  2018,neba-222,true,Fri Jan 19 11:09:05  2018,Fri Jan 19 11:09:05  2018,Fri Jan 19 11:11:59  2018,master,Fri Jan 19 11:09:05  2018,174000,174000,0,0
329572227,Fri Jan 19 11:11:59  2018,master,true,Fri Jan 19 11:10:01  2018,Fri Jan 19 11:11:59  2018,Fri Jan 19 11:09:05  2018,neba-222,Fri Jan 19 11:10:01  2018,-1,-1,118000,118000
330766047,Fri Jan 19 11:23:13  2018,neba-222,true,Fri Jan 19 11:09:05  2018,Fri Jan 19 11:09:05  2018,Fri Jan 19 11:23:13  2018,master,Fri Jan 19 11:09:05  2018,848000,848000,0,0
330766047,Fri Jan 19 11:23:13  2018,master,true,Fri Jan 19 11:10:01  2018,Fri Jan 19 11:23:13  2018,Fri Jan 19 11:09:05  2018,neba-222,Fri Jan 19 11:10:01  2018,-1,-1,792000,792000
330767678,Fri Jan 19 11:28:53  2018,neba-222,true,Fri Jan 19 11:09:05  2018,Fri Jan 19 11:28:53  2018,Fri Jan 19 11:23:13  2018,master,Fri Jan 19 11:09:05  2018,848000,-1,1188000,1188000
330767678,Fri Jan 19 11:28:53  2018,master,true,Fri Jan 19 11:10:01  2018,Fri Jan 19 11:23:13  2018,Fri Jan 19 11:28:53  2018,neba-222,Fri Jan 19 11:10:01  2018,1132000,340000,792000,792000
330767698,Fri Jan 19 11:28:56  2018,neba-222,true,Fri Jan 19 11:09:05  2018,Fri Jan 19 11:28:53  2018,Fri Jan 19 11:28:56  2018,master,Fri Jan 19 11:09:05  2018,1191000,3000,1188000,1188000
330767698,Fri Jan 19 11:28:56  2018,master,true,Fri Jan 19 11:10:01  2018,Fri Jan 19 11:28:56  2018,Fri Jan 19 11:28:53  2018,neba-222,Fri Jan 19 11:10:01  2018,1132000,-1,1135000,1135000
330774285,Fri Jan 19 11:48:07  2018,neba-222,true,Fri Jan 19 11:09:05  2018,Fri Jan 19 11:48:07  2018,Fri Jan 19 11:28:56  2018,master,Fri Jan 19 11:09:05  2018,1191000,-1,2342000,2342000
330774285,Fri Jan 19 11:48:07  2018,master,true,Fri Jan 19 11:10:01  2018,Fri Jan 19 11:28:56  2018,Fri Jan 19 11:48:07  2018,neba-222,Fri Jan 19 11:10:01  2018,2286000,1151000,1135000,1135000
330774295,Fri Jan 19 11:48:12  2018,neba-222,true,Fri Jan 19 11:09:05  2018,Fri Jan 19 11:48:07  2018,Fri Jan 19 11:48:12  2018,master,Fri Jan 19 11:09:05  2018,2347000,5000,2342000,2342000
330774295,Fri Jan 19 11:48:12  2018,master,true,Fri Jan 19 11:10:01  2018,Fri Jan 19 11:48:12  2018,Fri Jan 19 11:48:07  2018,neba-222,Fri Jan 19 11:10:01  2018,2286000,-1,2291000,2291000
330782948,Fri Jan 19 12:15:16  2018,neba-222,true,Fri Jan 19 11:09:05  2018,Fri Jan 19 12:15:16  2018,Fri Jan 19 11:48:12  2018,master,Fri Jan 19 11:09:05  2018,2347000,-1,3971000,3971000
330782948,Fri Jan 19 12:15:16  2018,master,true,Fri Jan 19 11:10:01  2018,Fri Jan 19 11:48:12  2018,Fri Jan 19 12:15:16  2018,neba-222,Fri Jan 19 11:10:01  2018,3915000,1624000,2291000,2291000
330782963,Fri Jan 19 12:15:30  2018,neba-222,true,Fri Jan 19 11:09:05  2018,Fri Jan 19 12:15:16  2018,Fri Jan 19 12:15:30  2018,master,Fri Jan 19 11:09:05  2018,3985000,14000,3971000,3971000
330782963,Fri Jan 19 12:15:30  2018,master,true,Fri Jan 19 11:10:01  2018,Fri Jan 19 12:15:30  2018,Fri Jan 19 12:15:16  2018,neba-222,Fri Jan 19 11:10:01  2018,3915000,-1,3929000,3929000
330843853,Fri Jan 19 14:51:41  2018,neba-222,true,Fri Jan 19 11:09:05  2018,Fri Jan 19 14:51:41  2018,Fri Jan 19 12:15:30  2018,master,Fri Jan 19 11:09:05  2018,3985000,-1,13356000,13356000
330843853,Fri Jan 19 14:51:41  2018,master,true,Fri Jan 19 11:10:01  2018,Fri Jan 19 12:15:30  2018,Fri Jan 19 14:51:41  2018,neba-222,Fri Jan 19 11:10:01  2018,13300000,9371000,3929000,3929000
330844012,Fri Jan 19 14:52:05  2018,neba-222,true,Fri Jan 19 11:09:05  2018,Fri Jan 19 14:51:41  2018,Fri Jan 19 14:52:05  2018,master,Fri Jan 19 11:09:05  2018,13380000,24000,13356000,13356000
330844012,Fri Jan 19 14:52:05  2018,master,true,Fri Jan 19 11:10:01  2018,Fri Jan 19 14:52:05  2018,Fri Jan 19 14:51:41  2018,neba-222,Fri Jan 19 11:10:01  2018,13300000,-1,13324000,13324000
331478397,Sun Jan 21 15:19:12  2018,neba-222,true,Fri Jan 19 11:09:05  2018,Fri Jan 19 14:51:41  2018,Sun Jan 21 15:19:12  2018,master,Fri Jan 19 11:09:05  2018,187807000,174451000,13356000,13356000
331478397,Sun Jan 21 15:19:12  2018,master,true,Fri Jan 19 11:10:01  2018,Sun Jan 21 15:19:12  2018,Fri Jan 19 14:51:41  2018,neba-222,Fri Jan 19 11:10:01  2018,13300000,-1,187751000,187751000
331478362,Sun Jan 21 15:19:24  2018,neba-222,true,Fri Jan 19 11:09:05  2018,Sun Jan 21 15:19:24  2018,Sun Jan 21 15:19:12  2018,master,Fri Jan 19 11:09:05  2018,187807000,-1,187819000,187819000
331478362,Sun Jan 21 15:19:24  2018,master,true,Fri Jan 19 11:10:01  2018,Sun Jan 21 15:19:12  2018,Sun Jan 21 15:19:24  2018,neba-222,Fri Jan 19 11:10:01  2018,187763000,12000,187751000,187751000
332507046,Tue Jan 23 21:23:14  2018,neba-222,true,Fri Jan 19 11:09:05  2018,Tue Jan 23 21:23:14  2018,Sun Jan 21 15:19:12  2018,master,Fri Jan 19 11:09:05  2018,187807000,-1,382449000,382449000
332507046,Tue Jan 23 21:23:14  2018,master,true,Fri Jan 19 11:10:01  2018,Sun Jan 21 15:19:12  2018,Tue Jan 23 21:23:14  2018,neba-222,Fri Jan 19 11:10:01  2018,382393000,194642000,187751000,187751000
332507077,Tue Jan 23 21:23:20  2018,neba-222,true,Fri Jan 19 11:09:05  2018,Tue Jan 23 21:23:14  2018,Tue Jan 23 21:23:20  2018,master,Fri Jan 19 11:09:05  2018,382455000,6000,382449000,382449000
332507077,Tue Jan 23 21:23:20  2018,master,true,Fri Jan 19 11:10:01  2018,Tue Jan 23 21:23:20  2018,Tue Jan 23 21:23:14  2018,neba-222,Fri Jan 19 11:10:01  2018,382393000,-1,382399000,382399000
333725563,Fri Jan 26 13:44:35  2018,neba-222,true,Fri Jan 19 11:09:05  2018,Fri Jan 26 13:44:35  2018,Tue Jan 23 21:23:20  2018,master,Fri Jan 19 11:09:05  2018,382455000,-1,614130000,614130000
